"name","id","bcReference","label","uuid:ID","bcSynonyms"
"Body Temperature","BiomedicalConcept_18","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","e94260a5-15ee-42e8-8d88-8f7e1d965041","['Temperature']"
"Body Weight","BiomedicalConcept_19","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","91883a91-b70c-4497-a6b2-120847a42235","['Weight']"
"Body Height","BiomedicalConcept_20","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","c02515a1-040d-443c-a5b2-089bde1efe47","['Height']"
"Alanine Aminotransferase Measurement","BiomedicalConcept_21","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","3b37432c-d08e-447b-b2bd-e8208f1942e0","['ALT', 'SGPT']"
"Albumin Measurement","BiomedicalConcept_22","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","dfad3357-494e-473d-88ed-584ee8906eb9","['Albumin']"
"Alkaline Phosphatase Measurement","BiomedicalConcept_23","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","eca5ea0b-221e-46f0-829f-a3fcd6c84206","['Alkaline Phosphatase']"
"Aspartate Aminotransferase Measurement","BiomedicalConcept_24","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","50aae7f1-eb66-4217-8a81-bb165fb04b61","['AST', 'SGOT']"
"Creatinine Measurement","BiomedicalConcept_25","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","16ef34d1-60b2-4528-ad47-a6cf019ca6cc","['Creatinine']"
"Potassium Measurement","BiomedicalConcept_26","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","3b975215-87d3-4f63-884e-684b4176016e","['Potassium', 'K']"
"Sodium Measurement","BiomedicalConcept_27","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","5e96c287-f9cc-4ac9-8403-76aea796bf27","['Sodium', 'NA']"
"Adverse Event","BiomedicalConcept_1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","Adverse Event","31e29946-78f4-47dd-a607-fd42c5d4bc00","['Adverse Event Reported Term', 'AETERM']"
"Systolic Blood Pressure","BiomedicalConcept_2","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","4a6780e0-406d-4004-83de-6f8960398b98","['SYSBP']"
"Diastolic Blood Pressure","BiomedicalConcept_3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","2d9f3cb5-6f67-4204-8aa4-415e7e5c2c0e","['DIABP']"
"Body Temperature","BiomedicalConcept_4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","5b5bc4be-3e4f-40de-b49d-c49b72867294","['Temperature']"
"Body Weight","BiomedicalConcept_5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","78910745-339c-4f05-880a-2f507698ea43","['Weight']"
"Body Height","BiomedicalConcept_6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","98bc360c-c74e-4e94-bbc5-30f091fb70fa","['Height']"
"Alanine Aminotransferase Measurement","BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","b3db58ae-9dd4-4a28-9ee9-ecc79e129e73","['ALT', 'SGPT']"
"Albumin Measurement","BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","67c631b6-d78e-40e0-8151-26a745660a99","['Albumin']"
"Alkaline Phosphatase Measurement","BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","09cba998-83b4-476d-b1ba-9553f8d273d2","['Alkaline Phosphatase']"
"Aspartate Aminotransferase Measurement","BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","de7438df-d4cb-4786-9ebb-3ecf22f00ae5","['AST', 'SGOT']"
"Creatinine Measurement","BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","0796f7d9-0d3b-409b-84f7-edd7e74c0b64","['Creatinine']"
"Potassium Measurement","BiomedicalConcept_12","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","b69af576-9288-4c47-8685-664a7dc43f1e","['Potassium', 'K']"
"Sodium Measurement","BiomedicalConcept_13","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","e00eff6f-65fc-4067-973e-4f9a23d310ef","['Sodium', 'NA']"
"Systolic Blood Pressure","BiomedicalConcept_14","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","0fc3cf88-90ca-4768-afcf-8d1377455383","['SYSBP']"
"Diastolic Blood Pressure","BiomedicalConcept_15","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","c4c87b70-c26c-44f2-b44d-bf6d65b48c5a","['DIABP']"
"Systolic Blood Pressure","BiomedicalConcept_16","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","db0f412d-7a9d-4b01-bf23-676343662a1d","['SYSBP']"
"Diastolic Blood Pressure","BiomedicalConcept_17","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","f9e04500-59bc-4607-aa2c-a26d90c401c2","['DIABP']"
