"instanceType","name","text","purpose","uuid:ID","label","description","id"
"ENDPOINT","END1","Clinical status assessed using a 7-category ordinal scale at Day 28","","34d0e033-25eb-455b-9075-45851983d852","","","Endpoint_1"
"ENDPOINT","END2","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","","b149514c-04de-49ac-be20-a317e912eadf","","","Endpoint_2"
"ENDPOINT","END3","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","","6e059580-057b-46fb-99c1-1adb11782389","","","Endpoint_3"
"ENDPOINT","END4","Incidence of mechanical ventilation","","a142f602-6de5-4915-8daa-3eb4ee0cdd39","","","Endpoint_4"
"ENDPOINT","END5","Ventilator-free days to Day 28","","f212579f-5278-4166-8682-99970489e7d1","","","Endpoint_5"
"ENDPOINT","END6","Incidence of intensive care unit (ICU) stay","","57042d10-4dbd-44f1-9027-9e017fc54eb3","","","Endpoint_6"
"ENDPOINT","END7","Duration of ICU stay","","bd8b1280-75b7-440f-8df2-15aa8ecf5ab1","","","Endpoint_7"
"ENDPOINT","END8","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","","aa4e4bfd-cbfb-4997-90f6-0e4692aa35d8","","","Endpoint_8"
"ENDPOINT","END9","Mortality rate at Days 7, 14, 21, 28, and 60","","889f5416-a1e3-4aa1-8619-7e27696cf8db","","","Endpoint_9"
"ENDPOINT","END10","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","","838f6a1c-3c95-488a-898a-23a7d107595a","","","Endpoint_10"
"ENDPOINT","END11","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","","800a5ed6-d493-45c2-ab11-113da37e435f","","","Endpoint_11"
"ENDPOINT","END12","Duration of supplemental oxygen","","63b463fb-62a4-46d9-8f00-cfb986be3210","","","Endpoint_12"
