"sectionNumber","name","text","sectionTitle","uuid:ID","id"
"0","ROOT","","Root","43421d61-9655-495b-b954-38b0f7e0d52c","NarrativeContent_1"
"1","SECTION 1","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","PROTOCOL SUMMARY","a8690051-ff57-4cc8-a669-cded9544071b","NarrativeContent_2"
"1.1","SECTION 1.1","<div></div>","Protocol Synopsis","338b017b-c148-483c-91dd-964354613185","NarrativeContent_3"
"1.2","SECTION 1.2","<div></div>","Trial Schema","c3eb16a2-7d68-486a-8fb3-c1f51c5453d1","NarrativeContent_4"
"1.3","SECTION 1.3","<div></div>","Schedule of Activities","08b4185b-ed12-4ae1-af49-e33616f6e29b","NarrativeContent_5"
"2","SECTION 2","<div></div>","INTRODUCTION","6bdb6911-7071-4f31-ac5a-857c230b4ff4","NarrativeContent_6"
"2.1","SECTION 2.1","<div></div>","Purpose of Trial","fb5069ad-c6d5-412d-a00c-d12afd55bb17","NarrativeContent_7"
"2.2","SECTION 2.2","<div></div>","Summary of Benefits and Risks","64dc2eda-4f64-4997-89a7-24609613fe4a","NarrativeContent_8"
"3","SECTION 3","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","27341bd3-346b-45b5-8f8b-161fc1096be4","NarrativeContent_9"
"3.1","SECTION 3.1","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","Primary Objectives","9d110b19-421b-4e74-bce3-bb7953c8ac17","NarrativeContent_10"
"4","SECTION 4","<div></div>","TRIAL DESIGN","fc4123aa-cbc8-4f94-961d-cbd369313a87","NarrativeContent_11"
"4.1","SECTION 4.1","<div></div>","Description of Trial Design","ff4a7747-62cb-4d73-a61b-6bb74b165237","NarrativeContent_12"
"4.1.1","SECTION 4.1.1","<div></div>","Participant Input into Design","3515e6ab-afd4-4a66-8237-bfb8f028f338","NarrativeContent_13"
"4.2","SECTION 4.2","<div></div>","Rationale for Trial Design","cd579e89-cd79-48f7-a76c-d890ad8dd09f","NarrativeContent_14"
"4.2.1","SECTION 4.2.1","<div></div>","Rationale for Comparator","585cc923-fc54-4095-91d5-b90c71413904","NarrativeContent_15"
"4.2.2","SECTION 4.2.2","<div></div>","Rationale for Adaptive or Novel Trial Design","3fa08d15-c38f-4110-8a24-2bd4db7c0203","NarrativeContent_16"
"4.2.3","SECTION 4.2.3","<div></div>","Other Trial Design Considerations","b992cfa4-ba58-4bc1-9cef-96b8566bcd16","NarrativeContent_17"
"4.3","SECTION 4.3","<div></div>","Access to Trial Intervention After End of Trial","27d5bc22-0a6d-4bbb-b25e-25b4a649ecb5","NarrativeContent_18"
