"name","text","uuid:ID","label","description","id"
"ENCOUNTER_START_RULE_1","Subject identified","95b57026-c3ab-46fd-9e79-ecea90a4c441","","","TransitionRule_1"
"ENCOUNTER_START_RULE_1","IEs passed","45cb13c5-0c19-453e-b5d8-9b2170cbb890","","","TransitionRule_2"
"ENCOUNTER_START_RULE_3","Radomized","1463f9db-6ddf-4593-83b9-c9fa65d60cf8","","","TransitionRule_3"
"ELEMENT_START_RULE_1","Study Start","a386ec06-7d11-420b-92ef-10c9b5f7ead9","","","TransitionRule_4"
"ELEMENT_END_RULE_1","Screened","df78b8a0-315b-4148-863d-afe13683df39","","","TransitionRule_5"
"ELEMENT_START_RULE_2","Screened","4a15eb19-6cb8-4667-bbfd-a7b2cdd9f387","","","TransitionRule_6"
"ELEMENT_END_RULE_2","Radomized","ee8e56a5-d551-4ca0-b0c8-0c037f9f9d2e","","","TransitionRule_7"
"ELEMENT_START_RULE_3","Radomized","12c5a119-4e47-44ee-8fff-79b78e8b258b","","","TransitionRule_8"
"ELEMENT_END_RULE_3","Completed treatment 1","390ec685-2ed5-456d-ba10-f45dca2c629c","","","TransitionRule_9"
"ELEMENT_START_RULE_5","Radomized","c9d2a0ba-f128-4a07-867e-5ad61b0c71ef","","","TransitionRule_12"
"ELEMENT_END_RULE_5","Completed treatment 2","cfd606fd-b933-42fb-bc77-f36c5d988539","","","TransitionRule_13"
"ELEMENT_START_RULE_4","Treated","b16fb587-fc4f-4f8d-846d-213fd4a4a842","","","TransitionRule_10"
"ELEMENT_END_RULE_4","Leave Study","248f43fd-8adf-4ac4-b620-723dd70d46f5","","","TransitionRule_11"
