"name","uuid:ID","windowLower","instanceType","windowUpper","description","valueLabel","label","value","id","windowLabel"
"TIM1","b5182df4-fbe6-46a8-aee7-3ef30f585255","","Timing","","Screening timing","2 weeks","Screening","P2W","Timing_1",""
"TIM2","af144b82-4b63-4be8-9ed9-adc9adb9396b","PT4H","Timing","PT0H","Pre dose timing","2 days","Pre dose","P2D","Timing_2","-4..0 hours"
"TIM3","4839e333-085c-4591-8daf-d909fa703fda","","Timing","","Dosing anchor","1 Day","Dosing","P1D","Timing_3",""
"TIM4","7f6b5cad-3883-4378-89a7-f2f33fbfc0fc","P3D","Timing","P3D","Week 2 timing","2 Weeks","Week 2","P2W","Timing_4","-3..3 days"
"TIM5","5aee230c-1c90-4694-9523-4ce125c6547b","P3D","Timing","P3D","Week 4 timing","4 Weeks","Week 4","P4W","Timing_5","-3..3 days"
"TIM6","5f78c798-1aa5-44b7-a51c-6193d60ca8fc","P3D","Timing","P3D","Week 6 timing","6 Weeks","Week 6","P6W","Timing_6","-3..3 days"
"TIM7","052327d0-5df2-45b2-9763-764853019498","P3D","Timing","P3D","Week 8 timing","8 Weeks","Week 8","P8W","Timing_7","-3..3 days"
"TIM9","36be1ba5-36d1-4917-9d95-b196935bc144","P4D","Timing","P4D","Week 12 timing","12 Weeks","Week 12","P12W","Timing_9","-4..4 days"
"TIM11","76ee99da-1202-491b-9396-d785e3f02471","P4D","Timing","P4D","Week 16 timing","16 Weeks","Week 16","P16W","Timing_11","-4..4 days"
"TIM13","e101478c-97f8-498d-b8cc-706032f85fa9","P4D","Timing","P4D","Week 20 timing","20 Weeks","Week 20","P20W","Timing_13","-4..4 days"
"TIM15","78cf9289-ddac-4305-a5fa-c1877f4932f3","P4D","Timing","P4D","Week 24 timing","24 Weeks","Week 24","P24W","Timing_15","-4..4 days"
"TIM16","0a585ac3-776d-4d0f-9065-812b69f3dd73","P3D","Timing","P3D","Week 26 timing","26 Weeks","Week 26","P26W","Timing_16","-3..3 days"
"TIM8","5a87b31f-7032-4477-8eca-c5457e2d144b","","Timing","","Week 8 at home timing","2 Weeks","Week 8 Home","P2W","Timing_8",""
"TIM10","d4371a4e-6a0d-486e-a069-5eb9c669523b","","Timing","","Week 12 at home timing","2 Weeks","Week 12 Home","P2W","Timing_10",""
"TIM12","0ef19093-4053-4904-bdc5-d0fab8b93ac2","","Timing","","Week 16 at home timing","2 Weeks","Week 16 Home","P2W","Timing_12",""
"TIM14","952b5b1f-f179-4d48-bda2-6948158599fd","","Timing","","Week 20 at home timing","2 Weeks","Week 20 Home","P2W","Timing_14",""
"TIM17","85ede64a-d099-4cfa-bd6f-bacf5c7015f8","","Timing","","Adverse Event","1 Day","Adverse Event","P1D","Timing_17",""
"TIM18","ee6df761-0609-48e6-87b2-7ad3f9574f08","","Timing","","Early Termination","1 Day","Early Termination","P1D","Timing_18",""
"TIM19","6e2d618c-bf38-4334-b390-17a46a04d707","","Timing","","Supine","0 mins","Supine","PT0M","Timing_19",""
"TIM20","d71fb8b0-414f-43d2-9ba8-3ca1e79d9648","","Timing","","VS while supine","5 mins","VS while supine","PT5M","Timing_20",""
"TIM21","b9153afa-c624-47aa-b77f-952c03e3d1a1","","Timing","","Standing","0 min","Standing","PT0M","Timing_21",""
"TIM22","eaffb6b5-b411-41cb-83a5-125e4a423166","","Timing","","VS while standing","1 min","VS while standing","PT1M","Timing_22",""
"TIM23","df5cf3c4-c3c7-4282-8b98-e74003fc6b50","","Timing","","Standing","0 min","Standing","PT0M","Timing_23",""
"TIM24","57239224-2fce-49e3-af7e-c87f75de7068","","Timing","","VS while standing","2 min","VS while standing","PT2M","Timing_24",""
