"decode","uuid:ID","codeSystem","instanceType","codeSystemVersion","code","id"
"Interventional Study","0a010105-f116-4a3e-90b2-d7a7c9cd8c07","http://www.cdisc.org","Code","2023-12-15","C98388","Code_1"
"Phase II Trial","5b7b5163-3ded-43d1-ad34-5ac411ab02c4","http://www.cdisc.org","Code","2023-12-15","C15601","Code_2"
"Sponsor Approval Date","4cebf556-643f-49dc-9303-8df2130de152","http://www.cdisc.org","Code","2023-12-15","C132352","Code_9"
"Global","b54a955d-2bb7-4e8b-9af1-b2f15e39e02f","http://www.cdisc.org","Code","2023-12-15","C68846","Code_10"
"IRB/IEC Feedback","631752c4-9281-4c40-b51e-8d5f30d0a142","http://www.cdisc.org","Code","2023-12-15","C99904x3","Code_72"
"Other","b89cd5ae-46d8-4a3d-a5fc-b320a69816d5","http://www.cdisc.org","Code","2023-12-15","C17649","Code_73"
"Region","e5d05f0e-f758-42f1-9a1e-edcada515e0c","http://www.cdisc.org","Code","2023-12-15","C41129","Code_75"
"Europe","bdf97609-627f-4182-82bf-39dbc08c30d1","ISO 3166 1 alpha3","Code","2020-08","150","Code_74"
"Eli Lilly","5fa87544-69de-4f5b-a690-a4ce328edb90","SPONSOR","Code","12","PHARMA","Code_4"
"Clinical Study Sponsor","6fcf06c1-3a7e-4ece-a7d8-9bd5352642a5","http://www.cdisc.org","Code","2023-12-15","C70793","Code_76"
"United States of America","51047af2-2bd7-4d9b-8ae5-54d82822c1a5","ISO 3166 1 alpha3","Code","2020-08","USA","Code_77"
"Study Registry","d5d46da7-86c7-4d88-bf17-046e23a08c98","http://www.cdisc.org","Code","2023-12-15","C93453","Code_78"
"United States of America","e79a78e6-2499-40a4-8433-1cf1aa709869","ISO 3166 1 alpha3","Code","2020-08","USA","Code_79"
"Treatment Study","0b1ce275-dd13-4336-a30a-61fa7faefed0","http://www.cdisc.org","Code","2023-12-15","C49656","Code_137"
"Efficacy Study","8159d7ad-821f-42a2-9b3c-16f0458d0d5f","http://www.cdisc.org","Code","2023-12-15","C49666","Code_138"
"Safety Study","10c1f8f8-5c6e-40d1-b18e-53c03a7c1749","http://www.cdisc.org","Code","2023-12-15","C49667","Code_139"
"Pharmacokinetic Study","bdfb2752-63be-49db-9053-da9726b4d3fa","http://www.cdisc.org","Code","2023-12-15","C49663","Code_140"
"Mild to Moderate Alzheimer's Disease","7e0e8bee-b433-4883-b054-3b44a281f780","SPONSOR","Code","12","MILD_MOD_ALZ","Code_134"
"Alzheimer's disease","8812b484-0070-4b52-8a3b-0a4a4e72bbe9","SNOMED","Code","January 31, 2018","26929004","Code_135"
"EXTENSION","2a3a22c4-59df-47f9-88b3-93d312dc0c17","http://www.cdisc.org","Code","2023-12-15","C99907x1","Code_143"
"ADAPTIVE","06553286-56bb-4806-b6b2-032b9422c258","http://www.cdisc.org","Code","2023-12-15","C98704","Code_144"
"Parallel Study","312e0a57-53e7-4e94-87f5-817c10e19ffa","http://www.cdisc.org","Code","2023-12-15","C82639","Code_141"
"Visit","e95315ba-0259-4ebe-94c6-9ca38aeec889","http://www.cdisc.org","Code","2023-12-15","C25716","Code_83"
"Clinic","8c660b60-7f6a-4a21-a86d-036f51c0293d","http://www.cdisc.org","Code","2023-12-15","C51282","Code_84"
"In Person","6738644b-ff89-47ca-b762-1638601ecdd8","http://www.cdisc.org","Code","2023-12-15","C175574","Code_85"
"Visit","21617850-12e9-4322-aa23-8ca58cce2b17","http://www.cdisc.org","Code","2023-12-15","C25716","Code_86"
"Clinic","4e4926b6-fc07-4876-8cdb-c1b58c578fed","http://www.cdisc.org","Code","2023-12-15","C51282","Code_87"
"In Person","bad131ac-4690-479f-a9aa-38859e82e8be","http://www.cdisc.org","Code","2023-12-15","C175574","Code_88"
"Visit","bd549928-28e6-49f9-8a47-f8b829a02b2c","http://www.cdisc.org","Code","2023-12-15","C25716","Code_89"
"Clinic","8873f0f6-6d5d-44af-a71d-a7c4750ee616","http://www.cdisc.org","Code","2023-12-15","C51282","Code_90"
"In Person","a0881335-06b9-4f07-a1a2-1a6c49f91ada","http://www.cdisc.org","Code","2023-12-15","C175574","Code_91"
"Visit","4684d2d7-ec85-45c7-9899-2b582a0b25bc","http://www.cdisc.org","Code","2023-12-15","C25716","Code_92"
"Clinic","6e6432de-aa8f-4d39-9186-9237de781130","http://www.cdisc.org","Code","2023-12-15","C51282","Code_93"
"In Person","b47cb4c4-6098-4f5a-b34c-683d6364c45b","http://www.cdisc.org","Code","2023-12-15","C175574","Code_94"
"Visit","da7cc2e3-7b30-4bf2-89fd-e9b378373e81","http://www.cdisc.org","Code","2023-12-15","C25716","Code_95"
"Clinic","3b5b2794-f5c4-464e-ad9a-4d8bfc362d5d","http://www.cdisc.org","Code","2023-12-15","C51282","Code_96"
"In Person","b623166e-c39a-4305-a6f3-700d7183109a","http://www.cdisc.org","Code","2023-12-15","C175574","Code_97"
"Visit","cd2b29e2-e00c-44c4-8fae-f1afe566b1a1","http://www.cdisc.org","Code","2023-12-15","C25716","Code_98"
"Clinic","51ae3995-013c-4713-a1cb-4b9a17acc7ab","http://www.cdisc.org","Code","2023-12-15","C51282","Code_99"
"In Person","1782c0b8-3830-43f2-91ca-88e727ed6061","http://www.cdisc.org","Code","2023-12-15","C175574","Code_100"
"Visit","465c033d-c4dc-45d9-a889-7287673bc06f","http://www.cdisc.org","Code","2023-12-15","C25716","Code_101"
"Clinic","8974f474-c4c3-470a-a6d8-04e37abf95ed","http://www.cdisc.org","Code","2023-12-15","C51282","Code_102"
"In Person","2fcc9729-7d93-4e75-8416-9a19ec5e9cc0","http://www.cdisc.org","Code","2023-12-15","C175574","Code_103"
"Telephone Call","85788281-f1e8-4332-b79e-d72d3db2e963","http://www.cdisc.org","Code","2023-12-15","C171537","Code_104"
"Visit","fe216ced-ac9c-4340-852c-3982917fcf9d","http://www.cdisc.org","Code","2023-12-15","C25716","Code_105"
"Clinic","834097b5-5a11-4a46-8749-3f6a619cadc6","http://www.cdisc.org","Code","2023-12-15","C51282","Code_106"
"In Person","acce39b5-ec1a-4b45-a45c-ad3d16e4016d","http://www.cdisc.org","Code","2023-12-15","C175574","Code_107"
"Telephone Call","26f4258a-07d9-4163-9808-2c057ca9d5ec","http://www.cdisc.org","Code","2023-12-15","C171537","Code_108"
"Visit","5bff0e36-32d7-4aa2-82f9-d50908ad7c28","http://www.cdisc.org","Code","2023-12-15","C25716","Code_109"
"Clinic","dced5680-c2a4-440f-905a-ee112143a59a","http://www.cdisc.org","Code","2023-12-15","C51282","Code_110"
"In Person","9fff85f2-3ede-40ac-a2a0-185254aac2c7","http://www.cdisc.org","Code","2023-12-15","C175574","Code_111"
"Telephone Call","0aea9cb5-202a-4b01-add3-e1dcad106f6d","http://www.cdisc.org","Code","2023-12-15","C171537","Code_112"
"Visit","e8d6db89-6f20-402d-a7ab-b7744938ba5a","http://www.cdisc.org","Code","2023-12-15","C25716","Code_113"
"Clinic","66e3b576-3f88-4714-b1b8-f9dd69525bac","http://www.cdisc.org","Code","2023-12-15","C51282","Code_114"
"In Person","1e3c058f-5d98-4cb1-a45c-fcee14e0e863","http://www.cdisc.org","Code","2023-12-15","C175574","Code_115"
"Telephone Call","be89d740-c652-4fd9-939c-4c4db51415c0","http://www.cdisc.org","Code","2023-12-15","C171537","Code_116"
"Visit","e8791858-c978-4ca8-86df-477796b42c92","http://www.cdisc.org","Code","2023-12-15","C25716","Code_117"
"Clinic","3ade9a1b-fd95-473e-8b5d-f651df1a5997","http://www.cdisc.org","Code","2023-12-15","C51282","Code_118"
"In Person","73fe978f-c61b-4430-977b-e9083cfb7b32","http://www.cdisc.org","Code","2023-12-15","C175574","Code_119"
"Visit","cda213e7-a85b-4a98-b083-cfd4a1b7e5a5","http://www.cdisc.org","Code","2023-12-15","C25716","Code_120"
"Clinic","e744df9a-1609-469b-af0f-80782c5b4e6c","http://www.cdisc.org","Code","2023-12-15","C51282","Code_121"
"In Person","fcb79438-a318-47b1-a05e-bd97b9ed0ba6","http://www.cdisc.org","Code","2023-12-15","C175574","Code_122"
"CT of head without contrast","6ce62408-fd68-4b85-83ac-40de2a210036","SNOMED","Code","January 31, 2018","383371000119108","Code_80"
"Subject Supine","e8e09d48-0010-4355-aec6-f611665ba2a6","SPONSOR","Code","12","123","Code_81"
"Subject Standing","6c964bca-874b-4fba-af8b-0d2b96d33975","SPONSOR","Code","12","124","Code_82"
