"name","uuid:ID","instanceType","description","label","id"
"E1","be78fa96-6de0-4ea5-b97d-af5cf7da4a66","Encounter","Screening encounter","Screening 1","Encounter_1"
"E2","dd3c3cef-99f8-41b8-a3a9-a608705bbb5f","Encounter","Screening encounter - Ambulatory ECG Placement","Screening 2","Encounter_2"
"E3","d8733266-3e83-49e2-bf4a-ad2bfcccc8f2","Encounter","Baseline encounter - Ambulatory ECG Removal","Baseline","Encounter_3"
"E4","41783329-d99c-4527-9361-b7c76e5c3b18","Encounter","Day 14","Week 2","Encounter_4"
"E5","2d83241d-08ee-442e-a591-5eca4d59b1a7","Encounter","Day 28","Week 4","Encounter_5"
"E7","c875d25a-fba0-44f8-ad9c-74b386df7c4d","Encounter","Day 42","Week 6","Encounter_6"
"E8","24958794-25ac-4b5c-b91a-003372011477","Encounter","Day 56","Week 8","Encounter_7"
"E9","d36e8768-15fa-4de2-9b53-d39a5b4f350a","Encounter","Day 84","Week 12","Encounter_8"
"E10","9e103b57-0530-4e43-b53d-05c9d5078e08","Encounter","Day 112","Week 16","Encounter_9"
"E11","55e384d6-dc15-4ae5-8512-a7b31a12b15c","Encounter","Day 140","Week 20","Encounter_10"
"E12","71a71b78-6469-4f3c-9f4c-e35a4b7805f2","Encounter","Day 168","Week 24","Encounter_11"
"E13","db344543-46aa-48a7-abdf-3dfe913735a7","Encounter","Day 182","Week 26","Encounter_12"
