"purpose","name","text","uuid:ID","instanceType","description","label","id"
"","END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","37d832d6-3443-4e8e-a889-aac1489dad51","Endpoint","","","Endpoint_1"
"","END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","10522b87-4e9c-4ca4-8fc7-bcb8e9fe270c","Endpoint","","","Endpoint_2"
"","END3","Adverse events","391c1e1d-5778-4549-8ae3-d2b1987ec847","Endpoint","","","Endpoint_3"
"","END4","Vital signs (weight, standing and supine blood pressure, heart rate)","7350fd2d-2f53-4631-8891-95f1a48f3985","Endpoint","","","Endpoint_4"
"","END5","Laboratory evaluations (Change from Baseline)","1783017e-ef2b-445c-a77d-4182e188bfea","Endpoint","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Endpoint_5"
"","END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","29443f1c-01d3-4b8e-812c-729edf417fcf","Endpoint","","","Endpoint_6"
"","END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","12a21a6c-a7b5-4a4e-b5d5-7d9d6e1cbf51","Endpoint","","","Endpoint_7"
"","END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","00a64663-732f-43f7-a860-6292ca2db045","Endpoint","","","Endpoint_8"
"","END9","*** To be determined from protocol ***","57e21333-d812-4275-bb32-2460f6dcb549","Endpoint","","","Endpoint_9"
"","END10","*** To be determined from protocol ***","2c3c1ace-9ba1-41cc-ade5-26ca466ede41","Endpoint","","","Endpoint_10"
"","END11","*** To be determined from protocol ***","0fe4846f-dea2-4e90-9f7f-f573415c5736","Endpoint","","","Endpoint_11"
