"name","uuid:ID","instanceType","description","label","id"
"Informed consent","74ef50d7-dbdc-4ee9-bb19-870b529a2721","Activity","","Informed consent","Activity_1"
"Inclusion/exclusion criteria","914bed81-bc80-4525-8418-2c287bcc94af","Activity","","Inclusion and exclusion criteria","Activity_2"
"Patient number assigned","c0fd85e8-4c16-4069-8478-98fbaeac767d","Activity","","Patient number assigned","Activity_3"
"Demographics","3ccaed29-5fe9-4b67-a01d-f57b4925f0c5","Activity","","Demographics","Activity_4"
"Hachinski","bb62d83e-75e8-49b9-ad40-ffb340b12704","Activity","","Hachinski Ischemic Scale","Activity_5"
"MMSE","fcd6f828-7158-4b01-abe0-8ef7d5ad9511","Activity","","MMSE","Activity_6"
"Physical examination","05382887-9088-46b5-9a0c-5e6a7d364a58","Activity","","Physical examination","Activity_7"
"Medical history","ef22a365-1b38-43e1-9665-3d74e47205ea","Activity","","Medical history","Activity_8"
"Habits","e21e33c3-4337-4723-8155-0d32ea766f7d","Activity","","Habits","Activity_9"
"Chest X-ray","0fa3233e-41ed-4cb9-988d-9782c06b6430","Activity","","Chest X-ray","Activity_10"
"Apo E genotyping","e147f73d-03c3-4d77-a9a2-b2b8f8da6c8f","Activity","","Apo E genotyping","Activity_11"
"Patient randomised","9820553c-0857-4053-a898-9096db9f1d6a","Activity","","Patient randomised","Activity_12"
"Vital signs / Temperature","468227d8-50ce-4850-91c2-9384efcacd96","Activity","","Vital Signs and Temperature","Activity_13"
"Ambulatory ECG placed","2ea5e17c-9046-4431-8c54-06a1cf581542","Activity","","Ambulatory ECG placed","Activity_14"
"Ambulatory ECG removed","9c963408-2866-4b45-b15f-b357aeed1ad0","Activity","","Ambulatory ECG removed","Activity_15"
"ECG","3b4453e7-0a9c-49f5-9ace-143396adef50","Activity","","ECG","Activity_16"
"Placebo TTS test","56227e2e-6869-486a-833d-302854a32d8d","Activity","","Placebo TTS test","Activity_17"
"CT scan","9a232806-57fc-4b7e-92af-e7124eb092e4","Activity","","CT scan","Activity_18"
"Concomitant medications","0dc77d36-5762-452b-af47-101c36e15043","Activity","","Concomitant medications","Activity_19"
"Hematology","1effd78a-1c9a-4a31-af05-a5119bf4b75f","Activity","","Hematology","Activity_20"
"Chemistry","d5e790b6-6eff-445d-bb48-30bc4438a337","Activity","","Chemistry","Activity_21"
"Uninalysis","3eadfced-89e8-4a01-8e0b-d30395d7d4fe","Activity","","Uninalysis","Activity_22"
"Plasma Specimen (Xanomeline)","a76765d3-9a6b-49de-8e49-7338d2c4b806","Activity","","Plasma Specimen (Xanomeline)","Activity_23"
"Hemoglobin A1C","2ca1da58-d262-4dec-8aab-72f0e84ae705","Activity","","Hemoglobin A1C","Activity_24"
"Study drug","2bbea524-1ce6-4081-bf14-7d7a76aa5e3f","Activity","","Study drug record , Medications dispensed, Medications returned","Activity_25"
"TTS Acceptability Survey","365456a8-4ef9-4c90-881b-ee4516114349","Activity","","TTS Acceptability Survey","Activity_26"
"ADAS-Cog","7bb71279-48a6-43b9-9ec2-ebbcd76d4386","Activity","","ADAS-Cog","Activity_27"
"CIBIC+","8e12b318-cd04-4ed7-96b2-e12e356dea4d","Activity","","CIBIC+","Activity_28"
"DAD","a750a4ea-e366-4d65-b1c2-994faea7b9fa","Activity","","DAD","Activity_29"
"NPI-X","72af9844-7e0d-467d-bab9-b20b30dad5ca","Activity","","NPI-X","Activity_30"
"Adverse events","d9845c54-9308-46be-a688-076790d621eb","Activity","","Adverse events","Activity_31"
"Check adverse events","5d308ec3-b2e6-4a6c-abe9-6fb39d4a92b5","Activity","","Check adverse events","Activity_32"
"Supine","3567234a-49d9-41a2-8bea-e6834401f8a7","Activity","","Subject supine","Activity_33"
"Vital Signs Supine","273e60c6-c7e8-4923-b875-428d9df2acfd","Activity","","Vital signs while supine","Activity_34"
"Stand","80d1255a-a32d-43f9-b49a-10d6f7ee3429","Activity","","Subject Standing","Activity_35"
"Vital Signs Standing","ca2851ca-090e-4fa8-b3b8-19602056e0d7","Activity","","Vital signs while standing","Activity_36"
