"name","text","uuid:ID","instanceType","id"
"ENCOUNTER_START_RULE_1","Subject identifier","58ab8d2c-32f0-4b88-80a1-6bcd0d15e0f1","TransitionRule","TransitionRule_1"
"ENCOUNTER_START_RULE_1","completion of screening activities","59be4771-f1c6-4cd2-8605-e26d44a21f94","TransitionRule","TransitionRule_2"
"ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","c016c3b4-82ea-4d2c-ad59-077484e41209","TransitionRule","TransitionRule_3"
"ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","7dc63dbb-644c-4c09-8cb4-325bcaca7ada","TransitionRule","TransitionRule_4"
"ENCOUNTER_START_RULE_3","Radomized","63fe00d2-cf2b-4609-92ec-2997fd66e064","TransitionRule","TransitionRule_5"
"ENCOUNTER_START_RULE_12","End of treatment","3627bb14-a1fa-4da2-814d-696847b25995","TransitionRule","TransitionRule_6"
"ELEMENT_START_RULE_1","Informed consent","7302d775-9fb4-4454-a6db-a93194ea3feb","TransitionRule","TransitionRule_7"
"ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","d5b120eb-5d65-43dc-b572-5a5295965209","TransitionRule","TransitionRule_8"
"ELEMENT_START_RULE_2","Administration of first dose","18395d50-34fb-4aaf-bb37-213f60a2df63","TransitionRule","TransitionRule_9"
"ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","4838b7fd-a3f8-4ed5-9072-b475daed4b8e","TransitionRule","TransitionRule_14"
"ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","cb9d555b-c3d1-47d4-bc6d-9e8d48f95a14","TransitionRule","TransitionRule_15"
"ELEMENT_START_RULE_3","Administration of first dose","d93cb7ef-1126-41a0-8574-15843d535bf9","TransitionRule","TransitionRule_10"
"ELEMENT_START_RULE_4","Randomized","cdf901d2-b7e3-4132-a4a6-760a2a1ea720","TransitionRule","TransitionRule_11"
"ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","ebe5af63-8897-4b53-8336-892cef072728","TransitionRule","TransitionRule_12"
"ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","ff6d57f7-887d-4721-8038-136e23845e26","TransitionRule","TransitionRule_13"
