"description","name","label","instanceType","uuid:ID","id"
"Screening encounter","E1","Screening 1","Encounter","3b776e1a-1423-4bfb-9bbd-49eb57f92863","Encounter_1"
"Screening encounter - Ambulatory ECG Placement","E2","Screening 2","Encounter","63e4b3e1-f174-4feb-8a01-893f38f626b7","Encounter_2"
"Baseline encounter - Ambulatory ECG Removal","E3","Baseline","Encounter","61ce54f4-e692-40a6-be06-eb5f5daa31ec","Encounter_3"
"Day 14","E4","Week 2","Encounter","3a18cd51-03d4-488e-bc5d-aed70da22204","Encounter_4"
"Day 28","E5","Week 4","Encounter","21621e9b-a9ec-4fbf-af16-689f380e4b57","Encounter_5"
"Day 42","E7","Week 6","Encounter","0c384ac1-ee32-411a-9b2d-f4befbc6e079","Encounter_6"
"Day 56","E8","Week 8","Encounter","16382e96-513b-4bae-8fa2-f3b761e1eceb","Encounter_7"
"Day 84","E9","Week 12","Encounter","bd901de7-eaae-499e-b9df-5c0e8e389cb6","Encounter_8"
"Day 112","E10","Week 16","Encounter","43a0c501-14af-4786-90ad-2ccc20f34400","Encounter_9"
"Day 140","E11","Week 20","Encounter","170e5339-5c55-40b8-b604-2e9409b92d98","Encounter_10"
"Day 168","E12","Week 24","Encounter","ba67475e-c6a0-4b64-ac7d-4f868ca1d8dd","Encounter_11"
"Day 182","E13","Week 26","Encounter","d28fd9e1-41db-4033-bf32-4a4e3e348333","Encounter_12"
