"description","name","label","instanceType","uuid:ID","id"
"","Informed consent","Informed consent","Activity","d99fcc81-9c6e-4c06-aa6c-f3eedaab7ff1","Activity_1"
"","Inclusion/exclusion criteria","Inclusion and exclusion criteria","Activity","12fd41b3-7e75-4610-9036-3ab2e258ad39","Activity_2"
"","Patient number assigned","Patient number assigned","Activity","51704f37-5583-4141-89e9-c52fbb8b025d","Activity_3"
"","Demographics","Demographics","Activity","c2e2d17e-46c9-4e3a-a4c6-27d09b925e83","Activity_4"
"","Hachinski","Hachinski Ischemic Scale","Activity","43c647c7-9daa-4a01-8af0-8a36a5e45383","Activity_5"
"","MMSE","MMSE","Activity","97e8ab1e-aba7-44ae-a20b-e2cfe9ac43b4","Activity_6"
"","Physical examination","Physical examination","Activity","8a026c24-c640-41de-9291-00d0aae28682","Activity_7"
"","Medical history","Medical history","Activity","59717721-1ba4-4bb6-ab1a-dca13154347e","Activity_8"
"","Habits","Habits","Activity","a02ef891-8ebc-4b9e-8af2-e19f25b3683f","Activity_9"
"","Chest X-ray","Chest X-ray","Activity","6a0740c9-d2c0-4129-9617-00d31d477c54","Activity_10"
"","Apo E genotyping","Apo E genotyping","Activity","1f3a988b-07d7-4e55-809d-7619777fdbfa","Activity_11"
"","Patient randomised","Patient randomised","Activity","523b58fa-4525-4755-8df4-c331d78aa8f1","Activity_12"
"","Vital signs / Temperature","Vital Signs and Temperature","Activity","9e591d9a-4ff0-42a9-986f-a4b0acafb968","Activity_13"
"","Ambulatory ECG placed","Ambulatory ECG placed","Activity","fde0014d-8498-44eb-8f07-41ce43d62b8a","Activity_14"
"","Ambulatory ECG removed","Ambulatory ECG removed","Activity","63950b45-f670-411a-856b-2913240a823c","Activity_15"
"","ECG","ECG","Activity","a27dbf76-b65c-45da-b5cc-74caa7682e5e","Activity_16"
"","Placebo TTS test","Placebo TTS test","Activity","b29d215f-7ce2-4249-9724-dec306640fd3","Activity_17"
"","CT scan","CT scan","Activity","96c0f839-63a6-4f20-9e28-2e74ed2c62c4","Activity_18"
"","Concomitant medications","Concomitant medications","Activity","96d1ee78-6b39-4dd4-bdb7-3751b24af4bf","Activity_19"
"","Hematology","Hematology","Activity","b6633fe1-4ad2-4eb3-9a34-a36846dbe53a","Activity_20"
"","Chemistry","Chemistry","Activity","659c6948-fcba-4e60-9ebb-257e0f2b8b82","Activity_21"
"","Uninalysis","Uninalysis","Activity","2a0611ff-368f-489f-becf-11c357bc164d","Activity_22"
"","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)","Activity","06858750-aef7-4233-9d75-265b024f8097","Activity_23"
"","Hemoglobin A1C","Hemoglobin A1C","Activity","0013e8bb-9654-4023-be1a-37249991ee75","Activity_24"
"","Study drug","Study drug record , Medications dispensed, Medications returned","Activity","234bce50-05ff-4c22-b311-5005dc756022","Activity_25"
"","TTS Acceptability Survey","TTS Acceptability Survey","Activity","6256a1ab-98d7-419e-a279-a1d8ff152e71","Activity_26"
"","ADAS-Cog","ADAS-Cog","Activity","fe8f6cbd-b749-4420-bf5e-ca507ef7bc9a","Activity_27"
"","CIBIC+","CIBIC+","Activity","8ef799e8-98cd-44b0-bc95-2f8e35ef5fb4","Activity_28"
"","DAD","DAD","Activity","4f861372-a732-4149-8817-5feeb80695e7","Activity_29"
"","NPI-X","NPI-X","Activity","30b5ddfb-1c8e-4794-9d47-59285fd4c242","Activity_30"
"","Adverse events","Adverse events","Activity","f011b4a6-bf9a-40c4-9c5f-2992b47ee319","Activity_31"
"","Check adverse events","Check adverse events","Activity","5e1497f6-0731-4437-95a4-0800949a2000","Activity_32"
"","Supine","Subject supine","Activity","27945b46-9d55-4ac5-b646-c2047c559701","Activity_33"
"","Vital Signs Supine","Vital signs while supine","Activity","ebd8a28e-b587-4272-810a-bbdbd2d23bc5","Activity_34"
"","Stand","Subject Standing","Activity","8f60db01-66be-42a3-9ac7-14c85ba43427","Activity_35"
"","Vital Signs Standing","Vital signs while standing","Activity","65616723-dd8e-4efc-9a94-cb3951f146ba","Activity_36"
