"reference","synonyms","name","label","instanceType","uuid:ID","id"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","","Sex","Sex","BiomedicalConcept","3413c1a7-5a09-46fa-9418-0cffbea761ba","BiomedicalConcept_20"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","['Racial Group']","Race","Race","BiomedicalConcept","9f716041-650a-4920-9144-e452f3627ab7","BiomedicalConcept_21"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","['Temperature']","Body Temperature","Body Temperature","BiomedicalConcept","a7f6d2ad-3ae2-4ea3-8112-1b18121d6f1a","BiomedicalConcept_22"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","['Weight']","Body Weight","Body Weight","BiomedicalConcept","74a38ab6-b2d8-4d8d-82c1-aa2ba74ae1d8","BiomedicalConcept_23"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","['Height']","Body Height","Body Height","BiomedicalConcept","c1beae3d-490d-4fcc-be50-bb2a15093e2a","BiomedicalConcept_24"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","BiomedicalConcept","e9f47358-cb96-40e3-b1d2-70bdd8bcfde3","BiomedicalConcept_25"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","Albumin Measurement","Albumin Measurement","BiomedicalConcept","650bd237-248d-4841-9430-9a0d93b2ce94","BiomedicalConcept_26"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","BiomedicalConcept","76f77665-822b-4a68-8427-27146b78761b","BiomedicalConcept_27"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","BiomedicalConcept","6ff46f82-53bc-4a59-bdbd-e0f837cdd7da","BiomedicalConcept_28"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","Creatinine Measurement","Creatinine Measurement","BiomedicalConcept","9cb4f027-4621-46d2-b684-f00963c10a5f","BiomedicalConcept_29"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","Potassium Measurement","Potassium Measurement","BiomedicalConcept","256f237a-4058-4321-9f5c-825eb3b471b4","BiomedicalConcept_30"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","Sodium Measurement","Sodium Measurement","BiomedicalConcept","ce3c38e6-4783-4534-ac7e-5370e2845dbd","BiomedicalConcept_31"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C41331","","Adverse Event","Adverse Event","BiomedicalConcept","71e452cd-ffed-4a88-812b-3d7638884dfc","BiomedicalConcept_1"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","['SYSBP']","Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept","72e7417b-e427-445c-b68e-ed082f19f1fd","BiomedicalConcept_2"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","['DIABP']","Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept","3738d326-a496-4777-b481-1851052e3c2b","BiomedicalConcept_3"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","['Temperature']","Body Temperature","Body Temperature","BiomedicalConcept","8a4db5c7-b5fe-4e9b-8a1e-db61041059a4","BiomedicalConcept_4"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","['Weight']","Body Weight","Body Weight","BiomedicalConcept","d04d3638-c1f6-41bb-9b1c-abd6dbe92afc","BiomedicalConcept_5"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","['Height']","Body Height","Body Height","BiomedicalConcept","0d1ae5e4-1e80-4c86-add0-08b26a7894a4","BiomedicalConcept_6"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","BiomedicalConcept","74d45160-771e-4ef3-96f6-76572cc22fba","BiomedicalConcept_7"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","Albumin Measurement","Albumin Measurement","BiomedicalConcept","f664691f-541c-44b5-a31e-6e9711a8277f","BiomedicalConcept_8"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","BiomedicalConcept","df834b53-862b-4f3e-b8f0-89fa3765127a","BiomedicalConcept_9"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","BiomedicalConcept","874f0e7e-416b-4db0-9a1a-340d6b2e7e5f","BiomedicalConcept_10"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","Creatinine Measurement","Creatinine Measurement","BiomedicalConcept","8e046f68-f20e-4de9-a64c-db6ed3ccaa97","BiomedicalConcept_11"
