"text","name","instanceType","uuid:ID","id"
"Subject identifier","ENCOUNTER_START_RULE_1","TransitionRule","9d2cdf03-30fd-439a-90c7-4106a5809e42","TransitionRule_1"
"completion of screening activities","ENCOUNTER_START_RULE_1","TransitionRule","1e0f4849-715c-45e7-b074-cbc7196279d0","TransitionRule_2"
"subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","TransitionRule","875519d5-e035-4f0a-811a-2109b96d0464","TransitionRule_3"
"subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","TransitionRule","d50d0c1d-24ba-4fb1-9223-c55c468602ce","TransitionRule_4"
"Radomized","ENCOUNTER_START_RULE_3","TransitionRule","8a3ca4e1-f8a5-4a12-a9c0-b80566069104","TransitionRule_5"
"End of treatment","ENCOUNTER_START_RULE_12","TransitionRule","11b7e07e-1a05-4ea1-ba62-87570b5b14ef","TransitionRule_6"
"Informed consent","ELEMENT_START_RULE_1","TransitionRule","39c41b67-500a-46c1-ba80-9a001edf850c","TransitionRule_7"
"Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","TransitionRule","5f5f8913-c3eb-476c-a034-bdcedee33765","TransitionRule_8"
"Administration of first dose","ELEMENT_START_RULE_2","TransitionRule","b55bf039-5e89-4a7d-89ad-3f39041b1438","TransitionRule_9"
"End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","TransitionRule","e82c48d1-004b-4027-9ac4-eba96066c42c","TransitionRule_14"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","TransitionRule","db90fc18-a73f-44e4-93c1-0da5a8219f17","TransitionRule_15"
"Administration of first dose","ELEMENT_START_RULE_3","TransitionRule","879b02b1-9ba3-4bbb-9509-7b7ab44652b6","TransitionRule_10"
"Randomized","ELEMENT_START_RULE_4","TransitionRule","582f4b26-d625-4c0b-85c1-32f76ebfacba","TransitionRule_11"
"Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","TransitionRule","74e942ba-63f3-480f-bdb2-24ce53bf4710","TransitionRule_12"
"Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","TransitionRule","66dc22be-69a6-4b73-96b6-021baab7723d","TransitionRule_13"
