"description","purpose","text","name","label","instanceType","uuid:ID","id"
"","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","END1","","Endpoint","e7e24e58-4ab2-42b9-beec-57236fa66d88","Endpoint_1"
"","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","END2","","Endpoint","e88c79ee-9615-41aa-8917-f4aa199f0fa7","Endpoint_2"
"","","Adverse events","END3","","Endpoint","1c746328-7808-4214-ba89-1bb0f07d0aa8","Endpoint_3"
"","","Vital signs (weight, standing and supine blood pressure, heart rate)","END4","","Endpoint","5170d858-e2eb-483e-8739-e0bf14d26e31","Endpoint_4"
"The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Laboratory evaluations (Change from Baseline)","END5","","Endpoint","c4422fe8-683b-4739-8f6c-189cbc6f7730","Endpoint_5"
"","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","END6","","Endpoint","fb998966-51eb-47de-b370-9d4255da6ddf","Endpoint_6"
"","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","END7","","Endpoint","0dd61165-037a-44cb-94df-4d7a114ae7b0","Endpoint_7"
"","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","END8","","Endpoint","dabb73e0-4980-4c32-b2d5-c81b85c3078e","Endpoint_8"
"","","*** To be determined from protocol ***","END9","","Endpoint","2de2f9a8-2ab1-4843-a4fa-87429ab8575b","Endpoint_9"
"","","*** To be determined from protocol ***","END10","","Endpoint","4d6636ac-d04b-498e-b048-443840567883","Endpoint_10"
"","","*** To be determined from protocol ***","END11","","Endpoint","f9b8af77-dc6c-4af9-956b-f8dd752d7f26","Endpoint_11"
