"description","name","label","value","window","instanceType","windowLower","uuid:ID","id","windowUpper"
"Screening timing","TIM1","Screening","P2W","","Timing","","da4d9544-23c9-4230-9e8b-417c157bfa00","Timing_1",""
"Pre dose timing","TIM2","Pre dose","P2D","-4..0 hours","Timing","PT4H","c6c4f9d4-8136-4789-80d2-07c809a60d15","Timing_2","PT0H"
"Dosing anchor","TIM3","Dosing","P1D","","Timing","","cdd02def-b734-4572-9c79-6eb81398e9d9","Timing_3",""
"Week 2 timing","TIM4","Week 2","P2W","-3..3 days","Timing","P3D","63de4084-bd2e-4a2e-b854-c78e99f0e3cc","Timing_4","P3D"
"Week 4 timing","TIM5","Week 4","P4W","-3..3 days","Timing","P3D","b15e0136-52a5-4514-9a84-fd9b08d4d6ca","Timing_5","P3D"
"Week 6 timing","TIM6","Week 6","P6W","-3..3 days","Timing","P3D","a9b11767-02a3-4d17-95f9-a8d1c567c153","Timing_6","P3D"
"Week 8 timing","TIM7","Week 8","P8W","-3..3 days","Timing","P3D","fb775977-d88f-4b2a-afcd-1d2c1c0ec018","Timing_7","P3D"
"Week 12 timing","TIM9","Week 12","P12W","-4..4 days","Timing","P4D","335a9db0-0aea-4b3a-ba79-a260d3d3277d","Timing_9","P4D"
"Week 16 timing","TIM11","Week 16","P16W","-4..4 days","Timing","P4D","db1981ee-4d9a-48a0-8bfa-60193c2f20de","Timing_11","P4D"
"Week 20 timing","TIM13","Week 20","P20W","-4..4 days","Timing","P4D","08d7fda2-af3d-45b8-a670-9b966076ed40","Timing_13","P4D"
"Week 24 timing","TIM15","Week 24","P24W","-4..4 days","Timing","P4D","49d1453e-a35b-4ebc-a32f-d4b73fd0e2aa","Timing_15","P4D"
"Week 26 timing","TIM16","Week 26","P26W","-3..3 days","Timing","P3D","3f3d1fee-6db1-4793-8bf5-c16584ea17e9","Timing_16","P3D"
"Week 8 at home timing","TIM8","Week 8 Home","P2W","","Timing","","2057c103-951c-46bc-8161-56df6b55b2a3","Timing_8",""
"Week 12 at home timing","TIM10","Week 12 Home","P2W","","Timing","","88e85bad-92ea-4222-9d5a-63fdd16cb1d2","Timing_10",""
"Week 16 at home timing","TIM12","Week 16 Home","P2W","","Timing","","e7684680-2a60-4d80-a45b-09797b1fa6e2","Timing_12",""
"Week 20 at home timing","TIM14","Week 20 Home","P2W","","Timing","","b47b6ff3-056b-4ca0-82ea-6d32b8c3014d","Timing_14",""
"Adverse Event","TIM17","Adverse Event","P1D","","Timing","","fe3b76bb-2a7c-4525-a149-b0e7b645c458","Timing_17",""
"Early Termination","TIM18","Early Termination","P1D","","Timing","","fdb9d9f6-53d5-4822-9647-f18c1c9feddd","Timing_18",""
"Supine","TIM19","Supine","PT0M","","Timing","","27fd2660-b133-435a-b300-2d2f159710a6","Timing_19",""
"VS while supine","TIM20","VS while supine","PT5M","","Timing","","336846ce-266d-453d-842d-49a1fb1da81f","Timing_20",""
"Standing","TIM21","Standing","PT0M","","Timing","","5d68198f-03d0-40d8-a67d-52ceb1ec185f","Timing_21",""
"VS while standing","TIM22","VS while standing","PT1M","","Timing","","4d91a389-58af-418c-97d2-d26b538fa39e","Timing_22",""
"Standing","TIM23","Standing","PT0M","","Timing","","9f95a1b8-5cfb-4732-915a-c77c723aa182","Timing_23",""
"VS while standing","TIM24","VS while standing","PT2M","","Timing","","5476e2b6-9140-4900-a8ba-426b67e85a38","Timing_24",""
