"sectionTitle","text","sectionNumber","id","uuid:ID","name"
"Root","","0","NarrativeContent_1","2c663b03-0e2b-4df1-919b-e026448c45aa","ROOT"
"TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","0","NarrativeContent_2","fdf84174-bf66-4fb4-a5b0-e928b9f4f4cd","SECTION 0"
"PROTOCOL SUMMARY","<div></div>","1","NarrativeContent_3","36b26e0f-4e0f-4a72-b480-39f05a7ac281","SECTION 1"
"Protocol Synopsis","<div></div>","1.1","NarrativeContent_4","dbd10a47-9037-48d4-99a8-93f05b333c15","SECTION 1.1"
"Trial Schema","<div></div>","1.2","NarrativeContent_5","6d85fed8-94e0-4271-960a-db20aacdd620","SECTION 1.2"
"Schedule of Activities","<div></div>","1.3","NarrativeContent_6","69d44022-b9ac-4760-aa16-f877fa502200","SECTION 1.3"
"INTRODUCTION","<div></div>","2","NarrativeContent_7","481b88b2-217c-4ade-b44e-284bbe52fde0","SECTION 2"
"Purpose of Trial","<div></div>","2.1","NarrativeContent_8","b2c04e91-6895-4f8b-8e2a-2be72ef9d88d","SECTION 2.1"
"Summary of Benefits and Risks","<div></div>","2.2","NarrativeContent_9","6b68bfc8-b38a-43bb-9511-083a8a4aca6e","SECTION 2.2"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","3","NarrativeContent_10","98ba345b-c4c9-4b7f-9cbd-cb88036264d8","SECTION 3"
"Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","3.1","NarrativeContent_11","845eb38f-5ef8-4c1e-9d5b-6d31b0e888bd","SECTION 3.1"
"TRIAL DESIGN","<div></div>","4","NarrativeContent_12","519cd37e-8dea-4fa4-ace3-888f3b792ce2","SECTION 4"
"Description of Trial Design","<div></div>","4.1","NarrativeContent_13","6a6ecf63-b813-455a-be0c-8e25371e407a","SECTION 4.1"
"Participant Input into Design","<div></div>","4.1.1","NarrativeContent_14","bbb4be5d-fd68-4a20-b7fd-307ae8a1e9a0","SECTION 4.1.1"
"Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","4.2","NarrativeContent_15","510e92bb-264f-449f-8542-ecfdf0562e15","SECTION 4.2"
"Rationale for Comparator","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","4.2.1","NarrativeContent_16","fcd4890a-1912-41dd-82f6-e46dc78c65f5","SECTION 4.2.1"
"Rationale for Adaptive or Novel Trial Design","<div></div>","4.2.2","NarrativeContent_17","1eb20680-0317-4cc1-ba2f-4ed1f0d4cb8f","SECTION 4.2.2"
"Other Trial Design Considerations","<div></div>","4.2.3","NarrativeContent_18","1c6e6010-28ed-4aa8-890a-e033b14b35ed","SECTION 4.2.3"
"Access to Trial Intervention After End of Trial","<div></div>","4.3","NarrativeContent_19","d63dc319-190e-49b9-aa16-b2d0567978da","SECTION 4.3"
"Start of Trial and End of Trial","<div></div>","4.4","NarrativeContent_20","b300f54d-8798-4e5e-b4a0-9ce6d66bba88","SECTION 4.4"
"TRIAL POPULATION","<div></div>","5","NarrativeContent_21","f2057c6a-2a1c-43a1-8749-950931921721","SECTION 5"
