"timingWindowLower","timingWindow","timingWindowUpper","id","timingValue","uuid:ID","label","name","description"
"","","","Timing_1","P2W","373451d7-6436-4b7e-8fa6-7647c2cfd0a8","Screening","TIM1","Screening timing"
"PT4H","-4..0 hours","PT0H","Timing_2","P2D","d3d131b8-b7d3-47ce-9060-4c8d15fd7451","Pre dose","TIM2","Pre dose timing"
"","","","Timing_3","P1D","88554f8c-6ace-46c2-bf88-780705c18adc","Dosing","TIM3","Dosing anchor"
"P3D","-3..3 days","P3D","Timing_4","P2W","891935a0-bf96-447b-ac96-9af055181f57","Week 2","TIM4","Week 2 timing"
"P3D","-3..3 days","P3D","Timing_5","P4W","0c805448-6140-4b33-936a-57c73e11484f","Week 4","TIM5","Week 4 timing"
"P3D","-3..3 days","P3D","Timing_6","P6W","328745de-ca2b-4c90-9524-209bf30fe7c2","Week 6","TIM6","Week 6 timing"
"P3D","-3..3 days","P3D","Timing_7","P8W","ad2747a8-7b9a-441d-8bf5-e46263b1d485","Week 8","TIM7","Week 8 timing"
"","","","Timing_8","P2W","ac9f7bdf-2690-4531-86aa-f1ddef18b7f7","Week 8 Home","TIM8","Week 8 at home timing"
"P4D","-4..4 days","P4D","Timing_9","P12W","9860ae68-e7c0-473a-8fbc-479c0f6fee9d","Week 12","TIM9","Week 12 timing"
"","","","Timing_10","P2W","462feef9-3c2a-428d-bf7d-e0959e27fe79","Week 12 Home","TIM10","Week 12 at home timing"
"P4D","-4..4 days","P4D","Timing_11","P16W","2d8b55fc-110e-46a6-b229-a4864ba8749e","Week 16","TIM11","Week 16 timing"
"","","","Timing_12","P2W","1b56787c-6bb4-44a3-8ec7-a467c7edff25","Week 16 Home","TIM12","Week 16 at home timing"
"P4D","-4..4 days","P4D","Timing_13","P20W","72b1ca5f-9970-476c-a3be-42a576b9fa9f","Week 20","TIM13","Week 20 timing"
"","","","Timing_14","P2W","9c468192-0173-4882-936f-40e7c0dedcee","Week 20 Home","TIM14","Week 20 at home timing"
"P4D","-4..4 days","P4D","Timing_15","P24W","7917b361-5e9c-4cee-8c45-3e584d46ecab","Week 24","TIM15","Week 24 timing"
"P3D","-3..3 days","P3D","Timing_16","P26W","b286388b-6073-4bf6-abc4-473590b76bbb","Week 26","TIM16","Week 26 timing"
"","","","Timing_17","P1D","6b2855c1-c6b9-468f-ab78-d6e5fb34f9d8","Adverse Event","TIM17","Adverse Event"
"","","","Timing_18","P1D","76c113e5-fe71-4706-9b19-d55b9a0d54fc","Early Termination","TIM18","Early Termination"
"","","","Timing_19","PT0M","fbba8952-ace6-488b-95f3-161b2035c929","BP Anchor","TIM19","BP Anchor"
"","","","Timing_20","PT5M","b972c3b9-7c6a-4128-a8bc-5eb9d779ab97","BP while Supine","TIM20","BP while Supine"
"PT2M","-2..0 mins","PT0M","Timing_21","PT3M","6ab134e6-ad80-4f73-b023-d69b7e660446","BP Stand Up","TIM21","BP Stand Up"
"","","","Timing_22","PT0M","e966b71b-d4cd-421b-b851-86acdafd73e0","BP while standing","TIM22","BP while standing"
