"codeSystem","decode","id","code","codeSystemVersion","uuid:ID"
"http://www.cdisc.org","Interventional Study","Code_1","C98388","2023-09-29","feb23cd1-5952-444c-b471-42b062fb5bdc"
"http://www.cdisc.org","Phase II Trial","Code_2","C15601","2023-09-29","27c4910d-3083-4b45-b3d9-9fcdcf9cffe5"
"http://www.cdisc.org","Sponsor Approval Date","Code_5","C132352","2023-09-29","dba4c959-ce3b-4ef9-b8d3-800a92595eab"
"http://www.cdisc.org","Global","Code_6","C68846","2023-09-29","5abf701b-17c7-4139-be8d-a08a7c489e69"
"http://www.cdisc.org","IRB/IEC Feedback","Code_54","C99904x3","2023-09-29","b701642f-44b7-453d-87ec-6b39b225f186"
"http://www.cdisc.org","Other","Code_55","C17649","2023-09-29","fb65889d-0f6c-406b-9c98-94a2ac836df0"
"http://www.cdisc.org","Region","Code_57","C41129","2023-09-29","cb513ad5-5406-4d5e-8de3-2cb7e3fc13f4"
"ISO 3166 1 alpha3","Europe","Code_56","150","2020-08","caf69758-481d-4e58-adb0-5d2c6059bf8c"
"http://www.cdisc.org","Country","Code_59","C25464","2023-09-29","aae4598f-4e3c-42c8-9e55-a15ea71e5fb1"
"ISO 3166 1 alpha3","Denmark","Code_58","DNK","2020-08","274ddaca-fbac-456d-9814-f69c07909306"
"SPONSOR","Eli Lilly","Code_3","PHARMA","12","0fdabf5f-dc01-4b5e-9143-c833edf53bcd"
"http://www.cdisc.org","Clinical Study Sponsor","Code_60","C70793","2023-09-29","782018e5-d867-4049-bdad-a84b4506ad59"
"ISO 3166 1 alpha3","United States of America","Code_61","USA","2020-08","2add76d1-433c-42b9-a144-7667bb70d4c0"
"http://www.cdisc.org","Study Registry","Code_62","C93453","2023-09-29","e186cc58-5b1a-4122-9f38-0a98c5406a6f"
"http://www.cdisc.org","Treatment Study","Code_120","C49656","2023-09-29","fa00ad0f-61fb-42e8-a369-0430d3297e9a"
"http://www.cdisc.org","Efficacy Study","Code_121","C49666","2023-09-29","7fcd8c9d-beec-46f6-aeda-b6288efe819a"
"http://www.cdisc.org","Safety Study","Code_122","C49667","2023-09-29","68478cea-8bbd-4324-a8ba-45d7c031f917"
"http://www.cdisc.org","Pharmacokinetic Study","Code_123","C49663","2023-09-29","6580f403-8b1c-4365-9394-f1c70ff874eb"
"SPONSOR","Mild to Moderate Alzheimer\'s Disease","Code_117","MILD_MOD_ALZ","12","efac42e6-fc70-418f-8197-85f56705a19d"
"SNOMED","Alzheimer\'s disease","Code_118","26929004","January 31, 2018","b3bb7fbd-d0ce-488e-bc58-1eca1afdfda0"
"http://www.cdisc.org","Parallel Study","Code_124","C82639","2023-09-29","3ec31324-56af-4da6-8bcf-9142796ca65a"
"http://www.cdisc.org","Visit","Code_66","C25716","2023-09-29","af4b593e-e32c-4ec9-8102-cf8dd52fcddb"
"http://www.cdisc.org","Clinic","Code_67","C51282","2023-09-29","85fa550d-9902-4bb9-9195-d0c47c93954e"
