"text","id","uuid:ID","label","name","description"
"Subject identifier","TransitionRule_1","7602baf4-aad0-4f1e-a1df-d2a01fbb5f70","","ENCOUNTER_START_RULE_1",""
"completion of screening activities","TransitionRule_2","7e4cc39e-7588-409b-bc64-d905f6ddf2c8","","ENCOUNTER_START_RULE_1",""
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","1f62b1f9-0d95-43c8-8bf3-b02344cf3e38","","ENCOUNTER_START_RULE_2",""
"subject has connection of ambulatory ECG machine removed","TransitionRule_4","3425e2a6-29eb-4503-a2a6-9a68191f570d","","ENCOUNTER_START_RULE_3",""
"Radomized","TransitionRule_5","8a681df4-bd82-402a-97af-810ebb098872","","ENCOUNTER_START_RULE_3",""
"End of treatment","TransitionRule_6","c3945086-1298-4454-ac83-d5b1c054fc23","","ENCOUNTER_START_RULE_12",""
"Informed consent","TransitionRule_7","07442dc7-84ae-4f6c-835f-1a42d1aa1737","","ELEMENT_START_RULE_1",""
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","2d72d0e6-1778-470e-b3cd-cb1c8a0cdf5a","","ELEMENT_END_RULE_1",""
"Administration of first dose","TransitionRule_9","df868104-1202-4657-8db7-4ef27ac3a6b3","","ELEMENT_START_RULE_2",""
"End of last scheduled visit on study (including early termination)","TransitionRule_14","23301944-2235-4a00-a5bf-8139ad55e33d","","ELEMENT_START_RULE_7",""
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","e6fb071b-ba14-433e-bebf-158de923b144","","ELEMENT_END_RULE_7",""
"Administration of first dose","TransitionRule_10","2844055e-b375-4ee7-86fb-a24fb5eafa7a","","ELEMENT_START_RULE_3",""
"Randomized","TransitionRule_11","8a681f47-be06-45a1-83a5-092589476671","","ELEMENT_START_RULE_4",""
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","91a82142-0488-4215-b115-6cab34b80600","","ELEMENT_START_RULE_5",""
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","c181ef59-a73a-4e4c-928e-e45725ae6c58","","ELEMENT_START_RULE_6",""
