"bcPropertyResponseCodes","id","bcPropertyDatatype","uuid:ID","label","bcPropertyRequired","bcPropertyEnabled","name"
"[]","BiomedicalConceptProperty_86","decimal","6a149dc3-a5ab-4455-863b-be79dccc89d8","Vital Signs Result","True","True","Vital Signs Result"
"","BiomedicalConceptProperty_87","string","7494dc02-f14f-41cf-8afa-7cadafa3f573","Unit of Temperature","True","True","Unit of Temperature"
"[]","BiomedicalConceptProperty_88","string","bdca5303-9fa7-4d1d-a9ac-892e268260c7","Vital Signs Location","True","True","Vital Signs Location"
"[]","BiomedicalConceptProperty_89","decimal","8cd347f8-0803-4945-b631-bea9443bb478","Vital Signs Result","True","True","Vital Signs Result"
"","BiomedicalConceptProperty_90","string","2343d8f9-d42d-47b8-9d97-e3824f89c3e0","Unit of Weight","True","True","Unit of Weight"
"[]","BiomedicalConceptProperty_91","decimal","51a18d8d-077e-4a9c-9168-3e36c75fa355","Vital Signs Result","True","True","Vital Signs Result"
"","BiomedicalConceptProperty_92","string","56f58128-3f85-4e88-9199-99233a7e8e5e","Unit of Height","True","True","Unit of Height"
"[]","BiomedicalConceptProperty_93","decimal","6806ff1d-cd06-4c48-964b-d3800b0c44d2","Laboratory Test Result","True","True","Laboratory Test Result"
"[]","BiomedicalConceptProperty_94","boolean","fa15ba41-bac3-4c70-9e71-25e8fb9762af","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status"
"[]","BiomedicalConceptProperty_95","string","f10ed8da-fefd-4e65-9fc8-334a32eb2878","Unit of Catalytic Activity Concentration","True","True","Unit of Catalytic Activity Concentration"
"[]","BiomedicalConceptProperty_96","string","edb68bab-9db1-4831-9824-6f87b8a2b519","Biospecimen Type","True","True","Biospecimen Type"
"[]","BiomedicalConceptProperty_97","string","712cec1e-ead2-415f-9d0a-829d5472281e","Laboratory Test Result","True","True","Laboratory Test Result"
"[]","BiomedicalConceptProperty_98","boolean","85d4c224-2a93-4842-b70d-6844328fb109","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status"
"[]","BiomedicalConceptProperty_99","string","d7e973bc-76dc-4cd0-a213-71900b5145bb","Unit of Concentration","True","True","Unit of Concentration"
"[]","BiomedicalConceptProperty_100","string","3ab55054-d437-42bc-be2c-a93988773b85","Biospecimen Type","True","True","Biospecimen Type"
"[]","BiomedicalConceptProperty_101","decimal","ccbd0084-f56e-4fd8-b30a-c8b1645e2f24","Laboratory Test Result","True","True","Laboratory Test Result"
"[]","BiomedicalConceptProperty_102","boolean","00d836d4-5df2-4fae-b55b-6074d1bbf7a8","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status"
"[]","BiomedicalConceptProperty_103","string","959cff2d-32d8-4a36-8baa-b993958304a6","Unit of Catalytic Activity Concentration","True","True","Unit of Catalytic Activity Concentration"
"[]","BiomedicalConceptProperty_104","string","f9770a51-c9a6-455c-b097-68d0b5fa9f2f","Biospecimen Type","True","True","Biospecimen Type"
"[]","BiomedicalConceptProperty_105","decimal","be427de1-4087-4b32-b69d-6ab46a3c1508","Laboratory Test Result","True","True","Laboratory Test Result"
"[]","BiomedicalConceptProperty_106","boolean","79cc5b54-e93a-4255-b617-eeac242c445a","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status"
"[]","BiomedicalConceptProperty_107","string","18b4df0f-bb6d-48b4-a78f-42ee5a1f19a9","Unit of Catalytic Activity Concentration","True","True","Unit of Catalytic Activity Concentration"
"[]","BiomedicalConceptProperty_108","string","509a476b-d6f9-4ea6-bcc6-a510604093f6","Biospecimen Type","True","True","Biospecimen Type"
"[]","BiomedicalConceptProperty_109","string","676d8555-ae4f-4686-b5ab-4cc00e56fa3b","Laboratory Test Result","True","True","Laboratory Test Result"
"[]","BiomedicalConceptProperty_110","boolean","b68c02ff-02bc-46d3-8afd-de9c590cc9f5","Laboratory Test Fasting Status","True","True","Laboratory Test Fasting Status"
"[]","BiomedicalConceptProperty_111","string","d20d9c85-f9ed-4dd3-adee-7d9a3286ca19","Unit of Concentration","True","True","Unit of Concentration"
