"windowUpper","windowLabel","windowLower","name","value","label","id","instanceType","uuid:ID","description","valueLabel"
"","","","TIM1","P2W","Screening","Timing_1","Timing","f395ac23-74f3-4d43-af38-4901c9b111f7","Screening timing","2 weeks"
"PT0H","-4..0 hours","PT4H","TIM2","P2D","Pre dose","Timing_2","Timing","896413d0-b10d-43b9-aed1-2457ecd1c3e6","Pre dose timing","2 days"
"","","","TIM3","P1D","Dosing","Timing_3","Timing","d909e8c3-4807-43ce-9968-fe73aea18f56","Dosing anchor","1 Day"
"P3D","-3..3 days","P3D","TIM4","P2W","Week 2","Timing_4","Timing","12e27be1-0f07-4f9e-bb3b-7ca6f977aaf6","Week 2 timing","2 Weeks"
"P3D","-3..3 days","P3D","TIM5","P4W","Week 4","Timing_5","Timing","7cb1bd54-900c-40a9-8758-d16bf57abc4d","Week 4 timing","4 Weeks"
"P3D","-3..3 days","P3D","TIM6","P6W","Week 6","Timing_6","Timing","31dcbb5b-b9b7-4d88-9cbc-ee919467e2c2","Week 6 timing","6 Weeks"
"P3D","-3..3 days","P3D","TIM7","P8W","Week 8","Timing_7","Timing","9bb4d9e1-51e2-4de4-a3a6-c55a0513cd93","Week 8 timing","8 Weeks"
"P4D","-4..4 days","P4D","TIM9","P12W","Week 12","Timing_9","Timing","9f3970d4-6633-43ac-8a4c-39c3cf8b4fc7","Week 12 timing","12 Weeks"
"P4D","-4..4 days","P4D","TIM11","P16W","Week 16","Timing_11","Timing","145cd68e-049c-4d19-acfa-65bbfe96bf28","Week 16 timing","16 Weeks"
"P4D","-4..4 days","P4D","TIM13","P20W","Week 20","Timing_13","Timing","3ae8d094-a1b1-4a1b-a2c0-322189cd4bf4","Week 20 timing","20 Weeks"
"P4D","-4..4 days","P4D","TIM15","P24W","Week 24","Timing_15","Timing","df08b32f-e063-4b75-b97d-8d1491ee79c7","Week 24 timing","24 Weeks"
"P3D","-3..3 days","P3D","TIM16","P26W","Week 26","Timing_16","Timing","e453cfab-c2ef-4ebf-973b-39b5ccfdca85","Week 26 timing","26 Weeks"
"","","","TIM8","P2W","Week 8 Home","Timing_8","Timing","ddd18c38-61ec-479a-9245-16a08f9d96cb","Week 8 at home timing","2 Weeks"
"","","","TIM10","P2W","Week 12 Home","Timing_10","Timing","3a0883eb-371f-4ab7-bb89-83f3d92d9053","Week 12 at home timing","2 Weeks"
"","","","TIM12","P2W","Week 16 Home","Timing_12","Timing","c389dd09-62fd-464a-b75c-119e967a756a","Week 16 at home timing","2 Weeks"
"","","","TIM14","P2W","Week 20 Home","Timing_14","Timing","1cbf980e-a061-4d96-ba49-1e9792cff922","Week 20 at home timing","2 Weeks"
"","","","TIM17","P1D","Adverse Event","Timing_17","Timing","ad67214a-0cb0-4cb1-9b68-2c7b35d5a8a1","Adverse Event","1 Day"
"","","","TIM18","P1D","Early Termination","Timing_18","Timing","0c0586ed-5216-43a0-ba79-4be38dd72013","Early Termination","1 Day"
"","","","TIM19","PT0M","Supine","Timing_19","Timing","57b4e36f-31c6-494f-aca8-f2b483be13eb","Supine","0 mins"
"","","","TIM20","PT5M","VS while supine","Timing_20","Timing","42cf2ed3-cea5-4737-95b6-26ce645e1da3","VS while supine","5 mins"
"","","","TIM21","PT0M","Standing","Timing_21","Timing","9b4abb67-9574-46a9-bdbb-977cca34f2b3","Standing","0 min"
"","","","TIM22","PT1M","VS while standing","Timing_22","Timing","3749ced2-1447-4220-ad56-f7c2645fa3f6","VS while standing","1 min"
"","","","TIM23","PT0M","Standing","Timing_23","Timing","1bb6709a-f3e6-4908-90f1-6504eabb882e","Standing","0 min"
"","","","TIM24","PT2M","VS while standing","Timing_24","Timing","e5d58124-8e48-407b-8923-65462786d9e4","VS while standing","2 min"
