"text","name","id","uuid:ID","instanceType"
"Subject identifier","ENCOUNTER_START_RULE_1","TransitionRule_1","555069c6-fb38-49d7-b5bb-c1718312da52","TransitionRule"
"completion of screening activities","ENCOUNTER_START_RULE_1","TransitionRule_2","e8df07fc-84b4-43ad-a9c1-01e0e0a920fa","TransitionRule"
"subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","TransitionRule_3","6e828ff3-3034-492b-883f-265ffc70b15b","TransitionRule"
"subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","TransitionRule_4","91f43f51-cd1b-466e-b0e4-db56329b1b4e","TransitionRule"
"Radomized","ENCOUNTER_START_RULE_3","TransitionRule_5","959473c3-b02a-4a0f-b257-40b707353ca2","TransitionRule"
"End of treatment","ENCOUNTER_START_RULE_12","TransitionRule_6","ac51398f-df06-490c-8edb-f6cbaed17335","TransitionRule"
"Informed consent","ELEMENT_START_RULE_1","TransitionRule_7","6629b928-9abd-47e0-ac3c-b860ba541b4a","TransitionRule"
"Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","TransitionRule_8","099701fd-6554-4edb-8dd2-b81d56d61739","TransitionRule"
"Administration of first dose","ELEMENT_START_RULE_2","TransitionRule_9","afc481a0-68ea-4631-90a6-a50655a8b507","TransitionRule"
"End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","TransitionRule_14","a5bb83e5-2d0b-4189-b7f8-0bd95d4c1a3e","TransitionRule"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","TransitionRule_15","7e725ef5-34b5-434d-9cc2-262d1f8883a8","TransitionRule"
"Administration of first dose","ELEMENT_START_RULE_3","TransitionRule_10","a1ff4f5b-bb18-43d7-8828-af99ede02e30","TransitionRule"
"Randomized","ELEMENT_START_RULE_4","TransitionRule_11","6f16828d-f779-41a4-8981-b60ba1618b12","TransitionRule"
"Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","TransitionRule_12","22cf7e08-3c07-4e33-b73c-f64deb2b5202","TransitionRule"
"Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","TransitionRule_13","58d014b4-a747-426f-8108-7acc510809eb","TransitionRule"
