"purpose","text","name","label","id","instanceType","uuid:ID","description"
"","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","END1","","Endpoint_1","Endpoint","cad41d96-d078-4529-b164-f241a427e4f7",""
"","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","END2","","Endpoint_2","Endpoint","e0abb6ec-6582-47d2-a4aa-cc6335982d4c",""
"","Adverse events","END3","","Endpoint_3","Endpoint","0d489fe7-2980-4d61-8b0c-c30ef590cc2f",""
"","Vital signs (weight, standing and supine blood pressure, heart rate)","END4","","Endpoint_4","Endpoint","4a037ce8-9797-4dbe-8dfe-0b9d97e7f72e",""
"","Laboratory evaluations (Change from Baseline)","END5","","Endpoint_5","Endpoint","e9251bce-4b88-4653-b0a7-94312f636751","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation"
"","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","END6","","Endpoint_6","Endpoint","78d530a0-392d-4721-b34d-4ae42b004bed",""
"","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","END7","","Endpoint_7","Endpoint","7f4dec41-892f-418f-aaa4-eca2b97258dd",""
"","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","END8","","Endpoint_8","Endpoint","c0bfe192-0f6f-42c2-b0ad-7c28adc11cd3",""
"","*** To be determined from protocol ***","END9","","Endpoint_9","Endpoint","44e7e486-b767-42c3-83e1-9f015427ca81",""
"","*** To be determined from protocol ***","END10","","Endpoint_10","Endpoint","a9c07fa6-665f-4e9e-a605-ddca665fea5a",""
"","*** To be determined from protocol ***","END11","","Endpoint_11","Endpoint","0c4744a2-be84-4619-b46a-0ac357180fbb",""
