"name","label","id","instanceType","uuid:ID","description"
"E1","Screening 1","Encounter_1","Encounter","0b1ac5d0-ea38-4806-ab31-5d7578873a5d","Screening encounter"
"E2","Screening 2","Encounter_2","Encounter","b794dba0-d555-4155-84b1-de880b0bb5b2","Screening encounter - Ambulatory ECG Placement"
"E3","Baseline","Encounter_3","Encounter","32933b5b-f2f9-44ce-bbea-e288fa068b78","Baseline encounter - Ambulatory ECG Removal"
"E4","Week 2","Encounter_4","Encounter","dd4d2fa9-783c-4b41-87b7-7edb472edce1","Day 14"
"E5","Week 4","Encounter_5","Encounter","c882933f-d67d-408b-906d-5793a32b79d0","Day 28"
"E7","Week 6","Encounter_6","Encounter","83eca31d-cfd0-41d2-8c34-e024c03c6f6a","Day 42"
"E8","Week 8","Encounter_7","Encounter","4fec202e-793b-48f0-a191-08173ec1278e","Day 56"
"E9","Week 12","Encounter_8","Encounter","77120b26-d547-4d6d-b2b3-7d3910ffb56d","Day 84"
"E10","Week 16","Encounter_9","Encounter","831e8380-35c5-4164-b544-b5e67c102f28","Day 112"
"E11","Week 20","Encounter_10","Encounter","984bf036-9688-4697-9d0f-6df2cbab576b","Day 140"
"E12","Week 24","Encounter_11","Encounter","703f6c75-5dbb-4ee0-8bac-cca6f3d57b3b","Day 168"
"E13","Week 26","Encounter_12","Encounter","ebf2db36-966c-4aab-8b8d-a5464e542156","Day 182"
