"name","label","id","instanceType","uuid:ID","description"
"SCREEN1","Screen One","ScheduledActivityInstance_9","ScheduledActivityInstance","f4ec1044-4f58-4bc4-bd70-525d46f454ac","-"
"SCREEN2","Screen Two","ScheduledActivityInstance_10","ScheduledActivityInstance","cf0a8961-e8c3-4508-88f7-06f1060238bc","-"
"DOSE","Dose","ScheduledActivityInstance_11","ScheduledActivityInstance","19509580-22fc-4bbf-be03-6f3763e6babc","-"
"WK2","Week 2","ScheduledActivityInstance_12","ScheduledActivityInstance","2418e009-cce4-44af-851c-a6f0bf4ec079","-"
"WK4","Week 4","ScheduledActivityInstance_13","ScheduledActivityInstance","a4368275-dfbf-41ac-84e3-1a6739bb7179","-"
"WK6","Week 6","ScheduledActivityInstance_14","ScheduledActivityInstance","a51c5774-e31b-46f5-9afa-7753836e00ea","-"
"WK8","Week 8","ScheduledActivityInstance_15","ScheduledActivityInstance","4fe139ac-9d41-44ed-be1f-70f8d56d7f09","-"
"WK8N","Week NPI","ScheduledActivityInstance_16","ScheduledActivityInstance","f447d01d-5fcb-4af6-84d2-76a82d2c2502","-"
"WK12","Week 12","ScheduledActivityInstance_17","ScheduledActivityInstance","ddc8e438-56f7-4cfb-b967-6c95289ee91e","-"
"WK12N","Week 12 NPI","ScheduledActivityInstance_18","ScheduledActivityInstance","5e10d09e-bf64-4c52-9838-92182b5f29f1","-"
"WK16","Week 16","ScheduledActivityInstance_19","ScheduledActivityInstance","9e46324b-0e69-4f88-91a6-4f4b5e2f57cf","-"
"WK16N","Week 16 NPI","ScheduledActivityInstance_20","ScheduledActivityInstance","e9be8fcf-f61c-4d74-8aaa-05cf221b0658","-"
"WK20","Week 20","ScheduledActivityInstance_21","ScheduledActivityInstance","cc255734-ce40-49d1-b984-aca685d1274a","-"
"WK20N","Week 20 NPI","ScheduledActivityInstance_22","ScheduledActivityInstance","a47a9c47-fbc5-4b8d-aaa2-a9bba669730b","-"
"WK24","Week 24","ScheduledActivityInstance_23","ScheduledActivityInstance","a526a055-cff8-44c4-bc69-e54a6fff25a8","-"
"WK26","Week 26","ScheduledActivityInstance_24","ScheduledActivityInstance","58b221ec-1d5b-49e3-8d80-fb4ceded0ba6","-"
"AE","Adevers Event","ScheduledActivityInstance_1","ScheduledActivityInstance","f0e24c40-9724-4e1c-bf62-d2fe2e0af80e","-"
"ET","Early Termination","ScheduledActivityInstance_2","ScheduledActivityInstance","7dfe7bf3-aec3-4ebe-8630-f42592533b53","-"
"VS_5MIN","5 minute supine","ScheduledActivityInstance_3","ScheduledActivityInstance","1c22e7ff-ddd4-4589-a6c6-8598326309ed",""
"VS_SUPINE","Vital signs supine","ScheduledActivityInstance_4","ScheduledActivityInstance","04101889-ee73-4c64-80bb-0add0b5fba5b",""
"VS_1MIN","1 minute standing","ScheduledActivityInstance_5","ScheduledActivityInstance","4e7aa367-4eea-4f1b-9805-39975f1e1b4b",""
"VS_STAND1","Vital signs after 1 min standing","ScheduledActivityInstance_6","ScheduledActivityInstance","2c58c8ee-c595-40dc-8eb5-56f6a645f242",""
"VS_2MIN","2 minute standing","ScheduledActivityInstance_7","ScheduledActivityInstance","69ff9f93-38aa-4d2a-bdca-64e6d027cfcf",""
"VS_STAND3","Vital signs after 3 min standing","ScheduledActivityInstance_8","ScheduledActivityInstance","5ce15d80-8edd-4caf-bbb5-89226f1ea899",""
