"codeSystem","decode","code","id","codeSystemVersion","uuid:ID","instanceType"
"http://www.cdisc.org","Interventional Study","C98388","Code_1","2023-12-15","46c2cc92-af17-4889-909e-529d7050224b","Code"
"http://www.cdisc.org","Phase II Trial","C15601","Code_2","2023-12-15","05139c79-e45c-433a-9c28-77ae28b06ca9","Code"
"http://www.cdisc.org","Sponsor Approval Date","C132352","Code_9","2023-12-15","2fabb517-0db7-40af-8245-7d77b0987fb8","Code"
"http://www.cdisc.org","Global","C68846","Code_10","2023-12-15","634d0337-afe2-4e66-a58a-8f03a09d90bc","Code"
"http://www.cdisc.org","IRB/IEC Feedback","C99904x3","Code_72","2023-12-15","f6d8e550-2e6e-477d-bdf0-596fa0978bd7","Code"
"http://www.cdisc.org","Other","C17649","Code_73","2023-12-15","8405a7dd-924b-413b-8bd9-0ec4193a1a4c","Code"
"http://www.cdisc.org","Region","C41129","Code_75","2023-12-15","b18da76d-c585-4219-b4be-cf20e1aeac1e","Code"
"ISO 3166 1 alpha3","Europe","150","Code_74","2020-08","e53d9022-8f05-4881-8161-5c756d1ad541","Code"
"SPONSOR","Eli Lilly","PHARMA","Code_4","12","16db9916-568c-48b9-b20e-4f64f014bf2f","Code"
"http://www.cdisc.org","Clinical Study Sponsor","C70793","Code_76","2023-12-15","82f119b8-7a37-4508-9c4b-9355f3d449b1","Code"
"ISO 3166 1 alpha3","United States of America","USA","Code_77","2020-08","2c617df8-1e0e-4624-bf2b-0fec1edb5456","Code"
"http://www.cdisc.org","Study Registry","C93453","Code_78","2023-12-15","a38fbc9d-5cfc-4a78-a436-cd3aec4d3e73","Code"
"ISO 3166 1 alpha3","United States of America","USA","Code_79","2020-08","4665448d-1f84-47a3-ac72-d2b19efd833e","Code"
"http://www.cdisc.org","Treatment Study","C49656","Code_137","2023-12-15","d68af8ee-8d4d-4689-aba1-c529733ca218","Code"
"http://www.cdisc.org","Efficacy Study","C49666","Code_138","2023-12-15","b438c20c-04aa-4ba5-a55a-80b17a7fcc3d","Code"
"http://www.cdisc.org","Safety Study","C49667","Code_139","2023-12-15","5fcb7dea-2520-4098-9e31-e106d5ae931e","Code"
"http://www.cdisc.org","Pharmacokinetic Study","C49663","Code_140","2023-12-15","e21ed42a-2045-49a1-a0ac-55d2f0d711d3","Code"
"SPONSOR","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ","Code_134","12","e0a97581-ff3b-4019-bbc8-c2c7a373251c","Code"
"SNOMED","Alzheimer's disease","26929004","Code_135","January 31, 2018","131aa107-e748-40da-a150-0c4906b1ad44","Code"
"http://www.cdisc.org","EXTENSION","C99907x1","Code_143","2023-12-15","5c190ba0-86b8-4e33-b818-1c6f7c1e7f6a","Code"
"http://www.cdisc.org","ADAPTIVE","C98704","Code_144","2023-12-15","ad7a0f83-e1e9-41fe-bc1e-8efd563ba421","Code"
"http://www.cdisc.org","Parallel Study","C82639","Code_141","2023-12-15","21586368-dea0-43c9-b4e6-898a1cd4651d","Code"
"http://www.cdisc.org","Visit","C25716","Code_83","2023-12-15","f1efe533-06de-467f-be4c-4dbc73564c64","Code"
"http://www.cdisc.org","Clinic","C51282","Code_84","2023-12-15","9f0e4d6f-3786-4158-bc82-a525761180cb","Code"
"http://www.cdisc.org","In Person","C175574","Code_85","2023-12-15","d38e2e5d-a05e-4076-a907-19677c081c59","Code"
"http://www.cdisc.org","Visit","C25716","Code_86","2023-12-15","eecac886-afdc-41e3-89c2-d2d7bc923569","Code"
"http://www.cdisc.org","Clinic","C51282","Code_87","2023-12-15","252ad577-4669-4e9f-81b3-3ab967ef3260","Code"
"http://www.cdisc.org","In Person","C175574","Code_88","2023-12-15","7ace3580-0ca3-4ea7-89fd-849d1194c4cc","Code"
"http://www.cdisc.org","Visit","C25716","Code_89","2023-12-15","c356615e-9eff-447d-a91e-1e5ac34ad670","Code"
"http://www.cdisc.org","Clinic","C51282","Code_90","2023-12-15","c68b59ec-bf87-4763-8284-5a15261b1a41","Code"
"http://www.cdisc.org","In Person","C175574","Code_91","2023-12-15","73fa3517-c355-4c87-965d-1c41ca2e025d","Code"
"http://www.cdisc.org","Visit","C25716","Code_92","2023-12-15","cbf3840b-71b1-4fb0-b6a6-43b3671f8bc6","Code"
"http://www.cdisc.org","Clinic","C51282","Code_93","2023-12-15","77ded32c-79ac-4fd9-9455-a631d77a4f34","Code"
"http://www.cdisc.org","In Person","C175574","Code_94","2023-12-15","68a82dcf-1863-480b-9827-9cea364b40b6","Code"
"http://www.cdisc.org","Visit","C25716","Code_95","2023-12-15","e3e66e0e-fc10-4158-9115-d9999703fca5","Code"
"http://www.cdisc.org","Clinic","C51282","Code_96","2023-12-15","144bf749-80d6-4bfa-a6e4-3f0160886fbb","Code"
"http://www.cdisc.org","In Person","C175574","Code_97","2023-12-15","13e6cd49-4dc1-4073-aeed-b361e391e2e6","Code"
"http://www.cdisc.org","Visit","C25716","Code_98","2023-12-15","07696ed8-3383-4506-8eae-438d16ebc3ae","Code"
"http://www.cdisc.org","Clinic","C51282","Code_99","2023-12-15","f9b07530-ddfb-497c-af91-67596968b83c","Code"
"http://www.cdisc.org","In Person","C175574","Code_100","2023-12-15","86b54238-7f0c-4f76-a998-b0103a1b2df8","Code"
"http://www.cdisc.org","Visit","C25716","Code_101","2023-12-15","5ac45f34-e510-4cd7-b074-b656a566a8ad","Code"
"http://www.cdisc.org","Clinic","C51282","Code_102","2023-12-15","7684b8a6-d432-43f1-a3ca-40d6bb4e7aed","Code"
"http://www.cdisc.org","In Person","C175574","Code_103","2023-12-15","bc5c131d-dfa8-43ab-ace3-f392f4901325","Code"
"http://www.cdisc.org","Telephone Call","C171537","Code_104","2023-12-15","bb3a70f6-87a7-4653-9b25-9b08d1b0a8cb","Code"
"http://www.cdisc.org","Visit","C25716","Code_105","2023-12-15","9c3e1db5-2fdb-4247-8878-bded9da67fec","Code"
"http://www.cdisc.org","Clinic","C51282","Code_106","2023-12-15","e4acdda3-a0c6-4429-badd-46e31889b302","Code"
"http://www.cdisc.org","In Person","C175574","Code_107","2023-12-15","1fd67670-9db8-4375-bf16-d2fae0d4d467","Code"
"http://www.cdisc.org","Telephone Call","C171537","Code_108","2023-12-15","36bfd92c-a5b7-499d-aa56-ad066e9403dc","Code"
"http://www.cdisc.org","Visit","C25716","Code_109","2023-12-15","a7123fee-8100-4ab2-ba2d-39c660ed3692","Code"
"http://www.cdisc.org","Clinic","C51282","Code_110","2023-12-15","812b1321-f969-4c89-bc82-7579db065c6f","Code"
"http://www.cdisc.org","In Person","C175574","Code_111","2023-12-15","f07028a8-d9cf-4ceb-9fd1-f3007a5f6e54","Code"
"http://www.cdisc.org","Telephone Call","C171537","Code_112","2023-12-15","2ceefd96-6d23-4d37-bd96-75895c7e2dd1","Code"
"http://www.cdisc.org","Visit","C25716","Code_113","2023-12-15","26056487-b14b-4f5c-8370-22b2ac56447c","Code"
"http://www.cdisc.org","Clinic","C51282","Code_114","2023-12-15","00834032-0340-411c-b518-8ba788b544cf","Code"
"http://www.cdisc.org","In Person","C175574","Code_115","2023-12-15","7d460d41-4164-4a94-9d80-f67d8586ca8c","Code"
"http://www.cdisc.org","Telephone Call","C171537","Code_116","2023-12-15","d265c302-fa01-4371-ac74-7a446753fa1d","Code"
"http://www.cdisc.org","Visit","C25716","Code_117","2023-12-15","54bd2de8-b8d5-451f-bb6a-fb1e9144ac7b","Code"
"http://www.cdisc.org","Clinic","C51282","Code_118","2023-12-15","181a6c90-4cfa-44f8-91a3-a2b2971628c0","Code"
"http://www.cdisc.org","In Person","C175574","Code_119","2023-12-15","57293163-17e3-403b-99a9-afa0819f75fa","Code"
"http://www.cdisc.org","Visit","C25716","Code_120","2023-12-15","ba3e7435-c175-4061-8454-a1f448b188c2","Code"
"http://www.cdisc.org","Clinic","C51282","Code_121","2023-12-15","232e37d6-3d0b-447d-8f56-1ec6c22f26bb","Code"
"http://www.cdisc.org","In Person","C175574","Code_122","2023-12-15","621608ad-19ff-4a09-a7a0-696625f63776","Code"
"SNOMED","CT of head without contrast","383371000119108","Code_80","January 31, 2018","9d3e9536-43d7-4563-a865-9821d5275d47","Code"
"SPONSOR","Subject Supine","123","Code_81","12","bce25b16-38a6-49a0-ad0b-b5c565535921","Code"
"SPONSOR","Subject Standing","124","Code_82","12","ddd7798e-b644-4250-bf01-3ffbc3bc6257","Code"
"http://www.cdisc.org","Dictionary-derived Term","C82977","Code_429","2023-12-15","331336a3-a66a-48b7-8b4c-4859e9979263","Code"
"http://www.cdisc.org","Reported Event Term","C82571","Code_430","2023-12-15","4868b446-143c-4008-b136-20f73ec165e2","Code"
"http://www.cdisc.org","Observation Start Date Time","C82517","Code_431","2023-12-15","a5b5a36f-d6dc-42e6-b6d3-f31a40b68d32","Code"
"http://www.cdisc.org","Informed Consent","C16735","Code_432","2023-12-15","c5a2982e-5e40-4423-a571-835df7b90470","Code"
"http://www.cdisc.org","Male","C20197","Code_433","2023-12-15","8ec63ea5-f3a7-4e79-b11f-c701952af4ff","Code"
"http://www.cdisc.org","Female","C16576","Code_434","2023-12-15","70a20001-2d91-432b-b2c5-8b2a2a95fe5e","Code"
"http://www.cdisc.org","Sex","C28421","Code_435","2023-12-15","097859d8-450a-4d1c-b568-3bbda43caf19","Code"
"http://www.cdisc.org","Sex","C28421","Code_436","2023-12-15","b07d12cd-64eb-431b-896a-008ff959b8e8","Code"
"http://www.cdisc.org","Race","C17049","Code_437","2023-12-15","1be52a29-e06a-4e6d-a0dd-1d79e0f49f5c","Code"
"http://www.cdisc.org","Race","C17049","Code_438","2023-12-15","6cc75b8f-368d-4333-9c93-9e9292317d44","Code"
