"name","reference","label","id","synonyms","uuid:ID","instanceType"
"Informed Consent Obtained","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","Informed Consent Obtained","BiomedicalConcept_20","['Informed Consent Obtained', 'Informed Consent']","771b131e-7257-4b74-a803-b72be9716f53","BiomedicalConcept"
"Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex","BiomedicalConcept_21","","bf6a87c5-7039-4d9c-ab8a-4226919feda9","BiomedicalConcept"
"Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race","BiomedicalConcept_22","['Racial Group']","38c8e70f-5617-41da-82bf-41d74949de5c","BiomedicalConcept"
"Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","BiomedicalConcept_23","['Temperature', 'Body Temperature']","39a6a83f-eae4-4e4c-b474-94514320441e","BiomedicalConcept"
"Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","BiomedicalConcept_24","['Weight', 'Body Weight']","93c82591-9284-4e07-afcc-cc190f4dcdac","BiomedicalConcept"
"Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","BiomedicalConcept_25","['Height', 'Body Height']","866a1cf2-5e72-435d-a5bb-bc5032f4adbe","BiomedicalConcept"
"Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","d3269569-e87c-40cc-819f-35bd79e859bf","BiomedicalConcept"
"Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","BiomedicalConcept_27","['Albumin', 'Albumin Measurement']","15e6d911-fd9e-4e49-bf9a-d1ea2504ec78","BiomedicalConcept"
"Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","ed537638-9b16-4da8-82fe-98b8f9c9dc79","BiomedicalConcept"
"Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","1e035730-496f-40ed-9c42-e76edad64686","BiomedicalConcept"
"Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","BiomedicalConcept_30","['Creatinine', 'Creatinine Measurement']","7a11b84a-9ad9-4ea0-9f9e-b5dc89681c4d","BiomedicalConcept"
"Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","BiomedicalConcept_31","['Potassium', 'K', 'Potassium Measurement']","a1527ac3-d18c-4c78-9163-459371872f10","BiomedicalConcept"
"Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","BiomedicalConcept_32","['Sodium', 'NA', 'Sodium Measurement']","75af1b6d-4217-4f6f-b800-952d739088f4","BiomedicalConcept"
"Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","454b143d-b57f-4fd6-8bbf-43634e39e02c","BiomedicalConcept"
"Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","Adverse Event Prespecified","BiomedicalConcept_1","['Adverse Event', 'Solicited Adverse Event']","0c52d80a-36a0-46a2-b2c1-fda02c6f090f","BiomedicalConcept"
"Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","BiomedicalConcept_2","['SYSBP', 'Systolic Blood Pressure']","2bca8a6d-4771-4254-9e1a-f6cbf17b9539","BiomedicalConcept"
"Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","BiomedicalConcept_3","['DIABP', 'Diastolic Blood Pressure']","b65b3230-f1eb-485b-ba36-ef07dee064f0","BiomedicalConcept"
"Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","BiomedicalConcept_4","['Temperature', 'Body Temperature']","8f321d6a-f9b4-49da-81c7-8ae566065e42","BiomedicalConcept"
"Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","BiomedicalConcept_5","['Weight', 'Body Weight']","14b7d0dd-b6d3-40d2-a87a-b43bf0974e16","BiomedicalConcept"
"Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","BiomedicalConcept_6","['Height', 'Body Height']","3c425005-1079-4cef-af20-567bb4940e3c","BiomedicalConcept"
"Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","ff454a27-31a9-4e6d-bdfd-761836bfc93d","BiomedicalConcept"
"Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","BiomedicalConcept_8","['Albumin', 'Albumin Measurement']","25680836-5358-43cd-a3a7-ab2e0829e7c4","BiomedicalConcept"
"Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","c068e0e7-2b96-46c5-9dea-59aa7df8db76","BiomedicalConcept"
"Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","993aabf8-859e-40fd-b50d-dfbf5fbee3a2","BiomedicalConcept"
"Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","BiomedicalConcept_11","['Creatinine', 'Creatinine Measurement']","8a557967-7842-4b51-89b0-cc7272433151","BiomedicalConcept"
"Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","BiomedicalConcept_12","['Potassium', 'K', 'Potassium Measurement']","4d0134d1-eecb-405c-a943-3c47c74322d2","BiomedicalConcept"
"Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","BiomedicalConcept_13","['Sodium', 'NA', 'Sodium Measurement']","f0107f0d-956d-4f0e-ac9c-5d6f1026bb11","BiomedicalConcept"
"Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","BiomedicalConcept_14","['SYSBP', 'Systolic Blood Pressure']","c40a7819-9389-4a82-b56e-1b5fac7955f6","BiomedicalConcept"
"Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","BiomedicalConcept_15","['DIABP', 'Diastolic Blood Pressure']","061f99a1-6a86-4e5c-8813-14ef34e804fa","BiomedicalConcept"
"Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate","BiomedicalConcept_16","['Heart Rate']","384f130c-d417-40c2-bc00-0786dd71b7ae","BiomedicalConcept"
"Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","BiomedicalConcept_17","['SYSBP', 'Systolic Blood Pressure']","e44ccc79-02c3-4d52-ad0c-fda8aca080ef","BiomedicalConcept"
"Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","BiomedicalConcept_18","['DIABP', 'Diastolic Blood Pressure']","0bd8642a-2e0f-42d9-8647-f47d807794c0","BiomedicalConcept"
"Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate","BiomedicalConcept_19","['Heart Rate']","c450b919-2f95-4939-ba5c-bc62a0649272","BiomedicalConcept"
