"uuid:ID","name","sectionNumber","sectionTitle","text","id","instanceType"
"9a439a98-6264-46c7-aabc-4d145b951dce","ROOT","0","Root","","NarrativeContent_1","NarrativeContent"
"a581e821-e597-49b6-b6f0-8dc87cc68718","SECTION 0","0","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent_2","NarrativeContent"
"39a1cd53-add6-49a7-ac59-ce8cafa45025","SECTION 1","1","PROTOCOL SUMMARY","<div></div>","NarrativeContent_3","NarrativeContent"
"2d15e867-864f-4506-9cd0-f512fbfd8a21","SECTION 1.1","1.1","Protocol Synopsis","<div></div>","NarrativeContent_4","NarrativeContent"
"d508b5d6-0a0e-4798-807b-4e5cb06be912","SECTION 1.2","1.2","Trial Schema","<div></div>","NarrativeContent_5","NarrativeContent"
"5fb23cc3-d80b-4333-8cf1-708d7f9c7379","SECTION 1.3","1.3","Schedule of Activities","<div></div>","NarrativeContent_6","NarrativeContent"
"bc0ada50-7d08-4193-a293-7cd9f67c68d6","SECTION 2","2","INTRODUCTION","<div></div>","NarrativeContent_7","NarrativeContent"
"9ab2c556-5df7-4822-b229-49e666cfec70","SECTION 2.1","2.1","Purpose of Trial","<div></div>","NarrativeContent_8","NarrativeContent"
"fdc65263-bb43-45ee-904c-3f7a629c810a","SECTION 2.2","2.2","Summary of Benefits and Risks","<div></div>","NarrativeContent_9","NarrativeContent"
"5429fbc5-4c8b-4c9c-ab78-39bccc3be656","SECTION 3","3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","NarrativeContent_10","NarrativeContent"
"b31151b9-9fd2-49ec-bb59-e925dceea5d1","SECTION 3.1","3.1","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent_11","NarrativeContent"
"1da6c480-ba05-4d8c-a692-c88a9c74db1c","SECTION 4","4","TRIAL DESIGN","<div></div>","NarrativeContent_12","NarrativeContent"
"874db605-0574-4276-91f6-efdd03b98966","SECTION 4.1","4.1","Description of Trial Design","<div></div>","NarrativeContent_13","NarrativeContent"
"f4be89cd-47ca-40ed-8ed2-221b31d23f50","SECTION 4.1.1","4.1.1","Participant Input into Design","<div></div>","NarrativeContent_14","NarrativeContent"
"366896ac-e32d-4fbf-b81b-400408c077b3","SECTION 4.2","4.2","Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent_15","NarrativeContent"
"a0c080b0-2ee4-4738-b113-1067bbd5992d","SECTION 4.2.1","4.2.1","Rationale for Comparator","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent_16","NarrativeContent"
"0e462cde-f79a-4fdc-b48b-1d9f536c2abd","SECTION 4.2.2","4.2.2","Rationale for Adaptive or Novel Trial Design","<div></div>","NarrativeContent_17","NarrativeContent"
"1ca3f524-f957-429b-88e0-b6126a3c8940","SECTION 4.2.3","4.2.3","Other Trial Design Considerations","<div></div>","NarrativeContent_18","NarrativeContent"
"55c8eae1-cdbc-4352-9ab7-256c4c1599df","SECTION 4.3","4.3","Access to Trial Intervention After End of Trial","<div></div>","NarrativeContent_19","NarrativeContent"
"cd40f80e-5d7c-4a97-bf94-56cb5d26e372","SECTION 4.4","4.4","Start of Trial and End of Trial","<div></div>","NarrativeContent_20","NarrativeContent"
"a4677a3d-9d40-4541-8c2e-f758c7ea8837","SECTION 5","5","TRIAL POPULATION","<div></div>","NarrativeContent_21","NarrativeContent"
"788a87d9-9d4a-4cd2-b9ec-b2d522612eba","SECTION 5.1","5.1","Selection of Trial Population","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent_22","NarrativeContent"
"6123fa83-93dd-40a1-9e7c-e64dc71c4508","SECTION 5.2","5.2","Rationale for Trial Population","<div></div>","NarrativeContent_23","NarrativeContent"
"adc889dc-6a65-489e-821c-1ae10bb77b99","SECTION 5.3","5.3","Inclusion Criteria","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent_24","NarrativeContent"
"47b7a94f-1609-47ee-a007-e7cf6fc4131f","SECTION 5.4","5.4","Exclusion Criteria","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent_25","NarrativeContent"
"8c2365e8-01a5-4e7e-9828-c6dcd6d5bc36","SECTION 5.5","5.5","Lifestyle Considerations","<div></div>","NarrativeContent_26","NarrativeContent"
"0a062870-b1b3-4abc-9c4f-d55dcaa9eed0","SECTION 5.5.1","5.5.1","Meals and Dietary Restrictions","<div></div>","NarrativeContent_27","NarrativeContent"
"4ecd32cf-dd93-4be0-a6dc-dec121242510","SECTION 5.5.2","5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","<div><p>Not applicable</p></div>","NarrativeContent_28","NarrativeContent"
"ce85a209-0fae-4417-9d08-3698ea155919","SECTION 5.5.3","5.5.3","Physical Activity","<div></div>","NarrativeContent_29","NarrativeContent"
"e62a0cc4-9ec4-48f7-bfdf-71c345ca3d34","SECTION 5.5.4","5.5.4","Other Activity","<div></div>","NarrativeContent_30","NarrativeContent"
