"uuid:ID","name","label","id","description","instanceType"
"e1d47478-22c4-4490-8af5-93c490c3e9c2","E1","Screening 1","Encounter_1","Screening encounter","Encounter"
"39c73c69-adfc-40ac-8530-a636419233bb","E2","Screening 2","Encounter_2","Screening encounter - Ambulatory ECG Placement","Encounter"
"d9f15338-f3df-4076-bc9f-fb454f420936","E3","Baseline","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Encounter"
"6bff964c-9815-4642-89e5-1d01752149c4","E4","Week 2","Encounter_4","Day 14","Encounter"
"a7fb5b6f-faa1-4014-a330-85b72626b326","E5","Week 4","Encounter_5","Day 28","Encounter"
"665f4731-831c-4382-8910-b5e03615ef41","E7","Week 6","Encounter_6","Day 42","Encounter"
"2491de96-3d64-4812-b5cd-3d1df22c4752","E8","Week 8","Encounter_7","Day 56","Encounter"
"30b63d3c-dcf4-4983-a0f3-934d48d0f09e","E9","Week 12","Encounter_8","Day 84","Encounter"
"a22ebde7-34e6-4f80-9c61-3f5b8e85ce44","E10","Week 16","Encounter_9","Day 112","Encounter"
"cd26c916-6bb2-4a69-add4-697ea72775ff","E11","Week 20","Encounter_10","Day 140","Encounter"
"c07ac553-2bdc-40a1-9b54-b591ef606f6e","E12","Week 24","Encounter_11","Day 168","Encounter"
"e200aee3-7cf1-4bd7-a343-aa058ecd0aeb","E13","Week 26","Encounter_12","Day 182","Encounter"
