"uuid:ID","name","text","id","instanceType"
"c53b11f1-4bb0-4a57-b77a-687c3f390e5a","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule_1","TransitionRule"
"b8a7634b-d288-49ee-86e3-0f07022031f7","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule_2","TransitionRule"
"b56e00fa-c36e-4bf3-acd4-2b3841ca2ccc","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","TransitionRule"
"96b8105a-28b0-432a-a9d8-6d64002213d7","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule_4","TransitionRule"
"78260583-323e-4927-a51c-734fbda29b17","ENCOUNTER_START_RULE_3","Radomized","TransitionRule_5","TransitionRule"
"b39358b5-ff31-4031-9656-e9d580632873","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule_6","TransitionRule"
"254eaca2-77da-465a-9091-48a281349695","ELEMENT_START_RULE_1","Informed consent","TransitionRule_7","TransitionRule"
"b4c2ef42-3895-49af-a46e-c0fb0bcb43c6","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","TransitionRule"
"fd01ef92-e4c1-4939-9b1e-396040b9bdac","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule_9","TransitionRule"
"2abfb470-5bb2-4a9d-9462-27f412269f79","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule_14","TransitionRule"
"360b5a2d-7bd6-4945-bdc9-ef616df8c596","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","TransitionRule"
"61fd0aca-d55e-438f-aa99-671339de5077","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule_10","TransitionRule"
"648beebf-a619-44db-bcac-bb9156710c02","ELEMENT_START_RULE_4","Randomized","TransitionRule_11","TransitionRule"
"3f85a387-6959-411c-b641-27219a6cff97","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","TransitionRule"
"82411939-9d06-4899-a4ae-0e960fc716cc","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","TransitionRule"
