"uuid:ID","windowLower","name","windowUpper","window","value","label","id","description","instanceType"
"3baf58ef-6b57-43b6-a358-0da69e56e551","","TIM1","","","P2W","Screening","Timing_1","Screening timing","Timing"
"d26e4417-57c3-4af7-8ec8-2aada133b716","PT4H","TIM2","PT0H","-4..0 hours","P2D","Pre dose","Timing_2","Pre dose timing","Timing"
"aee7fd9b-78aa-499a-ae7d-599e0b33e438","","TIM3","","","P1D","Dosing","Timing_3","Dosing anchor","Timing"
"bb40e6e8-4896-4900-8aba-1c96606e4194","P3D","TIM4","P3D","-3..3 days","P2W","Week 2","Timing_4","Week 2 timing","Timing"
"f24e7e5d-5770-4f10-abea-745a4f61dee1","P3D","TIM5","P3D","-3..3 days","P4W","Week 4","Timing_5","Week 4 timing","Timing"
"a8fffcb8-a3d5-4271-b417-6bccb51c42ff","P3D","TIM6","P3D","-3..3 days","P6W","Week 6","Timing_6","Week 6 timing","Timing"
"f6d923c7-52df-48e5-829a-7a40512a0017","P3D","TIM7","P3D","-3..3 days","P8W","Week 8","Timing_7","Week 8 timing","Timing"
"f1b1a34b-2596-471e-922f-e0bd88335b2b","P4D","TIM9","P4D","-4..4 days","P12W","Week 12","Timing_9","Week 12 timing","Timing"
"086e112e-f7de-4b80-9c41-5876dc442705","P4D","TIM11","P4D","-4..4 days","P16W","Week 16","Timing_11","Week 16 timing","Timing"
"c0c99150-1eff-47f0-a7b8-1868ad7ddd6c","P4D","TIM13","P4D","-4..4 days","P20W","Week 20","Timing_13","Week 20 timing","Timing"
"affa5740-6f6d-4370-b64a-5786e1707722","P4D","TIM15","P4D","-4..4 days","P24W","Week 24","Timing_15","Week 24 timing","Timing"
"3b58ba22-be40-4121-8006-b4132f711464","P3D","TIM16","P3D","-3..3 days","P26W","Week 26","Timing_16","Week 26 timing","Timing"
"94bae8ff-6c7e-405e-a99a-32c82596cc9b","","TIM8","","","P2W","Week 8 Home","Timing_8","Week 8 at home timing","Timing"
"fced1b04-1b6b-48fe-bd90-9bd923bbe92a","","TIM10","","","P2W","Week 12 Home","Timing_10","Week 12 at home timing","Timing"
"b34d87d5-2875-4527-b7b4-3678a4dfb883","","TIM12","","","P2W","Week 16 Home","Timing_12","Week 16 at home timing","Timing"
"a85fa454-86ef-409d-86e5-5619207e03af","","TIM14","","","P2W","Week 20 Home","Timing_14","Week 20 at home timing","Timing"
"7e61736f-49ef-4a70-a3ee-927afaea6a90","","TIM17","","","P1D","Adverse Event","Timing_17","Adverse Event","Timing"
"fda620f1-ed5f-4910-9074-859aba908989","","TIM18","","","P1D","Early Termination","Timing_18","Early Termination","Timing"
"a6def59f-60ac-438a-8a65-5d302f12fd98","","TIM19","","","PT0M","Supine","Timing_19","Supine","Timing"
"34709b65-2fe2-4a62-ac98-dcf1aa2b76d3","","TIM20","","","PT5M","VS while supine","Timing_20","VS while supine","Timing"
"3623430a-8f29-4425-88c7-240ef555f1b5","","TIM21","","","PT0M","Standing","Timing_21","Standing","Timing"
"491009c9-13c0-4224-bba9-20e97dfaa83c","","TIM22","","","PT1M","VS while standing","Timing_22","VS while standing","Timing"
"d56d6eac-5d14-4e87-af8d-e2481e8de6f3","","TIM23","","","PT0M","Standing","Timing_23","Standing","Timing"
"a84defdb-dc8d-4955-a95c-2f05a96a79f2","","TIM24","","","PT2M","VS while standing","Timing_24","VS while standing","Timing"
