"uuid:ID","name","label","id","description","instanceType"
"60053821-4b30-49f8-b787-9a822b11bee2","Informed consent","","Activity_1","","Activity"
"d8409031-6241-46f0-957d-82bcd22a4891","Inclusion/exclusion criteria","","Activity_2","","Activity"
"ff765604-ec84-4eb2-b6a6-901f2f37aee1","Patient number assigned","","Activity_3","","Activity"
"ce1c8fb8-fcbc-44a6-a506-d506ba56ab07","Demographics","Demographics","Activity_4","","Activity"
"0dd1c61d-7d7d-4f92-ac60-4c9135624f17","Hachinski","Hachinski","Activity_5","","Activity"
"41aeb81c-ac9b-452d-99d0-46bd09cc062b","MMSE","MMSE","Activity_6","","Activity"
"e535ccae-9ee1-4f09-975a-dc205c8cc2da","Physical examination","","Activity_7","","Activity"
"65e08dc0-5728-491b-ac6e-1eac3335df7b","Medical history","","Activity_8","","Activity"
"188af1ad-6a27-45c2-8bce-b554649c8a3f","Habits","","Activity_9","","Activity"
"8584ab67-1e35-442b-9888-81848b63f874","Chest X-ray","","Activity_10","","Activity"
"a21a1a3c-a675-4108-ba19-c86e9794f535","Apo E genotyping","","Activity_11","","Activity"
"17ce9933-0604-4a6a-9a89-06d831220a21","Patient randomised","","Activity_12","","Activity"
"b22d08b2-a5ba-49d2-b085-1341982a4944","Vital signs / Temperature","Vital Signs and Temperature","Activity_13","","Activity"
"f84ddf50-155f-48c5-b079-e4237e31af4b","Ambulatory ECG placed","","Activity_14","","Activity"
"c86d776e-fa8f-459f-97af-09ce31e8b50c","Ambulatory ECG removed","","Activity_15","","Activity"
"53434ebb-8805-4456-adc1-bb24a4a23faf","ECG","","Activity_16","","Activity"
"89cc893d-61b3-4a50-913c-63a28016f1a3","Placebo TTS test","","Activity_17","","Activity"
"4b030c56-e8c0-4f3d-b235-ff78bd05972a","CT scan","","Activity_18","","Activity"
"55eb43dc-b218-4e8c-aab9-7e5dfa16c180","Concomitant medications","","Activity_19","","Activity"
"d5a69cc6-34cc-4e7e-a681-1b7abe3c6046","Hematology","","Activity_20","","Activity"
"2cc2e1c5-039e-4171-a36f-518e63e1f124","Chemistry","","Activity_21","","Activity"
"a768c185-76eb-42fc-9698-c9850fce0fb1","Uninalysis","","Activity_22","","Activity"
"1d8e0e0c-7ce3-4802-afe0-ec17afd6e98a","Plasma Specimen (Xanomeline)","","Activity_23","","Activity"
"bbae39ff-8f15-424e-9045-0ae11512833f","Hemoglobin A1C","","Activity_24","","Activity"
"8e887d7f-82e0-4240-96eb-9f12ea687a85","Study drug","Study drug record , Medications dispensed, Medications returned","Activity_25","","Activity"
"71ca3ee7-b49c-4708-9aee-cdec5e1fddc4","TTS Acceptability Survey","","Activity_26","","Activity"
"f1c9f9af-0aef-42d7-9ad1-7a7bf521bf0a","ADAS-Cog","","Activity_27","","Activity"
"8ad3397a-6184-4943-8d9b-474a4601982b","CIBIC+","","Activity_28","","Activity"
"fc3692ef-c8ae-4261-8df2-427c3756c6b7","DAD","","Activity_29","","Activity"
"571a5315-ab03-47ec-b4b1-f597b56a89cd","NPI-X","","Activity_30","","Activity"
"037d09fa-97da-46cf-88f2-4843bc72a881","Adverse events","","Activity_31","","Activity"
"d48db32a-11d0-4927-9b25-ecb56541fc03","Check adverse events","","Activity_32","","Activity"
"18d6841f-5d77-434f-932e-a5e0c6374653","Supine","Subject supine","Activity_33","","Activity"
"5540ea5d-be5f-4763-bd02-8b6147d28d0f","Vital Signs Supine","Vital signs while supine","Activity_34","","Activity"
"63b68a86-cc75-4471-b404-149dfe440c1e","Stand","Subject Standing","Activity_35","","Activity"
"3c736744-feb0-4fc0-a4fa-580a31b9daba","Vital Signs Standing","Vital signs while standing","Activity_36","","Activity"
