"purpose","name","text","uuid:ID","instanceType","description","label","id"
"","END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","0f62326f-c9b6-43f1-8cc4-536bcf1a7014","Endpoint","","","Endpoint_1"
"","END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","f1922c22-a356-4eb8-9378-43571ea60b65","Endpoint","","","Endpoint_2"
"","END3","Adverse events","4e03e31b-0f8a-4dac-8f45-2982ae3ef7c2","Endpoint","","","Endpoint_3"
"","END4","Vital signs (weight, standing and supine blood pressure, heart rate)","91862266-1662-4735-9f6d-2703476952f5","Endpoint","","","Endpoint_4"
"","END5","Laboratory evaluations (Change from Baseline)","188ce29c-9125-4ad7-a9c5-eedac1d88d09","Endpoint","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Endpoint_5"
"","END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","6c9bd9b4-0200-4f9a-907f-79ea80ac0312","Endpoint","","","Endpoint_6"
"","END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","e4b8febf-0375-42fe-91d7-570a74805ff7","Endpoint","","","Endpoint_7"
"","END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","1d0a5777-8d33-43fb-8350-6278ba30e9be","Endpoint","","","Endpoint_8"
"","END9","*** To be determined from protocol ***","5efdb299-1589-45c6-b5d4-7aef7947d3fc","Endpoint","","","Endpoint_9"
"","END10","*** To be determined from protocol ***","19be3763-a6c8-4886-9e51-b6de17de78e9","Endpoint","","","Endpoint_10"
"","END11","*** To be determined from protocol ***","4450535f-b77b-48bc-8f5b-a64bd279d807","Endpoint","","","Endpoint_11"
