"name","uuid:ID","instanceType","description","label","id"
"E1","2fdbe18c-1b25-40ff-a1f7-148cd59dc1bd","Encounter","Screening encounter","Screening 1","Encounter_1"
"E2","f7220514-7c85-430c-a2cc-db57b4a49b63","Encounter","Screening encounter - Ambulatory ECG Placement","Screening 2","Encounter_2"
"E3","d2ca90c3-eddb-446d-9f27-6fc61d2c516b","Encounter","Baseline encounter - Ambulatory ECG Removal","Baseline","Encounter_3"
"E4","5b5d3f6e-d55a-4819-b7d2-ce70f86969dd","Encounter","Day 14","Week 2","Encounter_4"
"E5","9cb37e05-cfb7-4068-9d0f-9c91e90c3f72","Encounter","Day 28","Week 4","Encounter_5"
"E7","071dbbb3-dcbb-4b37-a864-aab2c450dca0","Encounter","Day 42","Week 6","Encounter_6"
"E8","e4a0e00c-95cc-48df-8da0-b0be86b72434","Encounter","Day 56","Week 8","Encounter_7"
"E9","b4c343a8-a487-4c2a-a68b-b5102bdd9fce","Encounter","Day 84","Week 12","Encounter_8"
"E10","fee1e823-114f-4815-b713-4a8411034e97","Encounter","Day 112","Week 16","Encounter_9"
"E11","dbfae980-c3ee-4e70-ba2f-f69255bf7339","Encounter","Day 140","Week 20","Encounter_10"
"E12","0ffde8e9-e3de-42b7-acf5-8707bdcb105a","Encounter","Day 168","Week 24","Encounter_11"
"E13","3960fe34-e1c2-4794-8e96-ada8b9d12561","Encounter","Day 182","Week 26","Encounter_12"
