"name","uuid:ID","windowLower","instanceType","windowUpper","description","valueLabel","label","value","id","windowLabel"
"TIM1","7b381c3d-2584-4fb9-8205-eb621ce0f7ca","","Timing","","Screening timing","2 weeks","Screening","P2W","Timing_1",""
"TIM2","1ebd94bf-ea59-4462-b934-a57629464183","PT4H","Timing","PT0H","Pre dose timing","2 days","Pre dose","P2D","Timing_2","-4..0 hours"
"TIM3","d38a2f33-5bf2-4941-8bde-f9ce2820ab2d","","Timing","","Dosing anchor","1 Day","Dosing","P1D","Timing_3",""
"TIM4","830ab64e-c199-46dd-b09e-2b7b9889a972","P3D","Timing","P3D","Week 2 timing","2 Weeks","Week 2","P2W","Timing_4","-3..3 days"
"TIM5","39569c50-1e11-44f1-a9a0-51e967f8a048","P3D","Timing","P3D","Week 4 timing","4 Weeks","Week 4","P4W","Timing_5","-3..3 days"
"TIM6","9e4f16f8-c073-46b8-a213-a80e2d3a5062","P3D","Timing","P3D","Week 6 timing","6 Weeks","Week 6","P6W","Timing_6","-3..3 days"
"TIM7","aa3297a8-0e51-40d2-a77b-2effeebbd6d0","P3D","Timing","P3D","Week 8 timing","8 Weeks","Week 8","P8W","Timing_7","-3..3 days"
"TIM9","6e9cb475-0f0b-4654-b240-62adeabb2f9d","P4D","Timing","P4D","Week 12 timing","12 Weeks","Week 12","P12W","Timing_9","-4..4 days"
"TIM11","f424813a-1dba-4b41-ad26-9babc2ae1271","P4D","Timing","P4D","Week 16 timing","16 Weeks","Week 16","P16W","Timing_11","-4..4 days"
"TIM13","d89b9e32-6dbf-41bf-9b5c-3dcb184bb0b0","P4D","Timing","P4D","Week 20 timing","20 Weeks","Week 20","P20W","Timing_13","-4..4 days"
"TIM15","95dd4161-4c2d-44c5-b93e-93561b97a5cd","P4D","Timing","P4D","Week 24 timing","24 Weeks","Week 24","P24W","Timing_15","-4..4 days"
"TIM16","b96562f4-abb0-4d65-bbdc-f40f5fd0b92c","P3D","Timing","P3D","Week 26 timing","26 Weeks","Week 26","P26W","Timing_16","-3..3 days"
"TIM8","248ee28c-d48d-4157-901d-925b510d8989","","Timing","","Week 8 at home timing","2 Weeks","Week 8 Home","P2W","Timing_8",""
"TIM10","1b3868c8-82bb-477a-b2d7-e094439aa39a","","Timing","","Week 12 at home timing","2 Weeks","Week 12 Home","P2W","Timing_10",""
"TIM12","5b263817-9f87-406c-8981-bc4d8b3e37e4","","Timing","","Week 16 at home timing","2 Weeks","Week 16 Home","P2W","Timing_12",""
"TIM14","4497de72-b0db-4468-a5ed-758d0d0b9623","","Timing","","Week 20 at home timing","2 Weeks","Week 20 Home","P2W","Timing_14",""
"TIM17","a4c31e4f-419f-4983-8df2-c2fd6e4bab5f","","Timing","","Adverse Event","1 Day","Adverse Event","P1D","Timing_17",""
"TIM18","302ba175-bbd1-4aba-a49f-2279ea376d18","","Timing","","Early Termination","1 Day","Early Termination","P1D","Timing_18",""
"TIM19","b08d2e61-a695-4f7e-9dd8-0f6c57a375ef","","Timing","","Supine","0 mins","Supine","PT0M","Timing_19",""
"TIM20","d05ba743-cc08-4caf-9a22-d584ee12b7fa","","Timing","","VS while supine","5 mins","VS while supine","PT5M","Timing_20",""
"TIM21","e8faa865-b4d4-4a98-baca-2630d21f7ba7","","Timing","","Standing","0 min","Standing","PT0M","Timing_21",""
"TIM22","df19f39a-ed5e-4847-a0ea-417c12b06edb","","Timing","","VS while standing","1 min","VS while standing","PT1M","Timing_22",""
"TIM23","5fcc82c1-b4b6-48dc-91ba-e9b34fce4950","","Timing","","Standing","0 min","Standing","PT0M","Timing_23",""
"TIM24","0d7bf881-ae24-4bee-bc66-f7d904a9e0e4","","Timing","","VS while standing","2 min","VS while standing","PT2M","Timing_24",""
