"uuid:ID","description","name","id","text","label"
"b1211767-696e-449a-9437-4d83b629c71e","","ENCOUNTER_START_RULE_1","TransitionRule_1","Subject identified",""
"39cdaf6f-bf81-41d1-a0c7-5f955daed6a3","","ENCOUNTER_START_RULE_1","TransitionRule_2","IEs passed",""
"24dd9aec-581c-46f6-bf33-72588c295e86","","ENCOUNTER_START_RULE_3","TransitionRule_3","Radomized",""
"ab2efa57-19f4-4d07-a32f-7890bac366c6","","ELEMENT_START_RULE_1","TransitionRule_4","Study Start",""
"caeab336-57de-4b45-a407-7ffee988d011","","ELEMENT_END_RULE_1","TransitionRule_5","Screened",""
"c091092f-122c-4ccf-966d-6a5d3afb3023","","ELEMENT_START_RULE_2","TransitionRule_6","Screened",""
"03592874-a336-48b5-ac47-a70c9937ab10","","ELEMENT_END_RULE_2","TransitionRule_7","Radomized",""
"40a62b55-6283-4e4c-8b05-d26e28dd8671","","ELEMENT_START_RULE_3","TransitionRule_8","Radomized",""
"6993a710-07c7-4c36-af9c-f424bce62caa","","ELEMENT_END_RULE_3","TransitionRule_9","Completed treatment 1",""
"d7f1a13c-94a1-4f15-942c-1ea0e8f0e08f","","ELEMENT_START_RULE_5","TransitionRule_12","Radomized",""
"26afab21-8d8c-4b3a-84e6-a105c396987e","","ELEMENT_END_RULE_5","TransitionRule_13","Completed treatment 2",""
"90d926a7-50ea-449c-896e-4d1a900f9657","","ELEMENT_START_RULE_4","TransitionRule_10","Treated",""
"b20be233-4c30-4602-8648-cccc31e3d4bc","","ELEMENT_END_RULE_4","TransitionRule_11","Leave Study",""
