"uuid:ID","name","id","text","sectionTitle","sectionNumber"
"dbfbe0d9-9f66-4c31-bf63-5b465911cdde","ROOT","NarrativeContent_1","","Root","0"
"5aeb601c-b7b4-4365-a44d-f5119eefc079","SECTION 1","NarrativeContent_2","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","PROTOCOL SUMMARY","1"
"02c34dec-c2fd-4d6b-b100-b025fa5c9de5","SECTION 1.1","NarrativeContent_3","<div></div>","Protocol Synopsis","1.1"
"baefc4fc-f68d-4674-84ee-4971978b787f","SECTION 1.2","NarrativeContent_4","<div></div>","Trial Schema","1.2"
"06b2f670-b508-43eb-8233-b5664abdb116","SECTION 1.3","NarrativeContent_5","<div></div>","Schedule of Activities","1.3"
"7e944917-024c-475d-8d68-7d2a9eef97dc","SECTION 2","NarrativeContent_6","<div></div>","INTRODUCTION","2"
"f9103e73-afca-4820-a06e-8f775e6509e5","SECTION 2.1","NarrativeContent_7","<div></div>","Purpose of Trial","2.1"
"c3eba82e-c1fb-438a-b81a-e93db9511231","SECTION 2.2","NarrativeContent_8","<div></div>","Summary of Benefits and Risks","2.2"
"73f85fab-13dd-41ce-b284-606d93d734b1","SECTION 3","NarrativeContent_9","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3"
"31e71cdf-4891-4ee9-98d9-8a5a6ddf2500","SECTION 3.1","NarrativeContent_10","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","Primary Objectives","3.1"
"4d34ec47-e5cb-4769-90b3-6d41ccc81d8a","SECTION 4","NarrativeContent_11","<div></div>","TRIAL DESIGN","4"
"693ca570-833b-4886-a59d-3fd8f1962d44","SECTION 4.1","NarrativeContent_12","<div></div>","Description of Trial Design","4.1"
"d339f05d-4654-4e9a-a126-045f5a192f93","SECTION 4.1.1","NarrativeContent_13","<div></div>","Participant Input into Design","4.1.1"
"9039e53b-fc87-4898-9a8a-1b5e56ab8515","SECTION 4.2","NarrativeContent_14","<div></div>","Rationale for Trial Design","4.2"
"9f0214df-2a22-4fe2-99c2-cd3bad914cb2","SECTION 4.2.1","NarrativeContent_15","<div></div>","Rationale for Comparator","4.2.1"
"47a4c727-8736-4f2c-85db-3ada323704fd","SECTION 4.2.2","NarrativeContent_16","<div></div>","Rationale for Adaptive or Novel Trial Design","4.2.2"
"0ffa9221-d637-4448-9759-ef19bab7c5d4","SECTION 4.2.3","NarrativeContent_17","<div></div>","Other Trial Design Considerations","4.2.3"
"bead259c-1bae-48fd-872a-eb7a23f0773a","SECTION 4.3","NarrativeContent_18","<div></div>","Access to Trial Intervention After End of Trial","4.3"
"d0e4fd8b-49bc-41c6-ac9a-9e816ab9f0a5","SECTION 4.4","NarrativeContent_19","<div></div>","Start of Trial and End of Trial","4.4"
"708f770a-86be-4925-b44f-b6735f3d6736","SECTION 5","NarrativeContent_20","<div></div>","TRIAL POPULATION","5"
"6c1bac9a-689f-4566-a4e6-91800936daf2","SECTION 5.1","NarrativeContent_21","<div></div>","Selection of Trial Population","5.1"
"abe358cf-0a4e-44e3-919e-28bf24f7fd47","SECTION 5.2","NarrativeContent_22","<div></div>","Rationale for Trial Population","5.2"
"1d88c217-0984-4536-82a5-6626c33e6210","SECTION 5.3","NarrativeContent_23","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>","Inclusion Criteria","5.3"
"fef7ef40-3e43-4d4c-8bf7-18a5ffb11bcf","SECTION 5.4","NarrativeContent_24","<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>","Exclusion Criteria","5.4"
"42f6f3cc-6324-483f-82eb-ec2fcc8b51fd","SECTION 5.5","NarrativeContent_25","<div></div>","Lifestyle Considerations","5.5"
"c796ead3-7020-4542-ae05-53bfdab2aa0a","SECTION 5.5.1","NarrativeContent_26","<div></div>","Meals and Dietary Restrictions","5.5.1"
"143487bd-d471-421b-a8bc-a195e33c3675","SECTION 5.5.2","NarrativeContent_27","<div></div>","Caffeine, Alcohol, Tobacco, and Other Habits","5.5.2"
"d3427921-5872-4ce8-9764-73d6583ed2c3","SECTION 5.5.3","NarrativeContent_28","<div></div>","Physical Activity","5.5.3"
"1cba592b-3312-4689-979b-a17b48a8f334","SECTION 5.5.4","NarrativeContent_29","<div></div>","Other Activity","5.5.4"
"53f8686e-e707-4c1b-a95f-2525bf365620","SECTION 5.6","NarrativeContent_30","<div></div>","Screen Failures","5.6"
"796cf01d-e1b6-4c7a-8831-d0e58a15dc75","SECTION 6","NarrativeContent_31","<div></div>","TRIAL INTERVENTION AND CONCOMITANT THERAPY","6"
"0c76ab96-8f3c-4c78-a1d0-16d2db0b9342","SECTION 6.1","NarrativeContent_32","<div></div>","Description of Trial Intervention","6.1"
"86d8bfbc-3d38-470d-ac41-8839f6950d78","SECTION 6.2","NarrativeContent_33","<div></div>","Rationale for Trial Intervention","6.2"
"f8266813-fbf1-4a5a-b0e2-104b4e16b92b","SECTION 6.3","NarrativeContent_34","<div></div>","Dosing and Administration","6.3"
"f13d6be4-37b7-48cf-86e9-7755d7b3d44d","SECTION 6.3.1","NarrativeContent_35","<div></div>","Trial Intervention Dose Modification","6.3.1"
"77d0660f-c4ed-4299-91fe-4717037d8af9","SECTION 6.4","NarrativeContent_36","<div></div>","Treatment of Overdose","6.4"
"3fbcec80-7eae-453c-83fe-f93900d0a664","SECTION 6.5","NarrativeContent_37","<div></div>","Preparation, Handling, Storage and Accountability","6.5"
"e5b20766-c420-4958-aa64-497f97f04832","SECTION 6.5.1","NarrativeContent_38","<div></div>","Preparation of Trial Intervention","6.5.1"
"ce47c77f-20a7-4dad-bd41-eff09d344d2d","SECTION 6.5.2","NarrativeContent_39","<div></div>","Handling and Storage of Trial Intervention","6.5.2"
"c8a83896-282e-49e7-8f6c-d4c97f347e49","SECTION 6.5.3","NarrativeContent_40","<div></div>","Accountability of Trial Intervention","6.5.3"
"48540d5d-4fe1-4b89-a05d-da8b957afa0b","SECTION 6.6","NarrativeContent_41","<div></div>","Participant Assignment, Randomisation and Blinding","6.6"
"aa1e5a38-7db5-4c73-9586-0de57a5db7d7","SECTION 6.6.1","NarrativeContent_42","<div></div>","Participant Assignment","6.6.1"
"532d17a8-b5ab-4150-89d0-4c43c013ff71","SECTION 6.6.2","NarrativeContent_43","<div></div>","Randomisation","6.6.2"
"056bdd8b-8fa6-4bc1-8f03-7bcd9f26ce42","SECTION 6.6.3","NarrativeContent_44","<div><p>Blinding and unblinding text here please</p></div>","Blinding and Unblinding","6.6.3"
"c7faac97-f920-463f-aa79-d99f3540cfd7","SECTION 6.7","NarrativeContent_45","<div></div>","Trial Intervention Compliance","6.7"
"026e17d8-b2a2-4e51-95ee-9f85dbdb8887","SECTION 6.8","NarrativeContent_46","<div></div>","Concomitant Therapy","6.8"
"33a881df-3152-4673-9eb0-18dcf572fdc3","SECTION 6.8.1","NarrativeContent_47","<div></div>","Prohibited Concomitant Therapy","6.8.1"
"fc38c422-6cea-457f-ac17-8ce3aaaa30c3","SECTION 6.8.2","NarrativeContent_48","<div></div>","Permitted Concomitant Therapy","6.8.2"
"682d867c-cc00-4c51-a535-6a96a1fa1f5d","SECTION 6.8.3","NarrativeContent_49","<div></div>","Rescue Therapy","6.8.3"
"3750b5eb-bbe2-49f3-8b05-3a17a1b2a67b","SECTION 6.8.4","NarrativeContent_50","<div></div>","Other Therapy","6.8.4"
"6856d5b3-7f93-4c46-9c2a-7d60578c6d68","SECTION 7","NarrativeContent_51","<div></div>","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","7"
"0444262e-d293-4d20-a3ec-d532f741a4c7","SECTION 7.1","NarrativeContent_52","<div></div>","Discontinuation of Trial Intervention","7.1"
"84bacdb7-51d6-43d8-acfd-af5341758b3d","SECTION 7.1.1","NarrativeContent_53","<div></div>","Criteria for Permanent Discontinuation of Trial Intervention","7.1.1"
"c1d22547-92d4-4c24-a73c-775e23216205","SECTION 7.1.2","NarrativeContent_54","<div></div>","Temporary Discontinuation or Interruption of Trial Intervention","7.1.2"
"40de8cf4-5045-43d3-8e3a-cc41c13d65d2","SECTION 7.1.3","NarrativeContent_55","<div></div>","Rechallenge","7.1.3"
"2df10b05-5f45-4088-b2b8-5989f03865a1","SECTION 7.2","NarrativeContent_56","<div></div>","Participant Withdrawal from the Trial","7.2"
"9cd186af-cdf9-44ca-96fd-607376ef0e9c","SECTION 7.3","NarrativeContent_57","<div></div>","Lost to Follow-Up","7.3"
"6ce2e6f5-04a9-45a2-94e4-f59fed93add4","SECTION 7.4","NarrativeContent_58","<div></div>","Trial Stopping Rules","7.4"
"3cb1c553-5de8-47b2-b6e3-5afbb0b336aa","SECTION 8","NarrativeContent_59","<div></div>","TRIAL ASSESSMENTS AND PROCEDURES","8"
"e518383b-659d-4efe-9cde-717255118bdd","SECTION 8.1","NarrativeContent_60","<div></div>","Screening/Baseline Assessments and Procedures","8.1"
"99ec79c2-7888-4c35-92f3-6a3451797cfb","SECTION 8.2","NarrativeContent_61","<div></div>","Efficacy Assessments and Procedures","8.2"
"7d9ddee6-9e7d-41c2-9c72-7fed82eb0e93","SECTION 8.3","NarrativeContent_62","<div></div>","Safety Assessments and Procedures","8.3"
"a099b9a1-79ee-4062-b90f-0cb82a3027e1","SECTION 8.3.1","NarrativeContent_63","<div></div>","Physical Examination","8.3.1"
"558f3f84-527d-46b7-99d6-c385d3a51d76","SECTION 8.3.2","NarrativeContent_64","<div></div>","Vital Signs","8.3.2"
"524f9757-1716-40ad-ba77-bb3fa1c3565a","SECTION 8.3.3","NarrativeContent_65","<div></div>","Electrocardiograms","8.3.3"
"23a29efa-0262-4cdb-8695-a93e94eb323c","SECTION 8.3.4","NarrativeContent_66","<div></div>","Clinical Laboratory Assessments","8.3.4"
"a9e9f5ef-5efd-40b7-8394-fc8cb96756d8","SECTION 8.3.5","NarrativeContent_67","<div></div>","Suicidal Ideation and Behaviour Risk Monitoring","8.3.5"
"13abf382-1d6e-4270-8f7e-08a46ca5c19c","SECTION 8.4","NarrativeContent_68","<div></div>","Adverse Events and Serious Adverse Events","8.4"
"d862470e-179e-4a48-9121-d462435f18a4","SECTION 8.4.1","NarrativeContent_69","<div></div>","Definitions of AE and SAE","8.4.1"
"46253a7b-a83b-4126-a1ff-d3aee547a894","SECTION 8.4.2","NarrativeContent_70","<div></div>","Time Period and Frequency for Collecting AE and SAE Information","8.4.2"
"d085528d-8d99-41be-96f9-b4ff0fd46630","SECTION 8.4.3","NarrativeContent_71","<div></div>","Identifying AEs and SAEs","8.4.3"
"592551ce-3ed2-49a7-b689-82b919d5b8c7","SECTION 8.4.4","NarrativeContent_72","<div></div>","Recording of AEs and SAEs","8.4.4"
"e0275cef-86aa-4554-88fa-dd0dcb48552a","SECTION 8.4.5","NarrativeContent_73","<div></div>","Follow-up of AEs and SAEs","8.4.5"
"a45738d3-ad1c-470c-bc9d-68906315da3a","SECTION 8.4.6","NarrativeContent_74","<div></div>","Reporting of SAEs","8.4.6"
"4e379088-6972-49a5-bb84-fef7870a2f72","SECTION 8.4.7","NarrativeContent_75","<div></div>","Regulatory Reporting Requirements for SAEs","8.4.7"
"20bf2527-37e0-4b1e-b875-d4f940ac18c5","SECTION 8.4.8","NarrativeContent_76","<div></div>","Serious and Unexpected Adverse Reaction Reporting","8.4.8"
"03786996-5b54-48ca-9dd0-8a535828e80d","SECTION 8.4.9","NarrativeContent_77","<div></div>","Adverse Events of Special Interest","8.4.9"
