"instanceType","description","uuid:ID","name","purpose","id","text","label"
"ENDPOINT","","5a52ae13-4d0f-41b3-b532-9deee3010eec","END1","","Endpoint_1","Clinical status assessed using a 7-category ordinal scale at Day 28",""
"ENDPOINT","","a6818f36-5add-4846-bcb2-016749f6530d","END2","","Endpoint_2","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours",""
"ENDPOINT","","d5f946e8-513a-4089-ac8f-cae2ac64fa2b","END3","","Endpoint_3","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status",""
"ENDPOINT","","ce258fc1-1ada-4c3b-a20e-e7676e9346f7","END4","","Endpoint_4","Incidence of mechanical ventilation",""
"ENDPOINT","","4a3e3666-b98e-4c01-ab1b-bb6fc8338f7b","END5","","Endpoint_5","Ventilator-free days to Day 28",""
"ENDPOINT","","c8d60d35-a9ec-4b65-b6e8-0170d7d6d791","END6","","Endpoint_6","Incidence of intensive care unit (ICU) stay",""
"ENDPOINT","","81f894f3-716f-452f-a232-2c0b4020bf75","END7","","Endpoint_7","Duration of ICU stay",""
"ENDPOINT","","bec038e5-efc2-41f9-8842-b4f51066da33","END8","","Endpoint_8","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.",""
"ENDPOINT","","9a7f0cfe-8d6f-4456-a28c-cf18c1384824","END9","","Endpoint_9","Mortality rate at Days 7, 14, 21, 28, and 60",""
"ENDPOINT","","07f1d176-79ef-47d6-984b-fbf9756b4e93","END10","","Endpoint_10","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)",""
"ENDPOINT","","91e8113a-2779-41e3-90ee-d5bae647b965","END11","","Endpoint_11","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen",""
"ENDPOINT","","48708a27-4c18-4953-a4f0-915f09053b08","END12","","Endpoint_12","Duration of supplemental oxygen",""
