"windowUpper","label","id","uuid:ID","value","window","windowLower","instanceType","description","name"
"","Screening","Timing_1","3c228c0b-1751-4a29-8f42-b6804de8a43b","P2W","","","Timing","Screening timing","TIM1"
"PT0H","Pre dose","Timing_2","dcbf1b3f-bbca-4a41-bc01-d21d3ee3b5ca","P2D","-4..0 hours","PT4H","Timing","Pre dose timing","TIM2"
"","Dosing","Timing_3","649a1802-c79f-43ae-af54-e60345b92547","P1D","","","Timing","Dosing anchor","TIM3"
"P3D","Week 2","Timing_4","c27504e2-8257-4025-8b44-bbdc7519cae2","P2W","-3..3 days","P3D","Timing","Week 2 timing","TIM4"
"P3D","Week 4","Timing_5","dc3ae6a4-8e96-425c-8e15-312b446601e1","P4W","-3..3 days","P3D","Timing","Week 4 timing","TIM5"
"P3D","Week 6","Timing_6","70515ac8-80b4-4ce5-90cd-6e509a53f722","P6W","-3..3 days","P3D","Timing","Week 6 timing","TIM6"
"P3D","Week 8","Timing_7","9d3e38f5-f8e8-4391-b7a8-c50b159cea9d","P8W","-3..3 days","P3D","Timing","Week 8 timing","TIM7"
"P4D","Week 12","Timing_9","98db8c68-2d0e-439a-a058-1823e259fa2f","P12W","-4..4 days","P4D","Timing","Week 12 timing","TIM9"
"P4D","Week 16","Timing_11","c3f904f2-0c6d-442b-b7e3-8c2971ff1177","P16W","-4..4 days","P4D","Timing","Week 16 timing","TIM11"
"P4D","Week 20","Timing_13","dd2d349c-d309-4be4-9393-bfd12d7d638d","P20W","-4..4 days","P4D","Timing","Week 20 timing","TIM13"
"P4D","Week 24","Timing_15","39c8788c-66c7-4e5c-877d-348100d13d00","P24W","-4..4 days","P4D","Timing","Week 24 timing","TIM15"
"P3D","Week 26","Timing_16","af9ad54c-d878-4ec3-85f6-bba4c2058dd7","P26W","-3..3 days","P3D","Timing","Week 26 timing","TIM16"
"","Week 8 Home","Timing_8","32e40b1e-9b9d-47fb-b29a-3409e03f4efe","P2W","","","Timing","Week 8 at home timing","TIM8"
"","Week 12 Home","Timing_10","816051a1-092a-480a-9980-047fe9394cee","P2W","","","Timing","Week 12 at home timing","TIM10"
"","Week 16 Home","Timing_12","a9cdc6ec-8159-4e15-bb6f-f28f4a8047d8","P2W","","","Timing","Week 16 at home timing","TIM12"
"","Week 20 Home","Timing_14","81795f65-d794-4949-b149-a673d622ea52","P2W","","","Timing","Week 20 at home timing","TIM14"
"","Adverse Event","Timing_17","2cd5b7de-cec6-424f-abf5-89dc1cf17efd","P1D","","","Timing","Adverse Event","TIM17"
"","Early Termination","Timing_18","44081b58-5dfc-47e9-b912-6ba97a9705b6","P1D","","","Timing","Early Termination","TIM18"
"","Supine","Timing_19","e4aee870-69d9-4f18-92c4-bb843ef31576","PT0M","","","Timing","Supine","TIM19"
"","VS while supine","Timing_20","e4b83900-1fc2-4cc2-b28b-11f59f8bd065","PT5M","","","Timing","VS while supine","TIM20"
"","Standing","Timing_21","56e62ce7-9cec-47bf-8eca-ffcd30c43e9c","PT0M","","","Timing","Standing","TIM21"
"","VS while standing","Timing_22","fcff777b-336e-431d-873f-1b1125c26221","PT1M","","","Timing","VS while standing","TIM22"
"","Standing","Timing_23","71e1c54a-d6ea-4932-aaf3-9a51dab86586","PT0M","","","Timing","Standing","TIM23"
"","VS while standing","Timing_24","8195a40f-68b2-4004-a766-cd49c3d6142e","PT2M","","","Timing","VS while standing","TIM24"
