"id","uuid:ID","decode","codeSystem","instanceType","code","codeSystemVersion"
"Code_1","92ea6967-bf6c-4752-be40-f32863db2282","Interventional Study","http://www.cdisc.org","Code","C98388","2023-09-29"
"Code_2","705ed487-a008-4b67-84de-544bcb4d68a3","Phase II Trial","http://www.cdisc.org","Code","C15601","2023-09-29"
"Code_9","25a5c11e-2898-4a55-b16a-e3132cb2c825","Sponsor Approval Date","http://www.cdisc.org","Code","C132352","2023-09-29"
"Code_10","5875efac-d40e-4de8-bc40-1bb22e3f272f","Global","http://www.cdisc.org","Code","C68846","2023-09-29"
"Code_72","831ff2a6-68ee-4556-a4e1-0c587c713d15","IRB/IEC Feedback","http://www.cdisc.org","Code","C99904x3","2023-09-29"
"Code_73","dd02d906-512a-4e70-b765-c66d693db21a","Other","http://www.cdisc.org","Code","C17649","2023-09-29"
"Code_75","95db1c10-6ff6-44bf-8d95-a2795ef54a53","Region","http://www.cdisc.org","Code","C41129","2023-09-29"
"Code_74","3ee69854-17e0-4541-895f-60db96152046","Europe","ISO 3166 1 alpha3","Code","150","2020-08"
"Code_4","02eb7ad0-20e5-43a1-96b5-82e10b0647d7","Eli Lilly","SPONSOR","Code","PHARMA","12"
"Code_76","a06f4e81-0e9a-409f-8ab5-c0e9e537ff6c","Clinical Study Sponsor","http://www.cdisc.org","Code","C70793","2023-09-29"
"Code_77","1b1751c6-62df-4f6c-85d2-910cfa524c51","Denmark","ISO 3166 1 alpha3","Code","DNK","2020-08"
"Code_78","8d064ee0-e772-405b-8d13-d4b46ab614d9","Study Registry","http://www.cdisc.org","Code","C93453","2023-09-29"
"Code_136","a8a82863-66b2-4791-88b1-0e563deece53","Treatment Study","http://www.cdisc.org","Code","C49656","2023-09-29"
"Code_137","3f69eacd-0ad7-4a96-80c6-c5170c8ef585","Efficacy Study","http://www.cdisc.org","Code","C49666","2023-09-29"
"Code_138","7959ecd0-24e7-4157-8fa6-b19925eedcef","Safety Study","http://www.cdisc.org","Code","C49667","2023-09-29"
"Code_139","a8eeeb60-e893-4fb4-b6f3-63a868bedf8b","Pharmacokinetic Study","http://www.cdisc.org","Code","C49663","2023-09-29"
"Code_133","ab12fb9f-759b-4fe9-bd6b-490ff2cdecfa","Mild to Moderate Alzheimer's Disease","SPONSOR","Code","MILD_MOD_ALZ","12"
