"label","id","uuid:ID","instanceType","description","name"
"Screening 1","Encounter_1","6decd421-ad55-44ba-a96b-252975734a94","Encounter","Screening encounter","E1"
"Screening 2","Encounter_2","51d93dd2-4f3f-4734-b908-1935bdf08da0","Encounter","Screening encounter - Ambulatory ECG Placement","E2"
"Baseline","Encounter_3","4efdbb08-3734-4c10-854a-5c764cc26fa0","Encounter","Baseline encounter - Ambulatory ECG Removal","E3"
"Week 2","Encounter_4","a57a015d-08d5-4929-a603-618b8c3660c4","Encounter","Day 14","E4"
"Week 4","Encounter_5","e9f62849-ab2f-4994-b8f3-8b52aa8307da","Encounter","Day 28","E5"
"Week 6","Encounter_6","c7c895af-7c37-42cc-8732-adf9c7518f15","Encounter","Day 42","E7"
"Week 8","Encounter_7","ce6580b2-50d9-4d59-a6c4-39e29d022e93","Encounter","Day 56","E8"
"Week 12","Encounter_8","7deb0540-3b9d-451f-82a6-89a625c7c090","Encounter","Day 84","E9"
"Week 16","Encounter_9","c9172d23-62c0-4766-aa34-12637f225a53","Encounter","Day 112","E10"
"Week 20","Encounter_10","379728e6-0920-4552-a7ee-599d3f893c75","Encounter","Day 140","E11"
"Week 24","Encounter_11","88865ba1-88be-4604-8ddb-e444d1779931","Encounter","Day 168","E12"
"Week 26","Encounter_12","6cc8e1e7-9c63-4abf-9dd6-d03c876c00a5","Encounter","Day 182","E13"
