"synonyms","reference","label","id","uuid:ID","instanceType","name"
"['Temperature']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","BiomedicalConcept_20","2c33a281-4d81-44fa-b782-6ed959b6da2f","BiomedicalConcept","Body Temperature"
"['Weight']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","BiomedicalConcept_21","23c0c3dd-2d98-4576-a731-750332e524f3","BiomedicalConcept","Body Weight"
"['Height']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","BiomedicalConcept_22","01204b7e-f269-45f6-ae81-d8e0b41948c7","BiomedicalConcept","Body Height"
"['ALT', 'SGPT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","BiomedicalConcept_23","08269db5-fd62-4f32-97da-e903934f0566","BiomedicalConcept","Alanine Aminotransferase Measurement"
"['Albumin']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","BiomedicalConcept_24","17db8f54-f8cb-4d7f-907f-084455468a0e","BiomedicalConcept","Albumin Measurement"
"['Alkaline Phosphatase']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","BiomedicalConcept_25","49695cff-1ab5-43ab-9872-0511958591ff","BiomedicalConcept","Alkaline Phosphatase Measurement"
"['AST', 'SGOT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","BiomedicalConcept_26","40326233-4535-440d-9ace-ab2764654ffe","BiomedicalConcept","Aspartate Aminotransferase Measurement"
"['Creatinine']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","BiomedicalConcept_27","f4bae357-8faf-45eb-b824-2bef37491a80","BiomedicalConcept","Creatinine Measurement"
"['Potassium', 'K']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","BiomedicalConcept_28","8d180055-9ed6-47fc-9771-86443dd084c0","BiomedicalConcept","Potassium Measurement"
"['Sodium', 'NA']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","BiomedicalConcept_29","17142ca8-4581-4ba0-888a-b6b3ce935593","BiomedicalConcept","Sodium Measurement"
"['Adverse Event Reported Term', 'AETERM']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","Adverse Event","BiomedicalConcept_1","67750be7-655b-4c86-a5e3-d665e72e8b19","BiomedicalConcept","Adverse Event"
"['SYSBP']","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","BiomedicalConcept_2","801445a6-cd59-4808-9bb1-1d3e11c86e4b","BiomedicalConcept","Systolic Blood Pressure"
"['DIABP']","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","BiomedicalConcept_3","b57f780e-c13f-424e-86ed-2527804039a3","BiomedicalConcept","Diastolic Blood Pressure"
"['Temperature']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","BiomedicalConcept_4","a5370be1-9cfb-478e-8a51-2d522f7b63cf","BiomedicalConcept","Body Temperature"
"['Weight']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","BiomedicalConcept_5","d1767a3a-b054-4d53-a5aa-fb4f8e87aadf","BiomedicalConcept","Body Weight"
"['Height']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","BiomedicalConcept_6","2b5f4838-655d-4189-b360-50dd1f311627","BiomedicalConcept","Body Height"
"['ALT', 'SGPT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","BiomedicalConcept_7","63299db7-8fe2-4089-b18c-0831e37d9673","BiomedicalConcept","Alanine Aminotransferase Measurement"
"['Albumin']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","BiomedicalConcept_8","10b3c877-c2fd-4cd7-a709-dec2cc14a9ad","BiomedicalConcept","Albumin Measurement"
"['Alkaline Phosphatase']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","BiomedicalConcept_9","af106f0d-e7d5-4833-8735-11df6747a223","BiomedicalConcept","Alkaline Phosphatase Measurement"
"['AST', 'SGOT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","a2fe8f43-e150-444d-b93a-d3e77b02b77b","BiomedicalConcept","Aspartate Aminotransferase Measurement"
"['Creatinine']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","BiomedicalConcept_11","5b74cff2-8bd8-404a-8048-c0934e98c452","BiomedicalConcept","Creatinine Measurement"
"['Potassium', 'K']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","BiomedicalConcept_12","a5c397c8-42b1-4fb3-be89-42435e4d60eb","BiomedicalConcept","Potassium Measurement"
"['Sodium', 'NA']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","BiomedicalConcept_13","2fec5fc9-22ef-4573-a0a6-4336984ce6ed","BiomedicalConcept","Sodium Measurement"
"['SYSBP']","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","BiomedicalConcept_14","8956b4af-5371-48c6-a08c-b5eb6f7a478c","BiomedicalConcept","Systolic Blood Pressure"
"['DIABP']","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","BiomedicalConcept_15","71c8245f-bc3a-404b-ac00-52abae5ed378","BiomedicalConcept","Diastolic Blood Pressure"
"","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","Heart Rate","BiomedicalConcept_16","64e4ce1f-4430-419f-92f0-a79d4f628f2d","BiomedicalConcept","Heart Rate"
"['SYSBP']","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","BiomedicalConcept_17","35bd03ed-1008-4202-85a9-6f9890aecd1d","BiomedicalConcept","Systolic Blood Pressure"
"['DIABP']","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","BiomedicalConcept_18","33abf685-66e2-4158-88b4-3d7e1b92f4bc","BiomedicalConcept","Diastolic Blood Pressure"
"","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","Heart Rate","BiomedicalConcept_19","414d3215-7f16-476a-99e5-9fa0ce03949a","BiomedicalConcept","Heart Rate"
