"label","isEnabled","id","uuid:ID","isRequired","instanceType","datatype","name"
"Vital Signs Result","True","BiomedicalConceptProperty_98","d37c074f-b7e8-4414-a4f9-7055d9d0ac51","True","BiomedicalConceptProperty","decimal","Vital Signs Result"
"Unit of Temperature","True","BiomedicalConceptProperty_99","6dcd7b3b-94b0-4328-b141-7dfed8a442f7","True","BiomedicalConceptProperty","string","Unit of Temperature"
"Vital Signs Location","True","BiomedicalConceptProperty_100","fb65710d-1da3-45e6-8da1-433ed8b59231","True","BiomedicalConceptProperty","string","Vital Signs Location"
"Vital Signs Result","True","BiomedicalConceptProperty_101","9463879c-09c9-4169-bf3d-abe60c29c709","True","BiomedicalConceptProperty","decimal","Vital Signs Result"
"Unit of Weight","True","BiomedicalConceptProperty_102","b229bcc6-02c7-46e2-b0d6-e6644bb344e8","True","BiomedicalConceptProperty","string","Unit of Weight"
"Vital Signs Result","True","BiomedicalConceptProperty_103","df146b8c-4478-4495-ba77-7cb3d24f0cf8","True","BiomedicalConceptProperty","decimal","Vital Signs Result"
"Unit of Height","True","BiomedicalConceptProperty_104","8739a271-5b9e-41b9-ba07-148b6e7accd6","True","BiomedicalConceptProperty","string","Unit of Height"
"Laboratory Test Result","True","BiomedicalConceptProperty_105","c5cbfc0d-2b13-454b-95f3-ef13de5af41d","True","BiomedicalConceptProperty","decimal","Laboratory Test Result"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_106","ed188428-bf1e-4ea5-b8ee-c45c7fb06c71","True","BiomedicalConceptProperty","boolean","Laboratory Test Fasting Status"
"Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_107","4640f575-945b-4dbe-8552-578981206f0c","True","BiomedicalConceptProperty","string","Unit of Catalytic Activity Concentration"
"Biospecimen Type","True","BiomedicalConceptProperty_108","8e67aa82-2dc4-4cc7-959c-c03736978200","True","BiomedicalConceptProperty","string","Biospecimen Type"
"Laboratory Test Result","True","BiomedicalConceptProperty_109","7cd615c5-198d-4d63-b58a-f883dba7e5bc","True","BiomedicalConceptProperty","string","Laboratory Test Result"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_110","6c5c980a-ef91-4562-a4db-7015137fe0c6","True","BiomedicalConceptProperty","boolean","Laboratory Test Fasting Status"
"Unit of Concentration","True","BiomedicalConceptProperty_111","11b712ac-2277-46e4-adfb-7fb7fd68ee3f","True","BiomedicalConceptProperty","string","Unit of Concentration"
"Biospecimen Type","True","BiomedicalConceptProperty_112","6bf02c35-cd6d-4ee9-94d1-6c6142f17aea","True","BiomedicalConceptProperty","string","Biospecimen Type"
"Laboratory Test Result","True","BiomedicalConceptProperty_113","3e6db1db-e268-4217-b5db-90804c6c767a","True","BiomedicalConceptProperty","decimal","Laboratory Test Result"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_114","30d5c1dd-bd40-4cc4-b9a5-5e91e7e47f9c","True","BiomedicalConceptProperty","boolean","Laboratory Test Fasting Status"
"Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_115","a125dbf9-8b82-430f-a79b-c637ab5b83bb","True","BiomedicalConceptProperty","string","Unit of Catalytic Activity Concentration"
"Biospecimen Type","True","BiomedicalConceptProperty_116","b76ca469-b5b1-4ad6-a584-73a41b601282","True","BiomedicalConceptProperty","string","Biospecimen Type"
"Laboratory Test Result","True","BiomedicalConceptProperty_117","29889dc1-e4df-44ad-a27b-c7c29f1ee4a1","True","BiomedicalConceptProperty","decimal","Laboratory Test Result"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_118","07d85da5-a455-4c35-a06c-863f1783590a","True","BiomedicalConceptProperty","boolean","Laboratory Test Fasting Status"
"Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_119","58dcb4c7-a0f3-45ec-8d8e-b8a59675a934","True","BiomedicalConceptProperty","string","Unit of Catalytic Activity Concentration"
"Biospecimen Type","True","BiomedicalConceptProperty_120","a9332c8f-ddfd-459a-a872-6f6a85275db2","True","BiomedicalConceptProperty","string","Biospecimen Type"
"Laboratory Test Result","True","BiomedicalConceptProperty_121","28baedd6-7617-4b88-bfb4-f51567bbc591","True","BiomedicalConceptProperty","string","Laboratory Test Result"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_122","e017e206-aa12-4f84-b251-d68378c9d7b8","True","BiomedicalConceptProperty","boolean","Laboratory Test Fasting Status"
"Unit of Concentration","True","BiomedicalConceptProperty_123","fe0bd135-1849-455d-b216-cb25a332961f","True","BiomedicalConceptProperty","string","Unit of Concentration"
"Biospecimen Type","True","BiomedicalConceptProperty_124","def901b3-d32b-4c57-9dba-f8d11482290b","True","BiomedicalConceptProperty","string","Biospecimen Type"
"Laboratory Test Result","True","BiomedicalConceptProperty_125","ca3c079b-6503-4f6c-bcb7-afa40ce49ab4","True","BiomedicalConceptProperty","decimal","Laboratory Test Result"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_126","0f9d41ec-8e7d-4d72-b282-32426488ef2e","True","BiomedicalConceptProperty","boolean","Laboratory Test Fasting Status"
"Molarity Unit","True","BiomedicalConceptProperty_127","318627da-c4a8-41ca-b57c-3c558084d7d4","True","BiomedicalConceptProperty","string","Molarity Unit"
"Biospecimen Type","True","BiomedicalConceptProperty_128","c32bdee4-68f8-4dac-acd7-5e41ef1aeeb7","True","BiomedicalConceptProperty","string","Biospecimen Type"
"Laboratory Test Result","True","BiomedicalConceptProperty_129","b18bf864-57c7-4af6-8bfb-d477b25d70d6","True","BiomedicalConceptProperty","decimal","Laboratory Test Result"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_130","8c2204ea-1082-4fac-9682-23956e4cd904","True","BiomedicalConceptProperty","boolean","Laboratory Test Fasting Status"
"Molarity Unit","True","BiomedicalConceptProperty_131","6eb091cf-a71b-402a-bd1c-0a4e13544305","True","BiomedicalConceptProperty","string","Molarity Unit"
"Biospecimen Type","True","BiomedicalConceptProperty_132","637462ec-ccc7-41c3-87ef-ca4a09b51838","True","BiomedicalConceptProperty","string","Biospecimen Type"
"Adverse Event Verbatim Description","True","BiomedicalConceptProperty_1","baca4d48-87b8-486a-be3d-8c344fbf2c62","True","BiomedicalConceptProperty","string","Adverse Event Verbatim Description"
"Adverse Event Dictionary Derived Term","True","BiomedicalConceptProperty_2","dd7f1615-8cdf-4674-a717-e61a6ec498f7","True","BiomedicalConceptProperty","string","Adverse Event Dictionary Derived Term"
"Adverse Event Category","True","BiomedicalConceptProperty_3","18e94e35-eac3-4dc3-ae37-3721ab0c0a76","True","BiomedicalConceptProperty","string","Adverse Event Category"
"Adverse Event Subcategory","True","BiomedicalConceptProperty_4","798ac8ed-5dfb-4a7d-a538-a73e69011ce7","True","BiomedicalConceptProperty","string","Adverse Event Subcategory"
"Adverse Event Pre-specified","True","BiomedicalConceptProperty_5","db766556-ecc4-46f6-abcb-0ea3e2d93922","True","BiomedicalConceptProperty","boolean","Adverse Event Pre-specified"
"Severity of Adverse Event","True","BiomedicalConceptProperty_6","41dce73b-f25f-4f3e-b982-2fd14f45e619","True","BiomedicalConceptProperty","string","Severity of Adverse Event"
"Adverse Event Toxicity Grade","True","BiomedicalConceptProperty_7","6d085d08-4404-4f2c-84c0-7b0cdf30662a","True","BiomedicalConceptProperty","string","Adverse Event Toxicity Grade"
"Seriousness of Adverse Event","True","BiomedicalConceptProperty_8","6ad5cba4-407f-4b37-93ee-c091ad5d65ae","True","BiomedicalConceptProperty","boolean","Seriousness of Adverse Event"
"Adverse Event Action Taken with Study Treatment","True","BiomedicalConceptProperty_9","15d036d6-3f0e-4213-876f-028c36b724c7","True","BiomedicalConceptProperty","string","Adverse Event Action Taken with Study Treatment"
"Adverse Event Attribution to Product or Procedure","True","BiomedicalConceptProperty_10","858c9227-79a7-431b-9ca2-697d7a4c99c1","True","BiomedicalConceptProperty","string","Adverse Event Attribution to Product or Procedure"
"Adverse Event Pattern","True","BiomedicalConceptProperty_11","a3b64aa8-ec16-4627-9f16-b8fa1774f113","True","BiomedicalConceptProperty","string","Adverse Event Pattern"
"Adverse Event Outcome","True","BiomedicalConceptProperty_12","8b22fcea-3b90-4d5b-bca0-ea163c2f48cd","True","BiomedicalConceptProperty","string","Adverse Event Outcome"
"Adverse Event Start Date Time","True","BiomedicalConceptProperty_13","693bdc9a-4d35-46ea-863a-7f7261e77d18","True","BiomedicalConceptProperty","datetime","Adverse Event Start Date Time"
"Adverse Event End Date Time","True","BiomedicalConceptProperty_14","2d4ddc2d-ab99-41f7-adf8-ceb20f1f8c54","True","BiomedicalConceptProperty","datetime","Adverse Event End Date Time"
"Vital Signs Result","True","BiomedicalConceptProperty_15","c8368ad3-67f9-434a-b90f-9cba152e8e29","True","BiomedicalConceptProperty","decimal","Vital Signs Result"
"Unit of Pressure","True","BiomedicalConceptProperty_16","78bc6adc-713b-4318-84a6-d4cc7c14a29a","True","BiomedicalConceptProperty","string","Unit of Pressure"
"Vital Signs Location","True","BiomedicalConceptProperty_17","3564c323-43f7-4c3f-94b2-3756e4b1687e","True","BiomedicalConceptProperty","string","Vital Signs Location"
"Vital Signs Laterality","True","BiomedicalConceptProperty_18","30c54b87-828b-4f47-8dec-8cbcc187e087","True","BiomedicalConceptProperty","string","Vital Signs Laterality"
"Test Method","True","BiomedicalConceptProperty_19","cd8d3538-2708-4796-bebd-443f5b589fbc","True","BiomedicalConceptProperty","string","Test Method"
"Vital Signs Position","True","BiomedicalConceptProperty_20","5823e1ed-e899-4dc2-8b54-14888117f6bb","True","BiomedicalConceptProperty","string","Vital Signs Position"
"Vital Signs Result","True","BiomedicalConceptProperty_21","ca7a1baf-ce33-4b1d-94a3-f813f156abe2","True","BiomedicalConceptProperty","decimal","Vital Signs Result"
"Unit of Pressure","True","BiomedicalConceptProperty_22","27fc5f04-f2c6-4693-9810-5ebc121943c5","True","BiomedicalConceptProperty","string","Unit of Pressure"
"Vital Signs Location","True","BiomedicalConceptProperty_23","72e2809a-4fdb-4335-be57-72171da1ca43","True","BiomedicalConceptProperty","string","Vital Signs Location"
"Vital Signs Laterality","True","BiomedicalConceptProperty_24","ef994375-5089-4726-99b1-b2c98e9bfa0f","True","BiomedicalConceptProperty","string","Vital Signs Laterality"
"Test Method","True","BiomedicalConceptProperty_25","00b79d97-4450-425e-8d40-546d464e3cc6","True","BiomedicalConceptProperty","string","Test Method"
"Vital Signs Position","True","BiomedicalConceptProperty_26","aa9c59e3-3df3-4fb3-9594-9cf331c91893","True","BiomedicalConceptProperty","string","Vital Signs Position"
"Vital Signs Result","True","BiomedicalConceptProperty_27","b32822ef-86e5-4977-a035-2ae36a8a9e8c","True","BiomedicalConceptProperty","decimal","Vital Signs Result"
"Unit of Temperature","True","BiomedicalConceptProperty_28","65e86ca6-c2d0-4cf3-a972-ca08a7788e41","True","BiomedicalConceptProperty","string","Unit of Temperature"
"Vital Signs Location","True","BiomedicalConceptProperty_29","d5ef402f-e098-4579-889e-7c48cc5e47aa","True","BiomedicalConceptProperty","string","Vital Signs Location"
"Vital Signs Result","True","BiomedicalConceptProperty_30","b6bd46dc-49cb-4419-b21d-230c1b0e4d49","True","BiomedicalConceptProperty","decimal","Vital Signs Result"
"Unit of Weight","True","BiomedicalConceptProperty_31","c95e842c-d909-4798-b564-0a409ab47207","True","BiomedicalConceptProperty","string","Unit of Weight"
"Vital Signs Result","True","BiomedicalConceptProperty_32","e767d00a-9214-4ddf-8b1a-58470e8d3670","True","BiomedicalConceptProperty","decimal","Vital Signs Result"
"Unit of Height","True","BiomedicalConceptProperty_33","e6e65f4a-8945-4dac-824e-dbced6808100","True","BiomedicalConceptProperty","string","Unit of Height"
"Laboratory Test Result","True","BiomedicalConceptProperty_34","a4abf453-6fa6-4e07-b487-d192828ceb15","True","BiomedicalConceptProperty","decimal","Laboratory Test Result"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_35","468595cc-937d-4792-9836-ab6d4bce2978","True","BiomedicalConceptProperty","boolean","Laboratory Test Fasting Status"
"Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_36","4324d9f6-f1db-43ca-a733-db04b9eb17df","True","BiomedicalConceptProperty","string","Unit of Catalytic Activity Concentration"
"Biospecimen Type","True","BiomedicalConceptProperty_37","ef4a2c85-9ed4-4432-b29f-7a1e966b3b0d","True","BiomedicalConceptProperty","string","Biospecimen Type"
"Laboratory Test Result","True","BiomedicalConceptProperty_38","98d0f207-9341-4528-8296-252b65f94b8e","True","BiomedicalConceptProperty","string","Laboratory Test Result"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_39","bbfa8b99-5732-4057-9fc5-ab25c703b122","True","BiomedicalConceptProperty","boolean","Laboratory Test Fasting Status"
"Unit of Concentration","True","BiomedicalConceptProperty_40","25dbfd1d-f559-4ade-a93c-619e2ede77bf","True","BiomedicalConceptProperty","string","Unit of Concentration"
"Biospecimen Type","True","BiomedicalConceptProperty_41","490e7ed1-b6fe-44ea-adf4-2f1028f96056","True","BiomedicalConceptProperty","string","Biospecimen Type"
