"sectionNumber","id","uuid:ID","sectionTitle","instanceType","text","name"
"0","NarrativeContent_1","102668a9-5782-4379-975f-551ecbe91728","Root","NarrativeContent","","ROOT"
"0","NarrativeContent_2","b07a4e91-0eb1-4387-832b-5956514f49fa","TITLE PAGE","NarrativeContent","<div><usdm:section name=""M11-title-page""></div>","SECTION 0"
"1","NarrativeContent_3","ada310fb-8b1b-4120-a73a-6059d5c8c89a","PROTOCOL SUMMARY","NarrativeContent","<div></div>","SECTION 1"
"1.1","NarrativeContent_4","7067dd9f-a45f-4593-8659-2c2b5ec3c444","Protocol Synopsis","NarrativeContent","<div></div>","SECTION 1.1"
"1.2","NarrativeContent_5","ae76a425-add7-4d1a-8747-00b67dae45c0","Trial Schema","NarrativeContent","<div></div>","SECTION 1.2"
"1.3","NarrativeContent_6","842a51c3-eb26-4515-a58a-e16fd0cd6fb5","Schedule of Activities","NarrativeContent","<div></div>","SECTION 1.3"
"2","NarrativeContent_7","f82efdb3-aa45-4c55-84fb-6d9ba850cf6a","INTRODUCTION","NarrativeContent","<div></div>","SECTION 2"
"2.1","NarrativeContent_8","5451ca06-41f1-4f40-898e-e41f6e339710","Purpose of Trial","NarrativeContent","<div></div>","SECTION 2.1"
"2.2","NarrativeContent_9","2f772621-14e9-455d-b7c9-c49869456835","Summary of Benefits and Risks","NarrativeContent","<div></div>","SECTION 2.2"
"3","NarrativeContent_10","22d65e87-fcb7-4e73-9ebe-f08885e8ec63","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent","<div></div>","SECTION 3"
"3.1","NarrativeContent_11","5823f372-b4b9-4b46-bfee-4ce600dba5d0","Primary Objectives","NarrativeContent","<div><usdm:section name=""M11-objective-endpoints""></div>","SECTION 3.1"
"4","NarrativeContent_12","8f34def8-dfb4-45fc-bad9-bc4eadf950a0","TRIAL DESIGN","NarrativeContent","<div></div>","SECTION 4"
"4.1","NarrativeContent_13","4fa4548f-4265-4fad-b359-aa9cc5bf4e80","Description of Trial Design","NarrativeContent","<div></div>","SECTION 4.1"
"4.1.1","NarrativeContent_14","3a0e8b1b-7bea-4714-8134-8507a7a0b3c9","Participant Input into Design","NarrativeContent","<div></div>","SECTION 4.1.1"
"4.2","NarrativeContent_15","7be49744-3fae-4d27-99c9-e9895ec97418","Rationale for Trial Design","NarrativeContent","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","SECTION 4.2"
"4.2.1","NarrativeContent_16","0fd5e7a8-3534-45d1-9361-20b2ee7a79b9","Rationale for Comparator","NarrativeContent","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","SECTION 4.2.1"
"4.2.2","NarrativeContent_17","527bd9f4-a05b-48c9-8ce2-59042c6fa420","Rationale for Adaptive or Novel Trial Design","NarrativeContent","<div></div>","SECTION 4.2.2"
"4.2.3","NarrativeContent_18","2a2debfe-1334-4653-a092-ffc01d599f9f","Other Trial Design Considerations","NarrativeContent","<div></div>","SECTION 4.2.3"
"4.3","NarrativeContent_19","38d58ceb-3c2f-4e18-812c-ee7296f9d76d","Access to Trial Intervention After End of Trial","NarrativeContent","<div></div>","SECTION 4.3"
