"id","uuid:ID","instanceType","text","name"
"TransitionRule_1","4e363aa2-f847-4acf-8cf0-2d2add8087ee","TransitionRule","Subject identifier","ENCOUNTER_START_RULE_1"
"TransitionRule_2","b3402a2a-dc30-46ac-872c-108802475ea0","TransitionRule","completion of screening activities","ENCOUNTER_START_RULE_1"
"TransitionRule_3","849caf99-98ed-461d-ac57-283865abb467","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2"
"TransitionRule_4","4e0449a0-7ab6-4d53-8658-98dd27fb5a1e","TransitionRule","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3"
"TransitionRule_5","40a4301b-cfa1-439f-a48d-cbebdf81b7fa","TransitionRule","Radomized","ENCOUNTER_START_RULE_3"
"TransitionRule_6","1bd64413-ab15-4525-a2fb-899444649754","TransitionRule","End of treatment","ENCOUNTER_START_RULE_12"
"TransitionRule_7","df476ebe-9145-4579-9fec-abb70dacf791","TransitionRule","Informed consent","ELEMENT_START_RULE_1"
"TransitionRule_8","949e654c-6044-40ad-a45e-73778d0bfca3","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1"
"TransitionRule_9","bc7682d7-a00c-4664-9619-1e0f70dadb6d","TransitionRule","Administration of first dose","ELEMENT_START_RULE_2"
"TransitionRule_14","9e8e6d0d-97f5-4fc8-b746-8bd76df5b903","TransitionRule","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7"
"TransitionRule_15","17d44d01-7a50-4b48-bfff-039672667ec9","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7"
"TransitionRule_10","9066925c-c1ba-4f91-bbf9-e1e4e74da1ac","TransitionRule","Administration of first dose","ELEMENT_START_RULE_3"
"TransitionRule_11","35b8e88a-34c1-4d06-b8b1-3df0aeacc83c","TransitionRule","Randomized","ELEMENT_START_RULE_4"
"TransitionRule_12","4f14940b-3361-4368-bdb6-9ee231b5ad4d","TransitionRule","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5"
"TransitionRule_13","5aeaccbc-8190-4d37-8a17-3d8b780bbec1","TransitionRule","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6"
