"text","instanceType","id","name","uuid:ID"
"Subject identifier","TransitionRule","TransitionRule_1","ENCOUNTER_START_RULE_1","7dabbb83-8837-4d1c-9a96-8daa68db9f8c"
"completion of screening activities","TransitionRule","TransitionRule_2","ENCOUNTER_START_RULE_1","5d0d0445-69f0-471c-b43a-3e0230ec579a"
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","TransitionRule_3","ENCOUNTER_START_RULE_2","4e79d30a-9b7b-4160-8bf0-14f318e2fe12"
"subject has connection of ambulatory ECG machine removed","TransitionRule","TransitionRule_4","ENCOUNTER_START_RULE_3","64c408b9-2fba-46d1-a227-4fdc6e345b2d"
"Radomized","TransitionRule","TransitionRule_5","ENCOUNTER_START_RULE_3","f8479551-df55-4bd8-928a-59f823606e3b"
"End of treatment","TransitionRule","TransitionRule_6","ENCOUNTER_START_RULE_12","ec6fa7c9-c697-48fd-982f-a95a0467feba"
"Informed consent","TransitionRule","TransitionRule_7","ELEMENT_START_RULE_1","452dc495-8fde-4f06-9935-3b04e9a2390c"
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","TransitionRule_8","ELEMENT_END_RULE_1","3ad91bc3-b616-4aad-b1f4-637a9c108fbc"
"Administration of first dose","TransitionRule","TransitionRule_9","ELEMENT_START_RULE_2","d200309f-5d6a-4a9b-9534-33efe5a2d80e"
"End of last scheduled visit on study (including early termination)","TransitionRule","TransitionRule_14","ELEMENT_START_RULE_7","f7d0b3b6-f0c2-4099-8ea7-ac39402d4b21"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","TransitionRule_15","ELEMENT_END_RULE_7","45e2a7cd-93db-4e99-8d41-ee92d1854577"
"Administration of first dose","TransitionRule","TransitionRule_10","ELEMENT_START_RULE_3","be87fa3b-8e5c-4ef8-b7b0-a3e2a377b347"
"Randomized","TransitionRule","TransitionRule_11","ELEMENT_START_RULE_4","7703d5ca-6c98-4789-be53-9ad411189dc5"
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule","TransitionRule_12","ELEMENT_START_RULE_5","2da2d170-b260-40a9-b8bf-8a8fe6554ebc"
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule","TransitionRule_13","ELEMENT_START_RULE_6","5e8235f8-38cc-4646-b976-3793fd18ac41"
