"instanceType","description","id","label","name","uuid:ID"
"Encounter","Screening encounter","Encounter_1","Screening 1","E1","577e9ce8-d283-473a-adda-dc62749b4656"
"Encounter","Screening encounter - Ambulatory ECG Placement","Encounter_2","Screening 2","E2","435c0e24-091c-40b6-8a25-cd3cb4c6fc49"
"Encounter","Baseline encounter - Ambulatory ECG Removal","Encounter_3","Baseline","E3","1a34ca3f-f968-4113-81dd-7e5b4a991bc0"
"Encounter","Day 14","Encounter_4","Week 2","E4","b20c7a50-8a98-43dd-936e-e699e332413e"
"Encounter","Day 28","Encounter_5","Week 4","E5","f3b09cff-95dd-4eec-a869-3d42d857deb0"
"Encounter","Day 42","Encounter_6","Week 6","E7","a077d8cd-06fc-4d62-b2a8-9575cc31b7ef"
"Encounter","Day 56","Encounter_7","Week 8","E8","f7459d94-cf9f-467a-9cf7-d042438bb538"
"Encounter","Day 84","Encounter_8","Week 12","E9","04ec08f1-de31-452c-8743-06dfbf338699"
"Encounter","Day 112","Encounter_9","Week 16","E10","b887e237-2088-4560-b6fe-0bc67cbe77a0"
"Encounter","Day 140","Encounter_10","Week 20","E11","96a165d2-a034-4934-823b-709d59d7e66e"
"Encounter","Day 168","Encounter_11","Week 24","E12","3ab4c19b-285b-4f34-9127-215ec0a2dc20"
"Encounter","Day 182","Encounter_12","Week 26","E13","5d86bb78-b26c-444a-8dc5-155b9a7806f0"
