"instanceType","description","id","label","name","uuid:ID"
"Activity","","Activity_1","","Informed consent","a7b76b2e-9474-4e1a-aa02-6bce05108d11"
"Activity","","Activity_2","","Inclusion/exclusion criteria","0180f78f-d52d-4fe8-8dca-c27e424f7485"
"Activity","","Activity_3","","Patient number assigned","9fa9d1f9-e95c-46c6-8c46-7cabd2b35f71"
"Activity","","Activity_4","Demographics","Demographics","b8ca5595-a24d-4363-a81a-229485cf5117"
"Activity","","Activity_5","Hachinski","Hachinski","210f6e97-a3b8-4a95-832d-bef959ee0856"
"Activity","","Activity_6","MMSE","MMSE","283c35da-e161-47bc-9d7e-f8273408cb07"
"Activity","","Activity_7","","Physical examination","3095f6b2-f65f-4bb7-a537-30973732a1e4"
"Activity","","Activity_8","","Medical history","e1b06f02-5aa6-4797-be2f-968cb3fdd3c6"
"Activity","","Activity_9","","Habits","74d2753b-b014-449f-a62c-706e9454169e"
"Activity","","Activity_10","","Chest X-ray","e6b35e3b-ea9e-408f-95a7-ad37e65f471c"
"Activity","","Activity_11","","Apo E genotyping","3d51a85a-b6ff-4c03-b35f-6712a6f48797"
"Activity","","Activity_12","","Patient randomised","b176f7ff-3f81-4ef1-b55c-82d15c1067fc"
"Activity","","Activity_13","Vital Signs and Temperature","Vital signs / Temperature","670a58ad-f29f-4ff2-afc0-98b0daeae069"
"Activity","","Activity_14","","Ambulatory ECG placed","c617c887-1073-4bc4-8e10-e8fa9cd3cea1"
"Activity","","Activity_15","","Ambulatory ECG removed","744069ed-9092-4f38-9d2e-ae950e4da03d"
"Activity","","Activity_16","","ECG","3d9bcf91-8a6f-422c-bcb5-a640bb4d01c6"
"Activity","","Activity_17","","Placebo TTS test","c5eed5c2-1fa9-4f47-8021-29eaf18cc160"
"Activity","","Activity_18","","CT scan","1235fb30-07c5-4b71-98a0-39ec77061c81"
"Activity","","Activity_19","","Concomitant medications","afe67c6c-6355-4a97-a194-6b2ad9aeb5e4"
"Activity","","Activity_20","","Hematology","5f2068c3-01ef-44e8-916c-3aa3a69f3516"
"Activity","","Activity_21","","Chemistry","bd45f451-34e8-4315-b8ad-5e80d0f97714"
"Activity","","Activity_22","","Uninalysis","62129795-3ccf-42cb-b980-3c7a03c76ec2"
"Activity","","Activity_23","","Plasma Specimen (Xanomeline)","823834e0-bff8-4530-a063-e51686af92db"
"Activity","","Activity_24","","Hemoglobin A1C","effd7088-09dc-4ea5-8008-991e00eda664"
"Activity","","Activity_25","Study drug record , Medications dispensed, Medications returned","Study drug","63912c36-440c-46e2-9578-2c634875c135"
"Activity","","Activity_26","","TTS Acceptability Survey","ae346f88-c159-4b6e-b716-f6498219d308"
"Activity","","Activity_27","","ADAS-Cog","22ac4dee-0984-4d38-a5af-44a376bae950"
"Activity","","Activity_28","","CIBIC+","8d05ac0a-a9ee-4551-9f70-699dad42b457"
"Activity","","Activity_29","","DAD","49951a01-640a-4f0b-b11b-4d59bcc31ab1"
"Activity","","Activity_30","","NPI-X","d5b693f0-50ce-4a90-b1f1-200cbf618a88"
"Activity","","Activity_31","","Adverse events","9bc9b22d-9774-4b1f-8e67-b187a4366aa4"
"Activity","","Activity_32","","Check adverse events","942cf9d7-6aa5-4f27-bc11-1fabe544372a"
"Activity","","Activity_33","Subject supine","Supine","e09498bd-b7bf-4926-addc-c814496f1b3d"
"Activity","","Activity_34","Vital signs while supine","Vital Signs Supine","4849a508-59e1-4f5e-95c5-c88fb138ca32"
"Activity","","Activity_35","Subject Standing","Stand","d1fd730b-7ed1-4636-803c-e76c3cff4799"
"Activity","","Activity_36","Vital signs while standing","Vital Signs Standing","aa34ff39-7089-47ef-8baf-cac6c8215cf5"
