"sectionNumber","text","instanceType","id","sectionTitle","name","uuid:ID"
"0","","NarrativeContent","NarrativeContent_1","Root","ROOT","67710c8c-eb51-444e-91f2-9f869020b90c"
"0","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent","NarrativeContent_2","TITLE PAGE","SECTION 0","0d4fd6ac-a256-4ced-b9a2-15e1e323a7ac"
"1","<div></div>","NarrativeContent","NarrativeContent_3","PROTOCOL SUMMARY","SECTION 1","4c3997fb-a9c1-40cd-be1f-f263f99e5511"
"1.1","<div></div>","NarrativeContent","NarrativeContent_4","Protocol Synopsis","SECTION 1.1","1b413454-6c07-44f3-864d-8e4c3e05079c"
"1.2","<div></div>","NarrativeContent","NarrativeContent_5","Trial Schema","SECTION 1.2","4fb328d2-1288-496b-ac19-ee94d31b9a50"
"1.3","<div></div>","NarrativeContent","NarrativeContent_6","Schedule of Activities","SECTION 1.3","15dd1922-0a6c-4eb9-94b1-d4888d7ae02a"
"2","<div></div>","NarrativeContent","NarrativeContent_7","INTRODUCTION","SECTION 2","a257b9b8-61ff-4a1e-8f33-4eb0ce190dc2"
"2.1","<div></div>","NarrativeContent","NarrativeContent_8","Purpose of Trial","SECTION 2.1","05ab8828-99fe-4558-acc8-21f7211d9404"
"2.2","<div></div>","NarrativeContent","NarrativeContent_9","Summary of Benefits and Risks","SECTION 2.2","4572f33e-f87f-4787-9d61-a20edca527d8"
"3","<div></div>","NarrativeContent","NarrativeContent_10","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","030bc8cd-e79a-4cb6-97bc-0c0a1208fcc5"
"3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent","NarrativeContent_11","Primary Objectives","SECTION 3.1","7148e901-9043-4745-a534-f378845c4a27"
"4","<div></div>","NarrativeContent","NarrativeContent_12","TRIAL DESIGN","SECTION 4","6b9f6773-9266-403b-bed8-312cb5ccdf92"
"4.1","<div></div>","NarrativeContent","NarrativeContent_13","Description of Trial Design","SECTION 4.1","a069b206-ba6c-4a6f-9f43-b8fbdbe17f39"
"4.1.1","<div></div>","NarrativeContent","NarrativeContent_14","Participant Input into Design","SECTION 4.1.1","7d4183c6-0291-496a-a0f2-757d2cb70b48"
