"label","id","uuid:ID","name","description","instanceType"
"Screening 1","Encounter_1","6e4ef59a-61ff-4b32-a024-4e555096fe42","E1","Screening encounter","Encounter"
"Screening 2","Encounter_2","aa79e097-a163-4ee2-b41d-e41d058164ae","E2","Screening encounter - Ambulatory ECG Placement","Encounter"
"Baseline","Encounter_3","cb0ab68c-2605-4f73-ae4e-3d2ffb9c34c4","E3","Baseline encounter - Ambulatory ECG Removal","Encounter"
"Week 2","Encounter_4","52ba130b-e4cb-4c28-a2d8-899061299f02","E4","Day 14","Encounter"
"Week 4","Encounter_5","3d1e1fdd-1068-4032-8ceb-ffcc918f8324","E5","Day 28","Encounter"
"Week 6","Encounter_6","aae9a4d4-0af4-4a4e-9eeb-0ec078202559","E7","Day 42","Encounter"
"Week 8","Encounter_7","ad27af34-67a4-4768-b8a1-847b389f201b","E8","Day 56","Encounter"
"Week 12","Encounter_8","9d01b160-89f5-4d8f-add4-b2372e3d0985","E9","Day 84","Encounter"
"Week 16","Encounter_9","9c7f0a05-719f-41c6-9bbf-859d4da5aaaf","E10","Day 112","Encounter"
"Week 20","Encounter_10","127c279f-92a4-4df9-854d-e6cb16414c6d","E11","Day 140","Encounter"
"Week 24","Encounter_11","14bcbbeb-f997-4a54-87bc-adbb5cf46810","E12","Day 168","Encounter"
"Week 26","Encounter_12","5df6d226-0d0a-456b-8e85-64320fdb94ad","E13","Day 182","Encounter"
