"id","uuid:ID","name","instanceType","text"
"TransitionRule_1","18bafcbb-297e-4fdc-8fc3-1679f656537e","ENCOUNTER_START_RULE_1","TransitionRule","Subject identifier"
"TransitionRule_2","7d9c74ac-c72b-4730-b356-26ceb7eaf968","ENCOUNTER_START_RULE_1","TransitionRule","completion of screening activities"
"TransitionRule_3","15d9fbc1-bd17-4ee4-b4b5-106d336b8b9a","ENCOUNTER_START_RULE_2","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","e5faf17e-2b37-4c4d-a40f-4136ba554840","ENCOUNTER_START_RULE_3","TransitionRule","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","7d792762-0c01-436d-82c4-b5eda2380583","ENCOUNTER_START_RULE_3","TransitionRule","Radomized"
"TransitionRule_6","dac93da6-e13f-422f-9235-7900cbd1b2ef","ENCOUNTER_START_RULE_12","TransitionRule","End of treatment"
"TransitionRule_7","07134ca0-57de-4ad8-9d78-0bd1fe209853","ELEMENT_START_RULE_1","TransitionRule","Informed consent"
"TransitionRule_8","1d723642-b424-4bb9-a1de-9f7d287ae4d9","ELEMENT_END_RULE_1","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","8af1320d-0bea-4d2c-beeb-e7c29787ad0d","ELEMENT_START_RULE_2","TransitionRule","Administration of first dose"
"TransitionRule_14","721705b7-953a-429a-8a8f-ed4b9e454053","ELEMENT_START_RULE_7","TransitionRule","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","84ee2b54-3ccc-48d5-bf41-43ed0e5a359b","ELEMENT_END_RULE_7","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","25e984b9-9fda-4bfa-b59b-5c76839487f4","ELEMENT_START_RULE_3","TransitionRule","Administration of first dose"
"TransitionRule_11","616dfacb-abc0-4ad7-928d-a2ba128ef44a","ELEMENT_START_RULE_4","TransitionRule","Randomized"
"TransitionRule_12","b2bbaefe-7937-4a9f-9539-ab64f385d20b","ELEMENT_START_RULE_5","TransitionRule","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","824dbad7-0c19-49b3-8bc4-fa6394a1814e","ELEMENT_START_RULE_6","TransitionRule","Administration of first dose (from patches supplied at Visit 12)"
