"synonyms","label","id","reference","uuid:ID","name","instanceType"
"['Temperature']","Body Temperature","BiomedicalConcept_20","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","7e77bfdd-0d49-4227-929d-1a2d5c860a06","Body Temperature","BiomedicalConcept"
"['Weight']","Body Weight","BiomedicalConcept_21","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","cd327499-645c-454d-9d4a-813886f62df0","Body Weight","BiomedicalConcept"
"['Height']","Body Height","BiomedicalConcept_22","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","503be3e9-fe81-4fd1-97f6-d05fbe9f1dc8","Body Height","BiomedicalConcept"
"['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_23","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","6a646e66-3658-4e7e-9012-511636486342","Alanine Aminotransferase Measurement","BiomedicalConcept"
"['Albumin']","Albumin Measurement","BiomedicalConcept_24","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","c8467e96-d485-4fc9-ba69-a5f88c501538","Albumin Measurement","BiomedicalConcept"
"['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_25","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","084515b7-7a8f-4ea5-872a-fd777f5bc68c","Alkaline Phosphatase Measurement","BiomedicalConcept"
"['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_26","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","ad486bd8-fe2c-4e5d-ba8e-59a90ed3de0c","Aspartate Aminotransferase Measurement","BiomedicalConcept"
"['Creatinine']","Creatinine Measurement","BiomedicalConcept_27","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","9b4482dc-aa01-4d26-a493-4fcfb50ffd28","Creatinine Measurement","BiomedicalConcept"
"['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_28","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","2eea30be-03d2-4480-86b6-2cb70501e15d","Potassium Measurement","BiomedicalConcept"
"['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_29","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","9c08b6b3-c3c2-4631-9378-4b02c5cd2f27","Sodium Measurement","BiomedicalConcept"
"['Adverse Event Reported Term', 'AETERM']","Adverse Event","BiomedicalConcept_1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","4a28b160-3bc6-4b3b-b41e-a976e58c5c2b","Adverse Event","BiomedicalConcept"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_2","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","f363ec5c-9b0e-4ca1-a9f1-dc772c25c848","Systolic Blood Pressure","BiomedicalConcept"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","0f2713a1-17c1-4fcc-b102-7a94c13302a4","Diastolic Blood Pressure","BiomedicalConcept"
"['Temperature']","Body Temperature","BiomedicalConcept_4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","577293d7-47db-465e-82c6-dd5bab32ce33","Body Temperature","BiomedicalConcept"
"['Weight']","Body Weight","BiomedicalConcept_5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","d41469a9-a53e-4c9d-b82a-07e47ccfa2be","Body Weight","BiomedicalConcept"
"['Height']","Body Height","BiomedicalConcept_6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","93934795-59d7-476b-9c00-5b2c3432c9bd","Body Height","BiomedicalConcept"
"['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","549c6b29-dd0e-4705-97a4-f8c7c3a47072","Alanine Aminotransferase Measurement","BiomedicalConcept"
"['Albumin']","Albumin Measurement","BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","e6ad2bc7-e438-4851-a104-0ef173635233","Albumin Measurement","BiomedicalConcept"
"['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","21741d72-cf5f-4566-9863-826ea2e4083d","Alkaline Phosphatase Measurement","BiomedicalConcept"
"['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","fbea0203-b0c7-4e29-a8d5-755b81ea67ae","Aspartate Aminotransferase Measurement","BiomedicalConcept"
"['Creatinine']","Creatinine Measurement","BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","bf6e3dfe-ee96-4a9a-aae5-d5d8a7595616","Creatinine Measurement","BiomedicalConcept"
"['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_12","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","a1c4281f-3df5-49d3-8747-beb30de2e875","Potassium Measurement","BiomedicalConcept"
"['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_13","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","bdd49b92-7eb9-455c-8f23-3334a981bcb0","Sodium Measurement","BiomedicalConcept"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_14","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","40155fdd-23d9-4083-bf55-a2f2a55b94f3","Systolic Blood Pressure","BiomedicalConcept"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_15","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","127ce9ec-c6a7-405a-be28-97be7eb99db0","Diastolic Blood Pressure","BiomedicalConcept"
"","Heart Rate","BiomedicalConcept_16","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","80c3e3c8-3084-46ad-85f0-fe19d1e535f7","Heart Rate","BiomedicalConcept"
