"id","codeSystemVersion","uuid:ID","decode","code","codeSystem","instanceType"
"Code_1","2023-09-29","f87d18b8-6c8a-4431-9ec9-83d3c8732059","Interventional Study","C98388","http://www.cdisc.org","Code"
"Code_2","2023-09-29","63fb3937-367f-4346-a339-4ba4111d5cea","Phase II Trial","C15601","http://www.cdisc.org","Code"
"Code_9","2023-09-29","f016a0cf-4e3c-4fbd-8553-bbcf357de9c3","Sponsor Approval Date","C132352","http://www.cdisc.org","Code"
"Code_10","2023-09-29","05c38faf-35e3-48f0-81c0-f03f781e8250","Global","C68846","http://www.cdisc.org","Code"
"Code_72","2023-09-29","2815e0af-c216-4229-98cf-37e3c204a123","IRB/IEC Feedback","C99904x3","http://www.cdisc.org","Code"
"Code_73","2023-09-29","d0546b2b-64b9-4947-a3a4-44b20a37b9da","Other","C17649","http://www.cdisc.org","Code"
"Code_75","2023-09-29","6be64183-d340-4d95-aa91-a25d05698d6a","Region","C41129","http://www.cdisc.org","Code"
"Code_74","2020-08","03b9d12f-b716-4ced-8e47-0d9b41611f63","Europe","150","ISO 3166 1 alpha3","Code"
"Code_4","12","ffe73946-7fe5-4736-9b30-2228409c2ace","Eli Lilly","PHARMA","SPONSOR","Code"
"Code_76","2023-09-29","4a9bf9c7-7f63-4547-ba2d-2b6d5893572d","Clinical Study Sponsor","C70793","http://www.cdisc.org","Code"
"Code_77","2020-08","6937a4b5-4777-45be-a243-d19f70bd6992","Denmark","DNK","ISO 3166 1 alpha3","Code"
"Code_78","2023-09-29","8cc1588a-3312-41aa-a045-e0f82153b7fe","Study Registry","C93453","http://www.cdisc.org","Code"
"Code_136","2023-09-29","160d4da5-a616-44ac-8e27-e2f5e401ca0d","Treatment Study","C49656","http://www.cdisc.org","Code"
"Code_137","2023-09-29","aab5de8a-a4e7-44ed-bfa5-5dcff457bb34","Efficacy Study","C49666","http://www.cdisc.org","Code"
"Code_138","2023-09-29","67b1831b-8592-4517-8ae2-ca624e3eebc1","Safety Study","C49667","http://www.cdisc.org","Code"
"Code_139","2023-09-29","844b5abf-67c7-479a-a6e7-7ba43fba057f","Pharmacokinetic Study","C49663","http://www.cdisc.org","Code"
"Code_133","12","d5ddc161-e805-49f9-9106-3e05aa465e63","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ","SPONSOR","Code"
"Code_134","January 31, 2018","85828dc7-45a9-475f-aef8-b4059abb006b","Alzheimer's disease","26929004","SNOMED","Code"
"Code_142","2023-09-29","954a3eec-abf8-44da-be1a-7c60d03853d5","EXTENSION","C99907x1","http://www.cdisc.org","Code"
"Code_143","2023-09-29","14b34bb0-4d92-467d-85c6-6af29f8fd83a","ADAPTIVE","C98704","http://www.cdisc.org","Code"
"Code_140","2023-09-29","4dc7a41b-40d7-4701-ab0c-00707bb924ed","Parallel Study","C82639","http://www.cdisc.org","Code"
"Code_82","2023-09-29","80b21d44-bc80-4e99-82cd-d7631fc6bffd","Visit","C25716","http://www.cdisc.org","Code"
"Code_83","2023-09-29","deb67a44-e559-458d-b063-139a72486c71","Clinic","C51282","http://www.cdisc.org","Code"
"Code_84","2023-09-29","c33330a5-c704-4d45-9748-eb3d4c17a2ee","In Person","C175574","http://www.cdisc.org","Code"
"Code_85","2023-09-29","0a421fc0-3fd9-4423-819e-ad78640e6a0e","Visit","C25716","http://www.cdisc.org","Code"
"Code_86","2023-09-29","d78c777c-f04b-488a-bb76-e99c70c171be","Clinic","C51282","http://www.cdisc.org","Code"
"Code_87","2023-09-29","da6026e1-c1ce-4f5b-bae8-5ad06f56de69","In Person","C175574","http://www.cdisc.org","Code"
"Code_88","2023-09-29","12e70211-dd2b-4d16-9a01-a9d78e199895","Visit","C25716","http://www.cdisc.org","Code"
"Code_89","2023-09-29","b1536e1c-a2da-4da5-9340-4f0160f860b6","Clinic","C51282","http://www.cdisc.org","Code"
