"label","id","uuid:ID","value","window","name","description","windowUpper","instanceType","windowLower"
"Screening","Timing_1","c3128f0a-3969-4af9-827a-a383cb50853d","P2W","","TIM1","Screening timing","","Timing",""
"Pre dose","Timing_2","6a660a1e-b7aa-4fc9-b1f0-327106ee074c","P2D","-4..0 hours","TIM2","Pre dose timing","PT0H","Timing","PT4H"
"Dosing","Timing_3","f42c9a72-bde4-4f02-ae78-42c12bc348bf","P1D","","TIM3","Dosing anchor","","Timing",""
"Week 2","Timing_4","30ab42d9-1c01-42a8-9307-3f579c2a8cdc","P2W","-3..3 days","TIM4","Week 2 timing","P3D","Timing","P3D"
"Week 4","Timing_5","d0a964e0-7ff0-4c09-b2a9-c5d368e601e2","P4W","-3..3 days","TIM5","Week 4 timing","P3D","Timing","P3D"
"Week 6","Timing_6","5ad13c23-5c9e-4161-88b5-4193d7d82fd9","P6W","-3..3 days","TIM6","Week 6 timing","P3D","Timing","P3D"
"Week 8","Timing_7","9c79b833-c99a-47d7-bea4-7b7fab939371","P8W","-3..3 days","TIM7","Week 8 timing","P3D","Timing","P3D"
"Week 12","Timing_9","a8c1e328-1f8f-4c3d-8950-3bf9dda393e7","P12W","-4..4 days","TIM9","Week 12 timing","P4D","Timing","P4D"
"Week 16","Timing_11","c8d24619-9d54-470a-8585-dc8b1823293b","P16W","-4..4 days","TIM11","Week 16 timing","P4D","Timing","P4D"
"Week 20","Timing_13","36b4158a-cbfc-48d5-89e4-4b42f2b55884","P20W","-4..4 days","TIM13","Week 20 timing","P4D","Timing","P4D"
"Week 24","Timing_15","5102bfc5-d335-41c6-82d8-58192add1bf2","P24W","-4..4 days","TIM15","Week 24 timing","P4D","Timing","P4D"
"Week 26","Timing_16","01b5588c-6a97-4f7c-8223-fc3e4eb39bb1","P26W","-3..3 days","TIM16","Week 26 timing","P3D","Timing","P3D"
"Week 8 Home","Timing_8","59d91d4f-67da-4cbd-9d9f-7d15ee69cb96","P2W","","TIM8","Week 8 at home timing","","Timing",""
"Week 12 Home","Timing_10","57d62243-a3ab-4226-8502-f28513d23b4e","P2W","","TIM10","Week 12 at home timing","","Timing",""
"Week 16 Home","Timing_12","143fa4b3-f1c2-47ea-858a-90122d94cb13","P2W","","TIM12","Week 16 at home timing","","Timing",""
"Week 20 Home","Timing_14","06bb7191-b406-43ec-93db-8aed21ed39e5","P2W","","TIM14","Week 20 at home timing","","Timing",""
"Adverse Event","Timing_17","7d166301-a747-4e3c-83e6-04b02f32561a","P1D","","TIM17","Adverse Event","","Timing",""
"Early Termination","Timing_18","56daa13d-7272-484d-bf32-0c7bc3ab8751","P1D","","TIM18","Early Termination","","Timing",""
"Supine","Timing_19","faf04f0a-60ed-4d44-916c-f34a92422783","PT0M","","TIM19","Supine","","Timing",""
"VS while supine","Timing_20","1a8d2813-bdb4-44b1-9b95-19116d7b1071","PT5M","","TIM20","VS while supine","","Timing",""
"Standing","Timing_21","6530010e-681c-49d3-8c8c-8a545f2949c8","PT0M","","TIM21","Standing","","Timing",""
"VS while standing","Timing_22","3896ea4f-20f8-45d4-86b3-19deaf3ab63f","PT1M","","TIM22","VS while standing","","Timing",""
"Standing","Timing_23","57455b8a-2c88-439b-a42d-f4080afddba8","PT0M","","TIM23","Standing","","Timing",""
"VS while standing","Timing_24","2fa0c071-a3a0-4e09-ad91-99479ed7e9fe","PT2M","","TIM24","VS while standing","","Timing",""
