"id","uuid:ID","sectionNumber","name","sectionTitle","instanceType","text"
"NarrativeContent_1","5d66482d-f6b7-4a87-99f8-ee63606233ac","0","ROOT","Root","NarrativeContent",""
"NarrativeContent_2","96b5d8d3-1736-46d6-837d-49b9661299c9","0","SECTION 0","TITLE PAGE","NarrativeContent","<div><usdm:section name=""M11-title-page""></div>"
"NarrativeContent_3","c696bc03-a88b-4660-8f94-a3145ff17c03","1","SECTION 1","PROTOCOL SUMMARY","NarrativeContent","<div></div>"
"NarrativeContent_4","1d01a56e-0046-4b2b-bed2-c7f9112ae804","1.1","SECTION 1.1","Protocol Synopsis","NarrativeContent","<div></div>"
"NarrativeContent_5","395d13cd-6c76-4c4c-b579-9a308c4a0414","1.2","SECTION 1.2","Trial Schema","NarrativeContent","<div></div>"
"NarrativeContent_6","7117e427-4bd2-44ec-b0a0-a3058a44f4f7","1.3","SECTION 1.3","Schedule of Activities","NarrativeContent","<div></div>"
"NarrativeContent_7","1a223663-94ef-47fe-b20f-29ae3580f09d","2","SECTION 2","INTRODUCTION","NarrativeContent","<div></div>"
"NarrativeContent_8","5a95152c-e359-4ec4-8beb-ab8d75a702f5","2.1","SECTION 2.1","Purpose of Trial","NarrativeContent","<div></div>"
"NarrativeContent_9","8bd37561-0f81-40fc-89ed-a7e8691c97df","2.2","SECTION 2.2","Summary of Benefits and Risks","NarrativeContent","<div></div>"
"NarrativeContent_10","7351958b-43b4-4d8b-9e3f-5ddc0d06382b","3","SECTION 3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent","<div></div>"
"NarrativeContent_11","2ac3abdc-6612-411c-a76c-74ae2da3ef7a","3.1","SECTION 3.1","Primary Objectives","NarrativeContent","<div><usdm:section name=""M11-objective-endpoints""></div>"
"NarrativeContent_12","51063678-20c1-48c8-a542-3f8ec16a5e60","4","SECTION 4","TRIAL DESIGN","NarrativeContent","<div></div>"
"NarrativeContent_13","860ab7e9-51fe-4be5-8af3-df237a1b6cee","4.1","SECTION 4.1","Description of Trial Design","NarrativeContent","<div></div>"
"NarrativeContent_14","8eca3ece-fe45-44ea-be7a-77359ff01bf4","4.1.1","SECTION 4.1.1","Participant Input into Design","NarrativeContent","<div></div>"
"NarrativeContent_15","aab74b7e-f44e-4f36-ac97-edd2c0f392f6","4.2","SECTION 4.2","Rationale for Trial Design","NarrativeContent","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>"
"NarrativeContent_16","da1df601-2c74-4801-8d80-05864d503195","4.2.1","SECTION 4.2.1","Rationale for Comparator","NarrativeContent","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>"
"NarrativeContent_17","a1999113-ef10-432e-a255-46e67e9efe9c","4.2.2","SECTION 4.2.2","Rationale for Adaptive or Novel Trial Design","NarrativeContent","<div></div>"
"NarrativeContent_18","55e72bf0-4e11-40ba-ae45-0360ebf0bd42","4.2.3","SECTION 4.2.3","Other Trial Design Considerations","NarrativeContent","<div></div>"
"NarrativeContent_19","120cbd59-9927-4d75-90e7-68ff8a1ae2d1","4.3","SECTION 4.3","Access to Trial Intervention After End of Trial","NarrativeContent","<div></div>"
"NarrativeContent_20","27b6921e-c3a3-4191-9e29-372a044321be","4.4","SECTION 4.4","Start of Trial and End of Trial","NarrativeContent","<div></div>"
"NarrativeContent_21","42f50301-1949-473f-9e60-edc0eaa24f13","5","SECTION 5","TRIAL POPULATION","NarrativeContent","<div></div>"
"NarrativeContent_22","a60473bb-3294-42ab-902e-45323d595c37","5.1","SECTION 5.1","Selection of Trial Population","NarrativeContent","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>"
"NarrativeContent_23","7037d85f-24b7-44bb-b3cf-7a793e0c6a63","5.2","SECTION 5.2","Rationale for Trial Population","NarrativeContent","<div></div>"
"NarrativeContent_24","7de2d305-e0ae-4a0c-b47a-d568083a23f2","5.3","SECTION 5.3","Inclusion Criteria","NarrativeContent","<div><usdm:section name=""M11-inclusion""></div>"
"NarrativeContent_25","47f751ff-205b-4594-83fa-5b72228f56ee","5.4","SECTION 5.4","Exclusion Criteria","NarrativeContent","<div><usdm:section name=""M11-exclusion""></div>"
"NarrativeContent_26","49f09e5b-a394-43ce-ab65-6b44b59fb8f5","5.5","SECTION 5.5","Lifestyle Considerations","NarrativeContent","<div></div>"
"NarrativeContent_27","bf7105f3-8f04-4764-9ef8-49a51819c741","5.5.1","SECTION 5.5.1","Meals and Dietary Restrictions","NarrativeContent","<div></div>"
"NarrativeContent_28","04b00700-8225-4af8-a52a-44b8b54eaf0e","5.5.2","SECTION 5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent","<div><p>Not applicable</p></div>"
"NarrativeContent_29","bc549c30-17db-4f36-8967-3abec13960cb","5.5.3","SECTION 5.5.3","Physical Activity","NarrativeContent","<div></div>"
"NarrativeContent_30","97ca459b-4c9f-4fca-9667-7f2410e71b9a","5.5.4","SECTION 5.5.4","Other Activity","NarrativeContent","<div></div>"
"NarrativeContent_31","605c2112-7b8f-47b0-b9e7-70f9edbd1568","5.6","SECTION 5.6","Screen Failures","NarrativeContent","<div></div>"
"NarrativeContent_32","603e9d5f-9232-46cf-bb53-2085a018e08e","6","SECTION 6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent","<div></div>"
"NarrativeContent_33","55eb699d-a382-462f-8a36-adbcc51a374e","6.1","SECTION 6.1","Description of Trial Intervention","NarrativeContent","<div></div>"
"NarrativeContent_34","4dc58403-bd6d-4835-823c-d41684675afc","6.2","SECTION 6.2","Rationale for Trial Intervention","NarrativeContent","<div></div>"
"NarrativeContent_35","42c2ebe6-4d35-43a2-8ccd-7b71f55fcf72","6.3","SECTION 6.3","Dosing and Administration","NarrativeContent","<div></div>"
"NarrativeContent_36","300d001e-da4b-4381-93a7-fee3da03df82","6.3.1","SECTION 6.3.1","Trial Intervention Dose Modification","NarrativeContent","<div></div>"
"NarrativeContent_37","b5f3dfbc-8918-45b4-9ab3-c41f29a87a47","6.4","SECTION 6.4","Treatment of Overdose","NarrativeContent","<div></div>"
"NarrativeContent_38","aa249ba0-b666-4bbb-b88f-d919483f3b42","6.5","SECTION 6.5","Preparation, Handling, Storage and Accountability","NarrativeContent","<div></div>"
"NarrativeContent_39","1a898df2-2a89-48ea-9b3d-797d6839821c","6.5.1","SECTION 6.5.1","Preparation of Trial Intervention","NarrativeContent","<div></div>"
"NarrativeContent_40","43cae97a-af74-4488-a314-f8b4eda756ac","6.5.2","SECTION 6.5.2","Handling and Storage of Trial Intervention","NarrativeContent","<div></div>"
"NarrativeContent_41","6ca6c82d-f4db-4157-b728-c8e22223fb7d","6.5.3","SECTION 6.5.3","Accountability of Trial Intervention","NarrativeContent","<div></div>"
"NarrativeContent_42","148e6ca9-849c-4b14-9654-768354d9e731","6.6","SECTION 6.6","Participant Assignment, Randomisation and Blinding","NarrativeContent","<div></div>"
"NarrativeContent_43","fde9198a-5d71-4828-9dbb-2ec14c0f9480","6.6.1","SECTION 6.6.1","Participant Assignment","NarrativeContent","<div></div>"
"NarrativeContent_44","22fddb99-8f11-42ff-bf7b-5b50bd7243c7","6.6.2","SECTION 6.6.2","Randomisation","NarrativeContent","<div></div>"
"NarrativeContent_45","6c5ab283-3d6e-44f1-b362-4dfb0f54303b","6.6.3","SECTION 6.6.3","Blinding and Unblinding","NarrativeContent","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>"
"NarrativeContent_46","b6d9d2ac-ea87-4f9c-b781-15b223c057b8","6.7","SECTION 6.7","Trial Intervention Compliance","NarrativeContent","<div></div>"
"NarrativeContent_47","2735a590-09c3-46e1-8bbb-4a37a2710c72","6.8","SECTION 6.8","Concomitant Therapy","NarrativeContent","<div></div>"
"NarrativeContent_48","654c6cb1-9d95-4ccb-af6c-f6b94d4e4ab6","6.8.1","SECTION 6.8.1","Prohibited Concomitant Therapy","NarrativeContent","<div></div>"
"NarrativeContent_49","58443cdc-a208-44b0-90d8-5b7430bac2b0","6.8.2","SECTION 6.8.2","Permitted Concomitant Therapy","NarrativeContent","<div></div>"
"NarrativeContent_50","e384e109-2389-4cd0-af54-432186e4c156","6.8.3","SECTION 6.8.3","Rescue Therapy","NarrativeContent","<div></div>"
"NarrativeContent_51","21ba8ddf-679e-4e1e-8651-1217ad1c7c13","6.8.4","SECTION 6.8.4","Other Therapy","NarrativeContent","<div></div>"
"NarrativeContent_52","6b11f092-1c43-43a8-b113-a15a840e1acf","7","SECTION 7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","NarrativeContent","<div></div>"
"NarrativeContent_53","22cf7509-eeaa-414a-89ba-c3720fd504e4","7.1","SECTION 7.1","Discontinuation of Trial Intervention","NarrativeContent","<div></div>"
"NarrativeContent_54","2d0450b5-2750-4302-b8a2-a0b8d27ce965","7.1.1","SECTION 7.1.1","Criteria for Permanent Discontinuation of Trial Intervention","NarrativeContent","<div></div>"
"NarrativeContent_55","467b01c6-d169-45e4-9ff7-dff4a094514c","7.1.2","SECTION 7.1.2","Temporary Discontinuation or Interruption of Trial Intervention","NarrativeContent","<div></div>"
"NarrativeContent_56","a770d998-570d-47e5-9b25-9711774b4647","7.1.3","SECTION 7.1.3","Rechallenge","NarrativeContent","<div></div>"
"NarrativeContent_57","e676a2bd-9e3a-44d3-8a3c-697547fda06b","7.2","SECTION 7.2","Participant Withdrawal from the Trial","NarrativeContent","<div></div>"
"NarrativeContent_58","25b72622-7356-4781-ba6a-49a41c2ee6af","7.3","SECTION 7.3","Lost to Follow-Up","NarrativeContent","<div></div>"
"NarrativeContent_59","55b387b1-ad5c-484c-8a96-cdea46df3fef","7.4","SECTION 7.4","Trial Stopping Rules","NarrativeContent","<div></div>"
"NarrativeContent_60","44b9aeae-32ff-47fa-acfd-c539dc355f13","8","SECTION 8","TRIAL ASSESSMENTS AND PROCEDURES","NarrativeContent","<div></div>"
"NarrativeContent_61","d01424ca-081d-45d9-a300-5879bef1f77f","8.1","SECTION 8.1","Screening/Baseline Assessments and Procedures","NarrativeContent","<div></div>"
"NarrativeContent_62","927a8dd5-c266-4808-b392-48abfe17e2a2","8.2","SECTION 8.2","Efficacy Assessments and Procedures","NarrativeContent","<div></div>"
"NarrativeContent_63","e4361cdc-92a9-4d6c-818b-e11932b33301","8.3","SECTION 8.3","Safety Assessments and Procedures","NarrativeContent","<div></div>"
"NarrativeContent_64","f8d091dc-e837-408e-91aa-2546c5abb606","8.3.1","SECTION 8.3.1","Physical Examination","NarrativeContent","<div></div>"
