"id","uuid:ID","windowUpper","description","value","windowLower","instanceType","name","label","window"
"Timing_1","5f703278-92eb-48df-b73d-104aed9a9c15","","Screening timing","P2W","","Timing","TIM1","Screening",""
"Timing_2","8e8711ac-25b7-40f9-b6de-1d514acbb82e","PT0H","Pre dose timing","P2D","PT4H","Timing","TIM2","Pre dose","-4..0 hours"
"Timing_3","7302f4f0-ad15-4179-b19a-6d818f522a8f","","Dosing anchor","P1D","","Timing","TIM3","Dosing",""
"Timing_4","e866c976-acf5-4f98-aff4-3a36c07fe20a","P3D","Week 2 timing","P2W","P3D","Timing","TIM4","Week 2","-3..3 days"
"Timing_5","945aa538-e3a1-490c-8e23-a8887140edbd","P3D","Week 4 timing","P4W","P3D","Timing","TIM5","Week 4","-3..3 days"
"Timing_6","2c99010a-acf3-46a4-9349-15bcbf7bd365","P3D","Week 6 timing","P6W","P3D","Timing","TIM6","Week 6","-3..3 days"
"Timing_7","4c0c6d6a-490c-482d-9f0e-7ae1dd6c8c3d","P3D","Week 8 timing","P8W","P3D","Timing","TIM7","Week 8","-3..3 days"
"Timing_9","e24f400d-2d8b-4141-aedc-cad55bbdb33b","P4D","Week 12 timing","P12W","P4D","Timing","TIM9","Week 12","-4..4 days"
"Timing_11","b0bff984-c349-4c81-9988-aeb8cff32e43","P4D","Week 16 timing","P16W","P4D","Timing","TIM11","Week 16","-4..4 days"
"Timing_13","9da0a0b1-3827-44eb-832e-543364b2118f","P4D","Week 20 timing","P20W","P4D","Timing","TIM13","Week 20","-4..4 days"
"Timing_15","a92cff95-f47f-46ef-bf52-fd1561bcbb99","P4D","Week 24 timing","P24W","P4D","Timing","TIM15","Week 24","-4..4 days"
"Timing_16","045ec42d-1a6a-4151-a20a-b50e6b4ef3b7","P3D","Week 26 timing","P26W","P3D","Timing","TIM16","Week 26","-3..3 days"
"Timing_8","73f3b9f0-6829-42b1-b20c-b71d11af7405","","Week 8 at home timing","P2W","","Timing","TIM8","Week 8 Home",""
"Timing_10","da13d3ab-f9e8-40e6-bce5-540758922d0f","","Week 12 at home timing","P2W","","Timing","TIM10","Week 12 Home",""
"Timing_12","13d11761-d2a8-4cf9-a05c-35f04e56c868","","Week 16 at home timing","P2W","","Timing","TIM12","Week 16 Home",""
"Timing_14","4c262230-3cff-42e8-9939-d639f4b758d6","","Week 20 at home timing","P2W","","Timing","TIM14","Week 20 Home",""
"Timing_17","d28874cf-594a-4932-8f27-23cd1f27f2b8","","Adverse Event","P1D","","Timing","TIM17","Adverse Event",""
"Timing_18","1152bb73-e5b5-41ab-bf72-5d4b9c10bc4e","","Early Termination","P1D","","Timing","TIM18","Early Termination",""
"Timing_19","bdaf83a7-ec96-43a2-98a0-8fdcc1d94714","","Supine","PT0M","","Timing","TIM19","Supine",""
"Timing_20","67e6096b-b2a1-4455-a2b8-7412a237c18b","","VS while supine","PT5M","","Timing","TIM20","VS while supine",""
"Timing_21","decc76ae-adc6-4f4b-a063-5d50919fef20","","Standing","PT0M","","Timing","TIM21","Standing",""
"Timing_22","cecb34e0-3f01-4e52-adfb-9a07721aa7a6","","VS while standing","PT1M","","Timing","TIM22","VS while standing",""
"Timing_23","b060e16b-b821-4c3d-a8b9-9f7724fd3c02","","Standing","PT0M","","Timing","TIM23","Standing",""
"Timing_24","1bfc64ba-e6dc-4631-991e-dbb170aca1c9","","VS while standing","PT2M","","Timing","TIM24","VS while standing",""
