"id","decode","uuid:ID","code","instanceType","codeSystem","codeSystemVersion"
"Code_1","Interventional Study","899b8549-df4d-45c2-b170-39cf83f48cfc","C98388","Code","http://www.cdisc.org","2023-09-29"
"Code_2","Phase II Trial","4dc00ed8-4ee5-4c2f-88b7-27ca2ca91834","C15601","Code","http://www.cdisc.org","2023-09-29"
"Code_9","Sponsor Approval Date","2bf5cf19-6340-485e-ad82-9b88431af35f","C132352","Code","http://www.cdisc.org","2023-09-29"
"Code_10","Global","cfa822bb-4ad0-476e-b165-60612bec9975","C68846","Code","http://www.cdisc.org","2023-09-29"
"Code_72","IRB/IEC Feedback","44d24444-9d3a-4f31-a55c-0ae167594e67","C99904x3","Code","http://www.cdisc.org","2023-09-29"
"Code_73","Other","ea62d984-d4a6-410d-9869-b5708cd1342d","C17649","Code","http://www.cdisc.org","2023-09-29"
"Code_75","Region","940aa50d-bc41-427f-9c1d-e2fb17acc400","C41129","Code","http://www.cdisc.org","2023-09-29"
"Code_74","Europe","62d597fd-9dbe-4ffe-ab62-8e12cbf1bd29","150","Code","ISO 3166 1 alpha3","2020-08"
"Code_4","Eli Lilly","5498710d-d863-4889-a556-639a5321db44","PHARMA","Code","SPONSOR","12"
"Code_76","Clinical Study Sponsor","0721839d-e9f7-490c-ab6a-66ae38f3398f","C70793","Code","http://www.cdisc.org","2023-09-29"
"Code_77","Denmark","5c83e168-3ffc-47b6-a411-4e74a15b3b46","DNK","Code","ISO 3166 1 alpha3","2020-08"
"Code_78","Study Registry","fa1f69ef-62b3-4ded-a9a5-42b09fd91904","C93453","Code","http://www.cdisc.org","2023-09-29"
"Code_136","Treatment Study","cea1d6ba-53ff-49b6-a9ef-57591f2769e6","C49656","Code","http://www.cdisc.org","2023-09-29"
"Code_137","Efficacy Study","882088a3-7c34-4010-81af-b0a35c797167","C49666","Code","http://www.cdisc.org","2023-09-29"
"Code_138","Safety Study","2538ac30-8107-409a-8934-87b373b960e7","C49667","Code","http://www.cdisc.org","2023-09-29"
"Code_139","Pharmacokinetic Study","cb513306-9392-4253-a729-bbd2a72e23fa","C49663","Code","http://www.cdisc.org","2023-09-29"
"Code_133","Mild to Moderate Alzheimer's Disease","0b54b648-93ee-48b3-bc12-e84fe408561f","MILD_MOD_ALZ","Code","SPONSOR","12"
"Code_134","Alzheimer's disease","6878f73d-7694-4b0f-8f54-1a354318d9fa","26929004","Code","SNOMED","January 31, 2018"
"Code_142","EXTENSION","fdb07e9a-9ea5-402e-bbd1-1fa3d110e950","C99907x1","Code","http://www.cdisc.org","2023-09-29"
"Code_143","ADAPTIVE","8cbdac3e-dc78-41bc-aac8-c6cab8204a75","C98704","Code","http://www.cdisc.org","2023-09-29"
"Code_140","Parallel Study","0ef1f2e6-c346-449a-b897-4b9314f66bb1","C82639","Code","http://www.cdisc.org","2023-09-29"
"Code_82","Visit","962d2236-2e82-4e36-9f4b-b6c110628903","C25716","Code","http://www.cdisc.org","2023-09-29"
