"id","name","uuid:ID","isRequired","datatype","instanceType","isEnabled","label"
"BiomedicalConceptProperty_98","Vital Signs Result","87628bc9-a514-489d-a5eb-2610b62e3436","True","decimal","BiomedicalConceptProperty","True","Vital Signs Result"
"BiomedicalConceptProperty_99","Unit of Temperature","4352ab0c-e26f-4f3a-8259-65170dd0a246","True","string","BiomedicalConceptProperty","True","Unit of Temperature"
"BiomedicalConceptProperty_100","Vital Signs Location","7215e60c-732b-4aa9-8e01-b8e4d0a66f6f","True","string","BiomedicalConceptProperty","True","Vital Signs Location"
"BiomedicalConceptProperty_101","Vital Signs Result","166e7c22-1593-4dc5-86cf-72371e9f100e","True","decimal","BiomedicalConceptProperty","True","Vital Signs Result"
"BiomedicalConceptProperty_102","Unit of Weight","b1798094-1d18-4a9e-bd59-1251509b80dc","True","string","BiomedicalConceptProperty","True","Unit of Weight"
"BiomedicalConceptProperty_103","Vital Signs Result","1c1b5650-58b3-411f-aad6-f498a4765f49","True","decimal","BiomedicalConceptProperty","True","Vital Signs Result"
"BiomedicalConceptProperty_104","Unit of Height","cfed9478-4235-48c3-94e7-1178f2a451d1","True","string","BiomedicalConceptProperty","True","Unit of Height"
"BiomedicalConceptProperty_105","Laboratory Test Result","355da265-dbc9-486e-9763-3e0ff86e93eb","True","decimal","BiomedicalConceptProperty","True","Laboratory Test Result"
"BiomedicalConceptProperty_106","Laboratory Test Fasting Status","baa1280e-dc24-4ebc-a8d1-f42e253649d7","True","boolean","BiomedicalConceptProperty","True","Laboratory Test Fasting Status"
"BiomedicalConceptProperty_107","Unit of Catalytic Activity Concentration","42db2129-bc08-4bac-ac12-7a1933938789","True","string","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration"
"BiomedicalConceptProperty_108","Biospecimen Type","2ec15516-9177-497e-8f56-9d604457e7f5","True","string","BiomedicalConceptProperty","True","Biospecimen Type"
"BiomedicalConceptProperty_109","Laboratory Test Result","d83d1af1-3b09-48cb-9610-aa7eb5bf3646","True","string","BiomedicalConceptProperty","True","Laboratory Test Result"
"BiomedicalConceptProperty_110","Laboratory Test Fasting Status","50deecaf-f73f-40ea-960a-9f1f58c1af2b","True","boolean","BiomedicalConceptProperty","True","Laboratory Test Fasting Status"
"BiomedicalConceptProperty_111","Unit of Concentration","d5f497fb-c024-41cb-9522-91c70ce4a934","True","string","BiomedicalConceptProperty","True","Unit of Concentration"
"BiomedicalConceptProperty_112","Biospecimen Type","863017e2-9fbd-4a46-87c6-5ec119bc292a","True","string","BiomedicalConceptProperty","True","Biospecimen Type"
"BiomedicalConceptProperty_113","Laboratory Test Result","e5ce7dcc-4a37-45df-8744-decd47ee5b2c","True","decimal","BiomedicalConceptProperty","True","Laboratory Test Result"
"BiomedicalConceptProperty_114","Laboratory Test Fasting Status","c73351fc-ec0c-458d-a58b-779c905e9bfb","True","boolean","BiomedicalConceptProperty","True","Laboratory Test Fasting Status"
"BiomedicalConceptProperty_115","Unit of Catalytic Activity Concentration","b3105829-db0a-42f3-8a6f-ea2db2595ac5","True","string","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration"
"BiomedicalConceptProperty_116","Biospecimen Type","9be85619-d5db-4171-bad0-40d374735f21","True","string","BiomedicalConceptProperty","True","Biospecimen Type"
