"id","uuid:ID","text","sectionTitle","instanceType","name","sectionNumber"
"NarrativeContent_1","fcbe0be3-d36e-4eda-8555-b28ec066462e","","Root","NarrativeContent","ROOT","0"
"NarrativeContent_2","2d92e0c7-7205-4d23-9325-9c296e3a5124","<div><usdm:section name=""M11-title-page""></div>","TITLE PAGE","NarrativeContent","SECTION 0","0"
"NarrativeContent_3","358dd49b-1637-45f6-bbe8-b6de3af35d5d","<div></div>","PROTOCOL SUMMARY","NarrativeContent","SECTION 1","1"
"NarrativeContent_4","9676540d-c79a-4c11-9685-8170bcca174f","<div></div>","Protocol Synopsis","NarrativeContent","SECTION 1.1","1.1"
"NarrativeContent_5","be1c521e-92b1-4648-9d65-36ea4c27158c","<div></div>","Trial Schema","NarrativeContent","SECTION 1.2","1.2"
"NarrativeContent_6","e6c85c36-7883-4c38-a228-4f28b09af25d","<div></div>","Schedule of Activities","NarrativeContent","SECTION 1.3","1.3"
"NarrativeContent_7","7331212d-e8cb-44b4-a842-74359152cfcd","<div></div>","INTRODUCTION","NarrativeContent","SECTION 2","2"
"NarrativeContent_8","bf5243fc-f6fa-4e6e-8ad0-8cd63aad3642","<div></div>","Purpose of Trial","NarrativeContent","SECTION 2.1","2.1"
"NarrativeContent_9","4dfbb8a0-0319-44cb-8f34-b9f329c7c310","<div></div>","Summary of Benefits and Risks","NarrativeContent","SECTION 2.2","2.2"
"NarrativeContent_10","9fe03447-93a1-4a58-b06e-192156e4f065","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent","SECTION 3","3"
"NarrativeContent_11","cf9825a1-136c-4ecf-babd-9cf5bc8bb110","<div><usdm:section name=""M11-objective-endpoints""></div>","Primary Objectives","NarrativeContent","SECTION 3.1","3.1"
"NarrativeContent_12","d7eabdfd-626c-492a-af82-a72ccfd8678e","<div></div>","TRIAL DESIGN","NarrativeContent","SECTION 4","4"
