"id","uuid:ID","description","instanceType","name","label"
"Encounter_1","20b6e61f-3569-4d3d-b3b7-7134fd6fdda7","Screening encounter","Encounter","E1","Screening 1"
"Encounter_2","1af3b2f2-8e4f-4bee-9754-ef8c04f2ea31","Screening encounter - Ambulatory ECG Placement","Encounter","E2","Screening 2"
"Encounter_3","6f38e6d8-4698-40a4-87db-c3a2330bf23d","Baseline encounter - Ambulatory ECG Removal","Encounter","E3","Baseline"
"Encounter_4","5a96f02a-5dff-4da4-93fe-009edbc3f86f","Day 14","Encounter","E4","Week 2"
"Encounter_5","a4055d37-4312-4949-abf2-6dc6a77ea873","Day 28","Encounter","E5","Week 4"
"Encounter_6","42c96f72-daf3-43bf-b739-6a91ae8837de","Day 42","Encounter","E7","Week 6"
"Encounter_7","8c0f8704-2a8e-4fd1-80bd-a1e4796430fe","Day 56","Encounter","E8","Week 8"
"Encounter_8","21b2cff6-735f-45dd-9202-a173554d0243","Day 84","Encounter","E9","Week 12"
"Encounter_9","5947a5e0-f2b9-44ee-a5a9-f52660b563fe","Day 112","Encounter","E10","Week 16"
"Encounter_10","e83497dc-3cc0-40f9-9689-a38c95f1a7d9","Day 140","Encounter","E11","Week 20"
"Encounter_11","0007f0f9-540c-4c57-a607-355f6b701331","Day 168","Encounter","E12","Week 24"
"Encounter_12","768c8173-8c79-4d15-9682-74390858dd94","Day 182","Encounter","E13","Week 26"
