"id","uuid:ID","synonyms","instanceType","reference","name","label"
"BiomedicalConcept_20","fc527787-35e7-4370-be5b-a732f870a914","['Temperature']","BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","Body Temperature"
"BiomedicalConcept_21","88eb3591-47e5-4169-8b7d-d604cb9fb200","['Weight']","BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","Body Weight"
"BiomedicalConcept_22","84533e5f-40cc-4c9f-8739-0e646ad440e9","['Height']","BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","Body Height"
"BiomedicalConcept_23","aec96b0b-94a9-44fa-94ce-a69d22e17c86","['ALT', 'SGPT']","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement"
"BiomedicalConcept_24","6caebc6e-d416-47f1-816b-b9db0dba80fc","['Albumin']","BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","Albumin Measurement"
"BiomedicalConcept_25","13fc8515-9aa7-4853-94ba-ec2ab91f9a0b","['Alkaline Phosphatase']","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement"
"BiomedicalConcept_26","e705f9f4-e808-4aed-95bc-6a59514b132b","['AST', 'SGOT']","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement"
"BiomedicalConcept_27","09da7f1b-3ef1-462b-b6fe-5f04aa0a3271","['Creatinine']","BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","Creatinine Measurement"
"BiomedicalConcept_28","b66d8381-824d-4e0a-8f4d-8f031103cc34","['Potassium', 'K']","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","Potassium Measurement"
"BiomedicalConcept_29","86de4f73-a19e-4800-914f-d07ce71029d4","['Sodium', 'NA']","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","Sodium Measurement"
"BiomedicalConcept_1","c430c07c-0f74-4681-abd1-113297f94ba4","['Adverse Event Reported Term', 'AETERM']","BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","Adverse Event","Adverse Event"
"BiomedicalConcept_2","be18e5cc-8b41-4767-94a0-c33ba559dd47","['SYSBP']","BiomedicalConcept","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","Systolic Blood Pressure"
"BiomedicalConcept_3","d4bd4b41-8eee-49ca-a298-8e3378cc41c4","['DIABP']","BiomedicalConcept","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","Diastolic Blood Pressure"
"BiomedicalConcept_4","a61826da-6e0d-482a-aaa7-8061c51c3e87","['Temperature']","BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","Body Temperature"
"BiomedicalConcept_5","fdbfa186-2cfd-45d5-b9a3-299f85e72281","['Weight']","BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","Body Weight"
"BiomedicalConcept_6","f415fd8b-093e-4146-a23f-2281113c28ae","['Height']","BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","Body Height"
"BiomedicalConcept_7","af78cfb9-54f2-4dcf-953a-f78296d061bd","['ALT', 'SGPT']","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement"
"BiomedicalConcept_8","dc23384d-9874-4e87-8a3b-5107821855ad","['Albumin']","BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","Albumin Measurement"
"BiomedicalConcept_9","d1ee1745-fb7c-4daa-8e86-e14450e741e3","['Alkaline Phosphatase']","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement"
"BiomedicalConcept_10","10b396e8-20e5-4fc7-9ec6-4b9e9462c35d","['AST', 'SGOT']","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement"
