"id","uuid:ID","description","instanceType","name","label"
"Activity_1","a485d6fa-38d9-439f-b938-909165e59a65","","Activity","Informed consent",""
"Activity_2","bff8849d-5b2a-4b95-b753-d8af07ebb0c0","","Activity","Inclusion/exclusion criteria",""
"Activity_3","e0c32f87-ff12-4f82-957c-4867bebc6d15","","Activity","Patient number assigned",""
"Activity_4","02a86320-cdf3-464f-9ce5-a9d43ef26ede","","Activity","Demographics","Demographics"
"Activity_5","1dbf7502-59b6-4ee5-9d1b-4b8c4a586c55","","Activity","Hachinski","Hachinski"
"Activity_6","b2cb1ab3-62c7-4e1a-bc17-7693d64f2c30","","Activity","MMSE","MMSE"
"Activity_7","edcffa13-e6f4-43f3-8dab-0799156850e5","","Activity","Physical examination",""
"Activity_8","912f64e5-afa1-4d88-ae94-c7beeffe9f2a","","Activity","Medical history",""
"Activity_9","4c88327a-ec16-4e79-918c-fb625c46ade2","","Activity","Habits",""
"Activity_10","9f8d589d-112c-490a-ba5c-4e777010e5aa","","Activity","Chest X-ray",""
"Activity_11","920bade6-14fc-4608-825d-78a2f288ceed","","Activity","Apo E genotyping",""
"Activity_12","08138cd0-8044-4180-8c4f-da166b77afc6","","Activity","Patient randomised",""
"Activity_13","8b31ec96-016f-460b-be90-4dc1b7b688f3","","Activity","Vital signs / Temperature","Vital Signs and Temperature"
"Activity_14","a6f6796b-f2b1-4aad-9797-a231d7b16ae9","","Activity","Ambulatory ECG placed",""
"Activity_15","c9c6b8b1-2166-417c-bc64-5c3c56c0981b","","Activity","Ambulatory ECG removed",""
"Activity_16","f79babd4-5a6c-4acd-a516-5d605f8807c3","","Activity","ECG",""
"Activity_17","b9488994-0077-442f-9e49-b3804d0ce4f8","","Activity","Placebo TTS test",""
"Activity_18","470e1c88-d017-4ba2-bceb-a9a1166b73d8","","Activity","CT scan",""
"Activity_19","1b5d9074-2fba-4414-a6bc-dbadf975a8ce","","Activity","Concomitant medications",""
"Activity_20","e5bea23a-6901-41f5-ae35-19cba53c7c0c","","Activity","Hematology",""
"Activity_21","3d1412aa-446f-4ff5-8cc4-0f71bd67b3fb","","Activity","Chemistry",""
"Activity_22","127ef1d5-6014-4c57-9734-fab0c78ae361","","Activity","Uninalysis",""
"Activity_23","f17cb750-bc27-49ff-aa04-3173b0d0ea91","","Activity","Plasma Specimen (Xanomeline)",""
"Activity_24","7aa36508-5b85-4f88-9c47-01a58c487d3f","","Activity","Hemoglobin A1C",""
"Activity_25","cb7c9bbd-6e7e-4b64-91c4-804e3a8f4bab","","Activity","Study drug","Study drug record , Medications dispensed, Medications returned"
"Activity_26","02c3ae0b-95f4-4e84-a01c-2ea57c2133bf","","Activity","TTS Acceptability Survey",""
"Activity_27","4c8a7722-1739-49aa-80d4-23094ac0822d","","Activity","ADAS-Cog",""
"Activity_28","b288a9ca-41ce-4ea3-939f-6cda38d9d3f9","","Activity","CIBIC+",""
"Activity_29","099d8283-c2c8-4e10-8ada-353a44baee6e","","Activity","DAD",""
"Activity_30","5c4d0e08-b580-4fd2-b82a-3f5524532484","","Activity","NPI-X",""
"Activity_31","de206dac-1ee6-476a-851f-0fb9ad6a6650","","Activity","Adverse events",""
"Activity_32","62f3735a-3e72-470a-b0be-f7bfbb477aad","","Activity","Check adverse events",""
"Activity_33","5f2c07fe-2ac6-4fbe-9520-f0ec557766c2","","Activity","Supine","Subject supine"
"Activity_34","8326b5d6-b92d-4b7e-b8f8-73511acde4d4","","Activity","Vital Signs Supine","Vital signs while supine"
"Activity_35","92178bd9-082a-4f26-9757-3c213fca4099","","Activity","Stand","Subject Standing"
"Activity_36","15fde4ca-3f08-4742-b828-2236e79e1284","","Activity","Vital Signs Standing","Vital signs while standing"
