"id","uuid:ID","text","instanceType","name"
"TransitionRule_1","0c9163dc-a1a4-4ec5-98f8-aea21922d7ca","Subject identifier","TransitionRule","ENCOUNTER_START_RULE_1"
"TransitionRule_2","4c518231-e031-4931-815e-7443a1a8b3a3","completion of screening activities","TransitionRule","ENCOUNTER_START_RULE_1"
"TransitionRule_3","8a777a3e-bbe9-4b91-97da-fe0f2895a350","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","ENCOUNTER_START_RULE_2"
"TransitionRule_4","d6d128b4-0339-4ccf-a154-dbdf1a684741","subject has connection of ambulatory ECG machine removed","TransitionRule","ENCOUNTER_START_RULE_3"
"TransitionRule_5","69c4e956-aaa3-4ce2-a6a2-c2da6c6b7a5d","Radomized","TransitionRule","ENCOUNTER_START_RULE_3"
"TransitionRule_6","0031328d-bc3a-4b58-8bbc-de9a5ce36996","End of treatment","TransitionRule","ENCOUNTER_START_RULE_12"
"TransitionRule_7","b6aae020-880a-4d26-8b46-c92a737b79b1","Informed consent","TransitionRule","ELEMENT_START_RULE_1"
"TransitionRule_8","c4e2a033-3291-41f7-95c2-f47d3fb29863","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","ELEMENT_END_RULE_1"
"TransitionRule_9","d6107366-4c19-4a8d-b7cd-acefc1e181d9","Administration of first dose","TransitionRule","ELEMENT_START_RULE_2"
"TransitionRule_14","ea439806-0d38-450b-be31-c44fd98a02e0","End of last scheduled visit on study (including early termination)","TransitionRule","ELEMENT_START_RULE_7"
"TransitionRule_15","7d146e0e-e0a2-4d00-94ed-bd078004238c","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","ELEMENT_END_RULE_7"
"TransitionRule_10","f23c6995-3a81-4d7a-a1d3-18acad9e37a5","Administration of first dose","TransitionRule","ELEMENT_START_RULE_3"
"TransitionRule_11","2fbcda5e-6131-44fb-8a67-bba85c345b5e","Randomized","TransitionRule","ELEMENT_START_RULE_4"
"TransitionRule_12","84d34e1d-a60c-4e25-b8d1-56e94a5b69f0","Administration of first dose (from patches supplied at Visit 4)","TransitionRule","ELEMENT_START_RULE_5"
"TransitionRule_13","6b0a9567-c915-4540-b1f7-19bdb95e3937","Administration of first dose (from patches supplied at Visit 12)","TransitionRule","ELEMENT_START_RULE_6"
